from_company,from_company_id,to_company,to_company_id,name,name_id,role_in_from_company,role_in_from_company_start_date,role_in_from_company_end_date,role_in_to_company,role_in_to_company_start_date,role_in_to_company_end_date
Wilson Sonsini Goodrich & Rosati PC,564292,State Bar of California (The),46897,Vicki Norton,1475331,Partner (Non-Brd),2004-01-01,2008-01-01,Member,,
Biosynthetic Technologies LLC (Formerly known as LubriGreen BioSynthetics LLC),2055269,State Bar of California (The),46897,Jeremy Forest,1489698,General Counsel/Corporate Secretary (Non-Brd),2011-05-01,2015-04-01,Member,,
Quinn Emanuel Urquhart & Sullivan LLP,1732871,State Bar of California (The),46897,Josh Sohn,1474658,Of Counsel (Non-Brd),2015-12-01,2017-10-01,Member,,
Fenwick & West LLP,833598,State Bar of California (The),46897,Scott Spector,1476874,Partner (Non-Brd),,,Member,,
Quinn Emanuel Urquhart & Sullivan LLP,1732871,State Bar of California (The),46897,Jasmine Starr,1474662,Associate (Non-Brd),2008-05-01,2015-01-01,Member,,
Wilson Sonsini Goodrich & Rosati PC,564292,State Bar of California (The),46897,Mark Brazeal,1482200,Attorney (Non-Brd),1997-01-01,2000-04-01,Member,,
Squire Patton Boggs (US) LLP (Squire Sanders (US) LLP prior to 05/2014),79403,State Bar of California (The),46897,Patrick Fields,1475363,Of Counsel (Non-Brd),2014-05-01,,Member,,
Phelps Dunbar LLP,79091,State Bar of California (The),46897,Jay Sever,1486956,Partner (Non-Brd),1995-05-01,,Member,,
Quinn Emanuel Urquhart & Sullivan LLP,1732871,State Bar of California (The),46897,Jon Steiger,1474664,Partner (Non-Brd),2003-04-01,2018-04-01,Member,,
Morgan Lewis & Bockius LLP,250597,State Bar of California (The),46897,Tom Duley,1484949,Of Counsel (Non-Brd),2008-03-01,2010-03-01,Member,,
Latham & Watkins LLP,482007,State Bar of California (The),46897,In Lee,1491353,Senior Associate (Non-Brd),2006-09-01,2011-09-01,Member,,
Intellectual Property Owners Association (IPO),535034,State Bar of California (The),46897,Stuart Meyer,1476644,Member,,,Member,,
3D SYSTEMS CORP (3 D Systems prior to 04/2003),276,State Bar of California (The),46897,Malissia Clinton,1492830,Independent Director (Brd) (SD),2019-03-15,,Member,,
