from_company,from_company_id,to_company,to_company_id,name,name_id,role_in_from_company,role_in_from_company_start_date,role_in_from_company_end_date,role_in_to_company,role_in_to_company_start_date,role_in_to_company_end_date
Nanomix Inc,82296,American Association for the Advancement of Science (AAAS),486361,Professor Doctor Marvin Cohen,1473400,Director -  SD (Brd) (SD),,,Fellow,,
Nano3D Biosciences Inc,1914849,American Association for the Advancement of Science (AAAS),486361,Doctor Rob Raphael,1469336,Director -  SD (Brd) (SD),,,Member,,
Ceres Nanosciences Inc,1674764,American Association for the Advancement of Science (AAAS),486361,Doctor Lance Liotta,1468875,Science Director (Non-Brd),2008-01-01,2015-01-01,Member,,
CORTEXYME INC,3030069,American Association for the Advancement of Science (AAAS),486361,Doctor Jeff Cummings,1469503,Advisory Board Member (Non-Brd),2019-05-09,,Member,,
BIOASIS TECHNOLOGIES INC (WR Partners Ltd prior to 04/2008),1247076,American Association for the Advancement of Science (AAAS),486361,Doctor Jeff Cummings,1469503,Scientific Advisor (Non-Brd),2017-09-07,,Member,,
Ceres Nanosciences Inc,1674764,American Association for the Advancement of Science (AAAS),486361,Doctor Lance Liotta,1468875,Chief Medical Officer (Non-Brd),2015-01-01,2018-05-01,Member,,
ANAVEX LIFE SCIENCES CORP,2357108,American Association for the Advancement of Science (AAAS),486361,Doctor Jeff Cummings,1469503,Scientific Advisor (Non-Brd),2015-10-28,,Member,,
Lightwave Logic Inc (Third-order Nanotechnologies Inc prior to 03/2008),1056980,American Association for the Advancement of Science (AAAS),486361,Doctor Lou Glasgow,1471911,Consultant (Non-Brd),2010-07-01,2011-10-01,Member,,
Moderna Inc (Moderna Therapeutics Inc prior to 08/2018) (Listed 12/2018),1809747,American Association for the Advancement of Science (AAAS),486361,Doctor Betsy Nabel,1463671,Independent Director (Brd) (SD),2015-12-15,2018-12-07,Fellow,,
JOHN WILEY & SONS INC,33491,American Association for the Advancement of Science (AAAS),486361,Doctor Naomi Halas,1464950,Advisor (Non-Brd),,,Member,,
Nanospectra Biosciences Inc,752162,American Association for the Advancement of Science (AAAS),486361,Doctor Naomi Halas,1464950,Executive Officer (Non-Brd),2002-01-01,2019-01-01,Member,,
MEDTRONIC PLC (Medtronic Inc prior to 01/2015),20186,American Association for the Advancement of Science (AAAS),486361,Doctor Betsy Nabel,1463671,Independent Director (Brd) (SD),2014-09-16,,Fellow,,
Moderna Inc (Moderna Therapeutics Inc prior to 08/2018) (Listed 12/2018),1809747,American Association for the Advancement of Science (AAAS),486361,Doctor Betsy Nabel,1463671,Scientific Advisor (Non-Brd),,2015-12-15,Fellow,,
MODERNA INC,2959246,American Association for the Advancement of Science (AAAS),486361,Doctor Betsy Nabel,1463671,Independent Director (Brd) (SD),2018-12-07,,Fellow,,
CORNING INC,7915,American Association for the Advancement of Science (AAAS),486361,Doctor Lou Glasgow,1471911,Director - Technology (Non-Brd),2003-11-01,2010-06-01,Member,,
SUNESIS PHARMACEUTICALS INC,461263,American Association for the Advancement of Science (AAAS),486361,Doctor Homer Pearce,513195,Independent Director (Brd) (SD),2006-06-29,,Member,,
GENERAL ELECTRIC CO,12986,American Association for the Advancement of Science (AAAS),486361,Doctor Susan Hockfield,511412,Independent Director (Brd) (SD),2006-12-15,2018-04-25,President Elect,,
Accelerator Life Science Partners (Accelerator Corp prior to 12/2017),810476,American Association for the Advancement of Science (AAAS),486361,Doctor Homer Pearce,513195,Scientific Advisor (Non-Brd),2018-05-15,,Member,,
