from_company,from_company_id,to_company,to_company_id,name,name_id,role_in_from_company,role_in_from_company_start_date,role_in_from_company_end_date,role_in_to_company,role_in_to_company_start_date,role_in_to_company_end_date
PEPSICO INC,24151,Cooper Institute,141582,Steve Reinemund,33338,Chairman (Brd) (ED),2006-10-01,2007-05-02,Trustee,,
CCMP Capital Advisors LP (CCMP Capital Advisors LLC prior to 2016),891135,PQ Corp,141577,Bob Toth,220942,MD (Brd) (ED),2016-01-11,2019-01-01,Director -  SD (Brd) (SD),,
PQ GROUP HOLDINGS INC,2707495,PQ Corp,141577,Bob Toth,220942,Independent Director (Brd) (SD),2017-09-29,,Director -  SD (Brd) (SD),,
MATERION CORP (Brush Engineered Materials Inc prior to 03/2011),5229,PQ Corp,141577,Bob Toth,220942,Independent Director (Brd) (SD),2013-02-06,,Director -  SD (Brd) (SD),,
ENTEGRIS INC,10744,PQ Corp,141577,Jim Gentilcore,272233,Independent Director (Brd) (SD),2013-12-10,,Chairman/President/CEO (Brd) (ED),2017-12-13,2018-08-09
C & D TECHNOLOGIES INC (De-listed 10/2010),5431,PQ Corp,141577,Stan Silverman,273441,Independent Director (Brd) (SD),2003-02-24,2010-10-08,President/CEO (Brd) (ED),2000-01-01,2005-02-01
PQ GROUP HOLDINGS INC,2707495,PQ Corp,141577,Jim Gentilcore,272233,President/CEO (Brd) (ED),2017-09-29,2017-12-13,President/CEO (Brd) (ED),2016-07-01,2017-12-13
MILACRON HOLDINGS CORP,2300031,PQ Corp,141577,Jim Gentilcore,272233,Independent Director (Brd) (SD),2015-06-25,,Chairman/President/CEO (Brd) (ED),2017-12-13,2018-08-09
ENTEGRIS INC,10744,PQ Corp,141577,Jim Gentilcore,272233,Independent Director (Brd) (SD),2013-12-10,,President/CEO (Brd) (ED),2016-07-01,2017-12-13
CCMP Capital Advisors LP (CCMP Capital Advisors LLC prior to 2016),891135,PQ Corp,141577,Jim Gentilcore,272233,Executive Advisor (Non-Brd),2014-04-30,2016-07-01,President/CEO (Brd) (ED),2016-07-01,2017-12-13
MILACRON HOLDINGS CORP,2300031,PQ Corp,141577,Jim Gentilcore,272233,Independent Director (Brd) (SD),2015-06-25,,President/CEO (Brd) (ED),2016-07-01,2017-12-13
KMG CHEMICALS INC (De-listed 11/2018),18018,PQ Corp,141577,Jim Gentilcore,272233,Independent Director (Brd) (SD),2014-05-19,2016-12-08,President/CEO (Brd) (ED),2016-07-01,2017-12-13
PQ GROUP HOLDINGS INC,2707495,PQ Corp,141577,Jim Gentilcore,272233,Chairman/President/CEO (Brd) (ED),2017-12-13,2018-08-09,Chairman/President/CEO (Brd) (ED),2017-12-13,2018-08-09
MILACRON HOLDINGS CORP,2300031,PQ Corp,141577,Jim Gentilcore,272233,Independent Director (Brd) (SD),2015-06-25,,Chairman (Executive) (Brd) (ED),,
ENTEGRIS INC,10744,PQ Corp,141577,Jim Gentilcore,272233,Independent Director (Brd) (SD),2013-12-10,,Chairman (Executive) (Brd) (ED),,
PQ GROUP HOLDINGS INC,2707495,PQ Corp,141577,Jim Gentilcore,272233,Chairman (Executive) (Brd) (ED),,,Chairman (Executive) (Brd) (ED),,
HIGHPOINT RESOURCES CORP (Bill Barrett Corp prior to 03/2018),259722,PQ Corp,141577,Rich Aube,346009,Independent Director (Brd) (SD),2003-10-01,2005-05-19,Director -  SD (Brd) (SD),,
STEPAN CO,29193,PQ Corp,141577,Mike Boyce,346677,Independent Director (Brd) (SD),2010-04-20,,Chairman/CEO (Brd) (ED),2005-01-01,2015-05-01
AAR CORP,394,PQ Corp,141577,Mike Boyce,346677,Independent Director (Brd) (SD),2005-08-02,,Chairman (Brd) (SD),2015-05-01,2017-12-13
AAR CORP,394,PQ Corp,141577,Mike Boyce,346677,Independent Director (Brd) (SD),2005-08-02,,Chairman/CEO (Brd) (ED),2005-01-01,2015-05-01
STEPAN CO,29193,PQ Corp,141577,Mike Boyce,346677,Independent Director (Brd) (SD),2010-04-20,,Chairman (Brd) (SD),2015-05-01,2017-12-13
PQ GROUP HOLDINGS INC,2707495,PQ Corp,141577,Mike Boyce,346677,Chairman (Brd) (SD),2017-09-29,2017-12-13,Chairman (Brd) (SD),2015-05-01,2017-12-13
INNOPHOS HOLDINGS INC,917947,PQ Corp,141577,John Steitz,332781,Independent Director (Brd) (SD),2009-02-11,,COO (Non-Brd),2013-10-01,2015-03-01
PQ GROUP HOLDINGS INC,2707495,PQ Corp,141577,Martin Craighead,456595,Independent Director (Brd) (SD),2017-09-29,,Director -  SD (Brd) (SD),,
TEXAS INSTRUMENTS INC,30509,PQ Corp,141577,Martin Craighead,456595,Independent Director (Brd) (SD),2018-07-01,,Director -  SD (Brd) (SD),,
BAKER HUGHES A GE CO (BHGE) (Baker Hughes Inc prior to 07/2017),3415,PQ Corp,141577,Martin Craighead,456595,Vice Chairman (Brd) (SD),2017-07-03,2019-05-10,Director -  SD (Brd) (SD),,
EMERSON ELECTRIC CO,10535,PQ Corp,141577,Martin Craighead,456595,Independent Director (Brd) (SD),2019-06-04,,Director -  SD (Brd) (SD),,
INTERLINE BRANDS INC (Wilmar Industries Inc prior to 06/2001) (De-listed 09/2012),469146,PQ Corp,141577,Barry Goldstein,375336,Independent Director (Brd) (SD),2004-06-01,2012-09-07,Director -  SD (Brd) (SD),,
KINGSTONE COMPANIES INC (DCAP Group Inc prior to 07/2009),8822,PQ Corp,141577,Barry Goldstein,504566,Chairman/President/CEO/CFO/Treasurer (Brd) (ED),2001-05-01,2007-11-24,Director -  SD (Brd) (SD),,
KINGSTONE COMPANIES INC (DCAP Group Inc prior to 07/2009),8822,PQ Corp,141577,Barry Goldstein,504566,Chairman/President/CEO/Treasurer (Brd) (ED),2007-11-24,2013-08-01,Director -  SD (Brd) (SD),,
LEGACY RESERVES INC (Legacy Reserves LP prior to 09/2018) (De-listed 06/2019),1042965,PQ Corp,141577,Kyle Vann,500779,Independent Director (Brd) (SD),2007-01-18,2016-05-12,Director -  SD (Brd) (SD),,
ENLINK MIDSTREAM PARTNERS LP (Crosstex Energy LP prior to 03/2014) (De-listed 01/2019),564256,PQ Corp,141577,Kyle Vann,500779,Independent Director (Brd) (SD),2006-05-08,2019-01-25,Director -  SD (Brd) (SD),,
MICROSOFT CORP,20601,King County Bar Association,141936,Mary Snapp,1050033,Corporate VP (Non-Brd),2003-01-01,2015-12-01,Member,,
Chaparral Energy Inc (Listed 07/2018),1291629,PQ Corp,141577,Kyle Vann,500779,Independent Director (Brd) (SD),2012-10-31,2015-01-01,Director -  SD (Brd) (SD),,
LEGACY RESERVES INC (Legacy Reserves LP prior to 09/2018) (De-listed 06/2019),1042965,PQ Corp,141577,Kyle Vann,500779,Lead Independent Director (Brd) (SD),2016-05-12,2019-06-28,Director -  SD (Brd) (SD),,
ENLINK MIDSTREAM LLC,2052587,PQ Corp,141577,Kyle Vann,500779,Independent Director (Brd) (SD),2019-01-25,,Director -  SD (Brd) (SD),,
