from_company,from_company_id,to_company,to_company_id,name,name_id,role_in_from_company,role_in_from_company_start_date,role_in_from_company_end_date,role_in_to_company,role_in_to_company_start_date,role_in_to_company_end_date
BRISTOL-MYERS SQUIBB CO,5118,Academy for Eating Disorders (AED),1617733,Doctor Adelaide Robb,850902,Principal Investigator (Non-Brd),,2006-01-01,Member,,
PFIZER INC,24296,Academy for Eating Disorders (AED),1617733,Doctor Adelaide Robb,850902,Principal Investigator (Non-Brd),,2006-01-01,Member,,
PFIZER INC,24296,Academy for Eating Disorders (AED),1617733,Doctor Adelaide Robb,850902,Principal Investigator (Non-Brd),,2004-01-01,Member,,
Teachers Insurance and Annuity Association of America (TIAA),81820,Academy for Eating Disorders (AED),1617733,Doctor Ron Thompson,220821,Independent Chairman (Brd) (SD),2008-04-14,,Fellow,,
JOHN WILEY & SONS INC,33491,Academy for Eating Disorders (AED),1617733,Phil Mehler,1391266,Editor (Non-Brd),,,Fellow,,
Quixey Inc,1873907,Movidius Ltd,1617738,Brian Long,3345,Observer (Non-Brd),2012-01-01,,Director -  SD (Brd) (SD),,
Hedvig Inc (Formerly known as Quexascale Inc),2291532,Movidius Ltd,1617738,Brian Long,3345,Director -  SD (Brd) (SD),,,Director -  SD (Brd) (SD),,
AnDAPT Inc,2399501,Movidius Ltd,1617738,Brian Long,3345,Director -  SD (Brd) (SD),,,Director -  SD (Brd) (SD),,
BlueData Software Inc,2625844,Movidius Ltd,1617738,Brian Long,3345,Director -  SD (Brd) (SD),,,Director -  SD (Brd) (SD),,
Intel Capital Corp,247371,Movidius Ltd,1617738,Dharmesh Thakker,765877,MD (Brd) (ED),2012-01-01,2015-01-01,Advisor (Non-Brd),2013-01-01,2016-01-01
Battery Ventures LP,480047,Movidius Ltd,1617738,Dharmesh Thakker,765877,General Partner (Brd) (ED),2015-02-01,,Advisor (Non-Brd),2013-01-01,2016-01-01
Yottaa Inc,1450866,Movidius Ltd,1617738,Dharmesh Thakker,765877,Director -  SD (Brd) (SD),,,Advisor (Non-Brd),2013-01-01,2016-01-01
Cloudera Inc (Listed 04/2017),1450896,Movidius Ltd,1617738,Dharmesh Thakker,765877,Director -  SD (Brd) (SD),,,Advisor (Non-Brd),2013-01-01,2016-01-01
MongoDB Inc (10gen Inc prior to 08/2013) (Listed 10/2017),1581776,Movidius Ltd,1617738,Dharmesh Thakker,765877,Observer (Non-Brd),2012-11-01,2017-10-19,Advisor (Non-Brd),2013-01-01,2016-01-01
