from_company,from_company_id,to_company,to_company_id,name,name_id,role_in_from_company,role_in_from_company_start_date,role_in_from_company_end_date,role_in_to_company,role_in_to_company_start_date,role_in_to_company_end_date
CCL INDUSTRIES INC,6109,ROGERS COMMUNICATIONS INC,26496,Alan Horn,330371,Independent Director (Brd) (SD),2008-05-08,2012-01-01,Chairman (Brd) (ED),2009-03-30,2016-10-16
CCL INDUSTRIES INC,6109,ROGERS COMMUNICATIONS INC,26496,Alan Horn,330371,Independent Director (Brd) (SD),2008-05-08,2012-01-01,Chairman (Brd) (ED),2017-04-19,2018-01-01
CCL INDUSTRIES INC,6109,ROGERS COMMUNICATIONS INC,26496,Alan Horn,330371,Lead Independent Director (Brd) (SD),2012-01-01,2016-01-01,Chairman (Brd) (SD),2006-03-21,2008-10-31
BROOKFIELD ASSET MANAGEMENT INC (Brascan prior to 11/2005),5011,ROGERS COMMUNICATIONS INC,26496,Phil Lind,330907,Independent Director (Brd) (SD),1994-05-01,2017-06-16,Vice Chairman (Brd) (ED),1991-01-01,2009-01-01
CANADIAN IMPERIAL BANK OF COMMERCE (CIBC),5636,ROGERS COMMUNICATIONS INC,26496,Charles Sirois,331082,Independent Chairman (Brd) (SD),2009-02-26,2015-04-23,Lead Independent Director (Brd) (SD),2014-04-22,2018-04-20
PREMIUM INCOME CORP,581693,ROGERS COMMUNICATIONS INC,26496,Robin Korthals,327548,Independent Corporate Director (Brd) (SD),1996-10-30,,Independent Director (Brd) (SD),1995-02-01,2005-06-29
BROOKFIELD ASSET MANAGEMENT INC (Brascan prior to 11/2005),5011,ROGERS COMMUNICATIONS INC,26496,Phil Lind,330907,Independent Director (Brd) (SD),1994-05-01,2017-06-16,Vice Chairman/Executive VP (Brd) (ED),2009-01-01,2014-12-01
FAIRFAX FINANCIAL HOLDINGS LTD,11506,ROGERS COMMUNICATIONS INC,26496,Alan Horn,330371,Independent Director (Brd) (SD),2008-04-16,2019-07-01,Chairman (Brd) (ED),2009-03-30,2016-10-16
FAIRFAX INDIA HOLDINGS CORP,2212868,ROGERS COMMUNICATIONS INC,26496,Alan Horn,330371,Independent Director (Brd) (SD),2015-01-30,,Chairman/Interim President/CEO (Brd) (ED),2016-10-16,2017-04-19
VECTOR AEROSPACE CORP (De-listed 07/2011),604585,ROGERS COMMUNICATIONS INC,26496,The Hon. David Peterson,335235,Director -  SD (Brd) (SD),,,Independent Director (Brd) (SD),1991-04-01,
Cassels Brock & Blackwell LLP,82110,ROGERS COMMUNICATIONS INC,26496,The Hon. David Peterson,335235,Chairman/Partner (Brd) (ED),1990-01-01,2017-01-01,Independent Director (Brd) (SD),1991-04-01,
Fasken Martineau DuMoulin LLP,605224,ROGERS COMMUNICATIONS INC,26496,Gar Emerson,335232,National Chairman (Non-Brd),2001-08-01,2006-01-01,Independent Chairman (Brd) (SD),1993-03-01,2006-03-21
CAE INC,5487,ROGERS COMMUNICATIONS INC,26496,Gar Emerson,335232,Independent Director (Brd) (SD),1992-01-01,2006-06-21,Director -  SD (Brd) (SD),,
SHOPPERS DRUG MART CORP (De-listed 03/2014),99162,ROGERS COMMUNICATIONS INC,26496,The Hon. David Peterson,335235,Independent Corporate Director (Brd) (SD),2006-02-08,2012-10-24,Independent Director (Brd) (SD),1991-04-01,
INMET MINING CORP (De-listed 04/2013),16066,ROGERS COMMUNICATIONS INC,26496,John Clappison,337503,Independent Director (Brd) (SD),2010-06-14,2013-04-09,Independent Corporate Director (Brd) (SD),2006-06-13,2018-04-20
Altas Partners LP,1899434,ROGERS COMMUNICATIONS INC,26496,Joe Natale,336845,Advisory Board Member (Non-Brd),2016-09-30,,President/CEO (Brd) (ED),2017-04-19,
SUN LIFE FINANCIAL INC,29525,ROGERS COMMUNICATIONS INC,26496,John Clappison,337503,Independent Corporate Director (Brd) (SD),2006-01-01,2017-05-10,Independent Corporate Director (Brd) (SD),2006-06-13,2018-04-20
CML HEALTHCARE INC (CML Healthcare Income Fund prior to 01/2011) (De-listed 10/2013),746119,ROGERS COMMUNICATIONS INC,26496,Ron Besse,335231,Trustee (Brd) (SD),2004-02-19,2005-01-01,Lead Independent Director (Brd) (SD),1984-06-01,2006-03-21
FRANCO NEVADA CORP,1017155,ROGERS COMMUNICATIONS INC,26496,The Hon. David Peterson,335235,Independent Director (Brd) (SD),2007-12-20,,Independent Director (Brd) (SD),1991-04-01,
CI FINANCIAL CORP,1321845,ROGERS COMMUNICATIONS INC,26496,David Miller,335249,Independent Director (Brd) (SD),2013-10-21,,Chief Legal and Corporate Affairs Officer/Secretary (Non-Brd),2017-06-27,2018-01-01
EMERSON RADIO CORP,10536,ROGERS COMMUNICATIONS INC,26496,The Hon. David Peterson,335235,Director -  SD (Brd) (SD),,,Independent Director (Brd) (SD),1991-04-01,
CAMECO CORP,5600,ROGERS COMMUNICATIONS INC,26496,John Clappison,337503,Independent Corporate Director (Brd) (SD),2006-01-03,2019-05-07,Independent Corporate Director (Brd) (SD),2006-06-13,2018-04-20
Ivanhoe Cambridge Inc,605460,ROGERS COMMUNICATIONS INC,26496,The Hon. David Peterson,335235,Director -  SD (Brd) (SD),,,Independent Director (Brd) (SD),1991-04-01,
CAE INC,5487,ROGERS COMMUNICATIONS INC,26496,Gar Emerson,335232,Independent Director (Brd) (SD),1992-01-01,2006-06-21,Independent Chairman (Brd) (SD),1993-03-01,2006-03-21
IA FINANCIAL CORPORATION INC (Industrial Alliance Insurance and Financial Services Inc prior to 01/2019),591805,ROGERS COMMUNICATIONS INC,26496,The Hon. David Peterson,335235,Independent Director (Brd) (SD),2000-02-15,2014-05-08,Independent Director (Brd) (SD),1991-04-01,
SIERRA WIRELESS INC,27923,ROGERS COMMUNICATIONS INC,26496,Nadir Mohamed,335258,Independent Director (Brd) (SD),2003-03-26,2006-04-25,Executive Officer (Non-Brd),2001-06-01,2005-05-01
CI FINANCIAL CORP,1321845,ROGERS COMMUNICATIONS INC,26496,David Miller,335249,Independent Director (Brd) (SD),2013-10-21,,Chief Legal Officer/Secretary (Non-Brd),2013-01-01,2017-06-27
CAMECO CORP,5600,ROGERS COMMUNICATIONS INC,26496,John Clappison,337503,Independent Corporate Director (Brd) (SD),2006-01-03,2019-05-07,Lead Independent Corporate Director (Brd) (SD),2018-04-20,
COMTECH TELECOMMUNICATIONS CORP,7609,ROGERS CORP,26497,Robert Paul,183685,Independent Director (Brd) (SD),2007-03-07,,Independent Director (Brd) (SD),2000-04-18,2005-04-28
BANK OF NOVA SCOTIA (SCOTIABANK),4521,ROGERS COMMUNICATIONS INC,26496,William Wilson,335243,Vice Chairman (Brd) (SD),2002-05-01,2005-10-31,Independent Director (Brd) (SD),1979-02-01,2005-06-29
