from_company,from_company_id,to_company,to_company_id,name,name_id,role_in_from_company,role_in_from_company_start_date,role_in_from_company_end_date,role_in_to_company,role_in_to_company_start_date,role_in_to_company_end_date
OrbiMed Advisors LLC,461703,KaNDy Therapeutics Ltd,2706605,Doctor Iain Dukes,1725010,Venture Partner (Non-Brd),2016-08-01,,NED (Brd) (SD),2017-09-14,
IOVANCE BIOTHERAPEUTICS INC (Lion Biotechnologies Inc prior to 06/2017),2221568,KaNDy Therapeutics Ltd,2706605,Doctor Iain Dukes,1725010,Chairman (Brd) (SD),2017-09-14,,NED (Brd) (SD),2017-09-14,
Kyn Therapeutics Inc,2468801,KaNDy Therapeutics Ltd,2706605,Doctor Iain Dukes,1725010,Director -  SD (Brd) (SD),,,NED (Brd) (SD),2017-09-14,
NEWMONT GOLDCORP CORP (Newmont Mining Corp prior to 04/2019),22069,Project Excellence Inc,2706610,Guy Lansdown,495170,Advisor (Non-Brd),2012-08-16,,Consultant (Non-Brd),2013-01-01,
EURONET WORLDWIDE INC,11239,International Woman's Foundation Inc,2706614,Mary Strandjord,65362,Independent Director (Brd) (SD),2014-09-01,,Member,,
EURONET WORLDWIDE INC,11239,International Woman's Foundation Inc,2706614,Mary Strandjord,65362,Independent Director (Brd) (SD),2001-03-26,2010-02-24,Member,,
MGP INGREDIENTS INC,20663,International Woman's Foundation Inc,2706614,Mary Strandjord,65362,Independent Director (Brd) (SD),2013-12-17,,Member,,
METABASIS THERAPEUTICS INC (De-listed 01/2010),253122,Duncan of Jordanstone College of Art & Design (DJCAD),2706633,Doctor Deidre MacKenna,1937193,Investigator (Non-Brd),2001-01-01,2009-01-01,Director -  Non-Brd (Non-Brd),,
REGULUS THERAPEUTICS INC,1893736,Duncan of Jordanstone College of Art & Design (DJCAD),2706633,Doctor Deidre MacKenna,1937193,Senior Director (Non-Brd),2012-10-04,2015-05-01,Director -  Non-Brd (Non-Brd),,
PharmAkea Inc (PharmAkea Therapeutics),2066832,Fondazione Fotografia Modena,2706636,Doctor Deidre MacKenna,1937193,ED -  Non-Brd (Non-Brd),,,Visiting Lecturer (Non-Brd),,
Kohlberg Kravis Roberts & Co LP (KKR),69867,PAAMCO Prisma Holdings LLC,2706644,Jackie Rosner,1393599,Director -  Non-Brd (Non-Brd),,,Portfolio Manager (Non-Brd),2013-08-01,2017-01-01
GLOBE LIFE INC (Torchmark Corp prior to 08/2019),30937,PAAMCO Prisma Holdings LLC,2706644,Doctor Jane Buchan,430014,Independent Director (Brd) (SD),2005-10-26,,Co-CEO (Non-Brd),2017-01-01,2018-07-17
AGF MANAGEMENT LIMITED,263081,PAAMCO Prisma Holdings LLC,2706644,Doctor Jane Buchan,430014,Independent Director (Brd) (SD),2017-11-17,,Co-CEO (Non-Brd),2017-01-01,2018-07-17
GLOBE LIFE INC (Torchmark Corp prior to 08/2019),30937,PAAMCO Prisma Holdings LLC,2706644,Doctor Jane Buchan,430014,Independent Director (Brd) (SD),2005-10-26,,Advisor (Non-Brd),2018-07-17,2018-12-31
AGF MANAGEMENT LIMITED,263081,PAAMCO Prisma Holdings LLC,2706644,Doctor Jane Buchan,430014,Independent Director (Brd) (SD),2017-11-17,,Advisor (Non-Brd),2018-07-17,2018-12-31
Kohlberg Kravis Roberts & Co LP (KKR),69867,PAAMCO Prisma Holdings LLC,2706644,Queenie Chang,1371839,Principal (Non-Brd),2012-10-01,2017-01-01,Director -  Non-Brd (Non-Brd),,
