from_company,from_company_id,to_company,to_company_id,name,name_id,role_in_from_company,role_in_from_company_start_date,role_in_from_company_end_date,role_in_to_company,role_in_to_company_start_date,role_in_to_company_end_date
CUMULUS MEDIA INC (De-listed 11/2017),8427,Cumulus Media Inc (Listed 08/2018),2733026,Steve Shaw,1400720,Division President (Non-Brd),2014-06-24,2017-11-22,Division President - Sales (Non-Brd),2017-11-22,2017-11-01
FTI CONSULTING INC,12593,Cumulus Media Inc (Listed 08/2018),2733026,Doctor Brian Kushner,1719523,Senior MD (Non-Brd),2009-01-01,,Independent Director (Brd) (SD),2018-06-04,2018-08-01
MARCUS CORP,19630,Cumulus Media Inc (Listed 08/2018),2733026,David Baum,1673990,Independent Director (Brd) (SD),2016-02-15,,Independent Director (Brd) (SD),2018-06-04,2018-08-01
INTERDIGITAL INC,1141059,Cumulus Media Inc (Listed 08/2018),2733026,Joan Gillman,599039,Independent Director (Brd) (SD),2017-04-01,,Independent Director (Brd) (SD),2018-06-04,2018-08-01
AIRGAIN INC,2506658,Cumulus Media Inc (Listed 08/2018),2733026,Joan Gillman,599039,Independent Director (Brd) (SD),2016-11-07,,Independent Director (Brd) (SD),2018-06-04,2018-08-01
Crestview Partners LP,1334765,Cumulus Media Inc (Listed 08/2018),2733026,Jeff Marcus,66222,Vice Chairman/Partner (Brd) (ED),2017-01-01,2019-01-01,Independent Chairman (Brd) (SD),2017-11-22,2018-06-04
WideOpenWest Finance LLC (WOW),1875108,Cumulus Media Inc,2733026,Jeff Marcus,66222,Chairman (Brd) (SD),2016-01-01,,Independent Chairman (Brd) (SD),2017-11-22,2018-06-04
CAMPING WORLD HOLDINGS INC,2538992,Cumulus Media Inc (Listed 08/2018),2733026,Jeff Marcus,66222,Independent Director (Brd) (SD),2016-10-07,,Independent Chairman (Brd) (SD),2017-11-22,2018-06-04
WIDEOPENWEST INC,2660892,Cumulus Media Inc (Listed 08/2018),2733026,Jeff Marcus,66222,Independent Chairman (Brd) (SD),2017-05-25,,Independent Chairman (Brd) (SD),2017-11-22,2018-06-04
SOTHEBY'S (Sotheby's Hldgs prior to 07/2006),28619,Cumulus Media Inc (Listed 08/2018),2733026,Jill Bright,1347358,Executive VP - HR/Admin (Non-Brd),2017-09-01,,Independent Director (Brd) (SD),2017-11-22,2018-06-04
WIDEOPENWEST INC,2660892,Cumulus Media Inc (Listed 08/2018),2733026,Jill Bright,1347358,Independent Director (Brd) (SD),2017-09-05,,Independent Director (Brd) (SD),2017-11-22,2018-06-04
CUMULUS MEDIA INC (De-listed 11/2017),8427,Cumulus Media Inc (Listed 08/2018),2733026,Collin Jones,1313083,Director - Mergers & Acquisitions/Investor Relations (Non-Brd),2016-07-01,2017-11-22,Senior VP - Corporate Development/Strategy (Non-Brd),2017-01-01,2018-08-01
CUMULUS MEDIA INC (De-listed 11/2017),8427,Cumulus Media Inc (Listed 08/2018),2733026,Collin Jones,1313083,Director - Mergers & Acquisitions/Investor Relations (Non-Brd),2011-11-01,2016-06-22,Senior VP - Corporate Development/Strategy (Non-Brd),2017-01-01,2018-08-01
CUMULUS MEDIA INC (De-listed 11/2017),8427,Cumulus Media Inc (Listed 08/2018),2733026,Collin Jones,1313083,Director - Mergers & Acquisitions/Investor Relations (Non-Brd),2016-07-01,2017-11-22,Director - Mergers & Acquisitions/Investor Relations (Non-Brd),2017-11-22,2017-01-01
CUMULUS MEDIA INC (De-listed 11/2017),8427,Cumulus Media Inc (Listed 08/2018),2733026,Collin Jones,1313083,Director - Mergers & Acquisitions/Investor Relations (Non-Brd),2011-11-01,2016-06-22,Director - Mergers & Acquisitions/Investor Relations (Non-Brd),2017-11-22,2017-01-01
Crestview Partners LP,1334765,Cumulus Media Inc (Listed 08/2018),2733026,Andy Oliver,1280107,General Counsel (Non-Brd),2015-01-01,,Independent Director (Brd) (SD),2017-11-22,2018-06-04
Salo LLC,860747,Walk-In Counseling Center,2733045,Cory Johnson,1954231,Business Development Director (Non-Brd),2016-02-01,,Treasurer,,
INNOVARO INC (UTEK Corp prior to 03/2010) (De-listed 03/2013),32172,Pax Consultants,2733094,John Emanuel,449415,Vice President (Non-Brd),2001-09-01,,Chairman (Brd) (SD),1977-01-01,
INTERMUNE INC (De-listed 09/2014),16377,Kanglaite USA Inc,2733099,Doctor Mary Tagliaferri,603055,Consultant (Non-Brd),2014-04-01,2014-09-29,Chief Medical Officer (Non-Brd),2012-10-01,2014-06-01
CKX LANDS INC,1019485,Young Mens Business Club,2733108,Lee Boyer,1698566,Independent Director (Brd) (SD),2016-05-05,2017-01-01,Member,,
CKX LANDS INC,1019485,Young Mens Business Club,2733108,Lee Boyer,1698566,President/Treasurer (Brd) (ED),2018-08-01,,Member,,
CKX LANDS INC,1019485,Young Mens Business Club,2733108,Lee Boyer,1698566,Secretary (Brd) (ED),2017-01-01,2018-08-01,Member,,
MARSH & MCLENNAN COMPANIES INC,19713,Mom Inc,2733120,Allison Brecher,1954072,Director - Information Management (Non-Brd),2002-12-01,2017-05-01,Columnist,,
Vestwell Holdings Inc,2650293,Mom Inc,2733120,Allison Brecher,1954072,General Counsel (Non-Brd),2017-10-01,,Columnist,,
MARSH & MCLENNAN COMPANIES INC,19713,Long Island Children's Choir Inc,2733126,Allison Brecher,1954072,Director - Information Management (Non-Brd),2002-12-01,2017-05-01,Director -  SD,,
Vestwell Holdings Inc,2650293,Long Island Children's Choir Inc,2733126,Allison Brecher,1954072,General Counsel (Non-Brd),2017-10-01,,Director -  SD,,
iCIMS Inc (Formerly known as iCIMS.com Inc),643487,Oodi LLC,2733139,Susan Vitale,1691647,Chief Marketing Officer (Non-Brd),2009-01-01,,Advisory Board Member (Non-Brd),,
FINJAN HOLDINGS INC,2067287,BOREAL METALS CORP (European Ferro Metals Ltd prior to 11/2016),2733140,Mike Noonan,731822,CFO/Secretary/Treasurer (Non-Brd),2015-06-24,2019-06-03,CEO (Brd) (ED),2014-06-16,2015-12-07
FINJAN HOLDINGS INC,2067287,BOREAL METALS CORP (European Ferro Metals Ltd prior to 11/2016),2733140,Mike Noonan,731822,CFO/Treasurer (Non-Brd),2014-11-11,2015-06-24,CEO (Brd) (ED),2014-06-16,2015-12-07
FINJAN HOLDINGS INC,2067287,BOREAL METALS CORP (European Ferro Metals Ltd prior to 11/2016),2733140,Mike Noonan,731822,Vice President - Finance (Non-Brd),2014-10-27,2014-11-11,CEO (Brd) (ED),2014-06-16,2015-12-07
EMX ROYALTY CORP (Eurasian Minerals Inc prior to 07/2017),896939,BOREAL METALS CORP (European Ferro Metals Ltd prior to 11/2016),2733140,Eric Jensen,1313803,Regional General Manager (Non-Brd),2012-05-01,,Director -  SD (Brd) (SD),,
PerformLine Inc,1943267,Guy Thomas Brands LLC,2733141,Chris Dessi,1954112,Vice President - Sales (Non-Brd),2017-10-09,,Co-Founder (Non-Brd),2016-03-01,
Enterprise Florida Inc,133351,Florida Delegation Southeast US/Japan Association Inc,2733146,Crystal Stiles,1954263,Director -  SD (Brd) (SD),,,Director -  SD,,
PerformLine Inc,1943267,FitReserve Inc,2733158,Chris Dessi,1954112,Vice President - Sales (Non-Brd),2017-10-09,,Advisor (Non-Brd),2015-05-01,
PerformLine Inc,1943267,F Sharp Inc,2733163,Chris Dessi,1954112,Vice President - Sales (Non-Brd),2017-10-09,,Advisor (Non-Brd),2012-10-01,
Enterprise Florida Inc,133351,Solutions 1st Inc,2733165,Robert Schlotman,1954266,COO (Non-Brd),2019-03-01,,President (Non-Brd),2001-01-01,
Enterprise Florida Inc,133351,Solutions 1st Inc,2733165,Robert Schlotman,1954266,Senior VP/Controller (Non-Brd),2017-03-01,2019-03-01,President (Non-Brd),2001-01-01,
NORTHWEST PIPE CO,22535,Morning Glory Capital LLC,2733168,Mike Franson,445304,Lead Independent Director (Brd) (SD),2016-08-07,,Senior Advisor (Non-Brd),,
Insightpool LLC,1988806,LA Ventures Inc,2733194,Laurie Goldman,1196530,Advisory Board Member (Non-Brd),2014-11-01,,CEO (Non-Brd),,
Public Relations Society of America Inc (PRSA),79221,Fish Lake Area Residents Association (The) (FLARA),2733201,Matt Kucharski,1867190,Member,,,Director -  SD,,
ALEAFIA HEALTH INC (Canabo Medical Inc prior to 03/2018),1974746,EXEBLOCK TECHNOLOGY CORP,2733205,Ian Klassen,1602575,Independent Director (Brd) (SD),2016-11-09,2018-03-26,President/CEO (Brd) (ED),2017-11-16,2018-06-25
Morgenthaler Private Equity Partners LP (MPE Partners),737723,Trachte LLC,2733213,Jef Gwinnell,1984755,Senior Advisor (Non-Brd),2017-03-01,,Director -  SD (Brd) (SD),,
Morgenthaler Private Equity Partners LP (MPE Partners),737723,Trachte LLC,2733213,Karen Tuleta,770309,Partner (Brd) (ED),2012-04-27,,Director -  SD (Brd) (SD),,
TOLL BROTHERS INC,30867,Campaign for Black Male Achievement (The) (CBMA),2733217,Doctor Wendell Pritchett,1980301,Independent Director (Brd) (SD),2018-03-13,,Director -  SD,,
Akerman LLP (Akerman Senterfitt LLP prior to 11/2013),836305,Global Alliance of Travel Tourism & Hospitality Attorneys (GATTHA),2733228,Angela de Cespedes Wenke,1955759,Partner (Non-Brd),2004-01-01,2018-05-01,Member,,
Shutts & Bowen LLP,565968,Global Alliance of Travel Tourism & Hospitality Attorneys (GATTHA),2733228,Angela de Cespedes Wenke,1955759,Partner (Non-Brd),2018-05-01,,Member,,
Wilson Elser Moskowitz Edelman & Dicker LLP,936338,Global Alliance of Travel Tourism & Hospitality Attorneys (GATTHA),2733228,Bruno Katz,1954373,Partner (Non-Brd),2010-04-01,,Member,,
CounterTack Inc (NeuralIQ Inc prior to 11/2011),1897195,Disrupt6 Inc,2733239,John Jolly,1867182,Advisor (Non-Brd),,,Advisor (Non-Brd),,
ELECTRO RENT CORP (De-listed 08/2016),10350,Friends of the Chapel Hill Public Library (FCHPL),2733246,Karen Curtin,322486,Lead Independent Director (Brd) (SD),2009-04-01,2016-07-11,Director -  SD,,
ELECTRO RENT CORP (De-listed 08/2016),10350,Friends of the Chapel Hill Public Library (FCHPL),2733246,Karen Curtin,322486,Independent Chairman (Brd) (SD),2016-07-11,2016-08-10,Director -  SD,,
CounterTack Inc (NeuralIQ Inc prior to 11/2011),1897195,IDentia Inc,2733247,John Jolly,1867182,Advisor (Non-Brd),,,Advisor (Non-Brd),,
Malwarebytes Corp,2055862,Solunanet LLC,2733257,Robert Hafner,1860086,Contractor (Non-Brd),2008-10-01,2010-04-01,Consultant (Non-Brd),2009-01-01,2010-04-01
NATCORE TECHNOLOGY INC (Syracuse Capital Corp prior to 05/2009),1804296,CFO Financial Partners LLC,2733259,Brian Zucker,743759,CFO (Non-Brd),2012-04-27,2013-06-07,Partner/Principal (Non-Brd),2011-01-01,
NATCORE TECHNOLOGY INC (Syracuse Capital Corp prior to 05/2009),1804296,CFO Financial Partners LLC,2733259,Brian Zucker,743759,CFO (Non-Brd),2009-05-08,2011-04-28,Partner/Principal (Non-Brd),2011-01-01,
CIGNA CORP,6837,Laughs For The Troops Inc,2733266,Major General Elder Granger,1143864,Independent Director (Brd) (SD),2018-12-20,,Director -  SD,,
EXPRESS SCRIPTS HOLDING CO (De-listed 12/2018),11414,Laughs For The Troops Inc,2733266,Major General Elder Granger,1143864,Independent Director (Brd) (SD),2015-05-06,2018-12-20,Director -  SD,,
DLH HOLDINGS CORP (TeamStaff Inc prior to 06/2012),30095,Laughs For The Troops Inc,2733266,Major General Elder Granger,1143864,Independent Director (Brd) (SD),2014-11-13,,Director -  SD,,
CRAILAR TECHNOLOGIES INC (Naturally Advanced Technologies Inc prior to 10/2012) (De-listed 05/2017),2231257,Shang Peng Gao Ke Inc,2733278,Ted Sanders Jr,340095,CFO/Treasurer (Non-Brd),2013-11-06,2016-07-01,CFO (Non-Brd),2016-02-01,
SynCardia Systems LLC (Formerly known as Syn-Cor Systems Inc),645785,International Society of Mechanical Circulatory Support (ISMCS),2733282,Doctor Marvin Slepian,349012,Chief Scientific Officer/Chief Medical Officer (Non-Brd),2012-01-01,,President,,
NuvOx Pharma LLC,2208789,International Society of Mechanical Circulatory Support (ISMCS),2733282,Doctor Marvin Slepian,349012,Director -  SD (Brd) (SD),,,President,,
JOHN WILEY & SONS INC,33491,International Conference on Neuroprotective Agents (ICNA),2733290,Doctor Rutledge Ellis-Behnke,1952393,Reviewer (Non-Brd),2009-01-01,,Advisory Board Member,,
Arch Therapeutics Inc (Almah Inc prior to 06/2013),1948531,International Conference on Neuroprotective Agents (ICNA),2733290,Doctor Rutledge Ellis-Behnke,1952393,Scientific Advisor (Non-Brd),2009-09-16,,Advisory Board Member,,
PTC THERAPEUTICS INC,1959651,Delisci AB,2733292,Sven Erickson,1954213,Regional Director (Non-Brd),2016-01-01,2017-08-01,Partner (Non-Brd),2017-04-14,
JOHN WILEY & SONS INC,33491,International Society of Nanomedicine (ISN),2733304,Doctor Rutledge Ellis-Behnke,1952393,Reviewer (Non-Brd),2009-01-01,,Director -  ED,,
Arch Therapeutics Inc (Almah Inc prior to 06/2013),1948531,International Society of Nanomedicine (ISN),2733304,Doctor Rutledge Ellis-Behnke,1952393,Scientific Advisor (Non-Brd),2009-09-16,,Director -  ED,,
Pacific Community Ventures,468324,Benefit Company Bar Association (BCBA),2733306,Teresa Pahl,1298413,Director -  SD (Brd) (SD),,,Member,,
XERIUM TECHNOLOGIES INC (De-listed 10/2018),735073,Dacha LLC,2733320,Alex Toeldte,591501,Independent Director (Brd) (SD),2016-01-01,2018-10-17,Director -  SD (Brd) (SD),,
CLEARWATER PAPER CORPORATION (Potlatch Forest Products Corp prior to 12/2008),1262892,Dacha LLC,2733320,Alex Toeldte,591501,Independent Chairman (Brd) (SD),2018-09-01,,Director -  SD (Brd) (SD),,
CLEARWATER PAPER CORPORATION (Potlatch Forest Products Corp prior to 12/2008),1262892,Dacha LLC,2733320,Alex Toeldte,591501,Independent Director (Brd) (SD),2016-04-01,2018-09-01,Director -  SD (Brd) (SD),,
iNovia Capital Inc (MSBI Capital Inc prior to 10/2007),1622391,Dacha LLC,2733320,Alex Toeldte,591501,Venture Partner (Non-Brd),2018-01-01,,Director -  SD (Brd) (SD),,
