from_company,from_company_id,to_company,to_company_id,name,name_id,role_in_from_company,role_in_from_company_start_date,role_in_from_company_end_date,role_in_to_company,role_in_to_company_start_date,role_in_to_company_end_date
DUNDEE CORP (Dundee Bancorp Inc prior to 12/2004),835396,DUNDEE ENERGY LTD (Eurogas Corp prior to 06/2011) (De-listed 09/2017),604216,Sonny Gordon,69082,Chairman (Brd) (ED),2001-11-15,2014-07-14,Chairman (Non-Executive) (Brd) (SD),,
DUNDEE CORP (Dundee Bancorp Inc prior to 12/2004),835396,DUNDEE ENERGY LTD (Eurogas Corp prior to 06/2011) (De-listed 09/2017),604216,Sonny Gordon,69082,Vice Chairman (Brd) (ED),2014-07-14,2017-06-05,Chairman (Non-Executive) (Brd) (SD),,
DUNDEE CORP (Dundee Bancorp Inc prior to 12/2004),835396,DUNDEE ENERGY LTD (Eurogas Corp prior to 06/2011) (De-listed 09/2017),604216,Sonny Gordon,69082,Vice Chairman Emeritus (Non-Brd),2017-06-05,,Chairman (Non-Executive) (Brd) (SD),,
BREAKWATER RESOURCES LTD (De-listed 09/2011),731211,DUNDEE ENERGY LTD (Eurogas Corp prior to 06/2011) (De-listed 09/2017),604216,Joanne Ferstman,607938,Independent Director (Brd) (SD),2007-06-22,2011-09-07,Executive VP/CFO (Non-Brd),2008-10-24,2009-05-26
DREAM OFFICE REAL ESTATE INVESTMENT TRUST (Dundee Real Estate Investment Trust prior to 05/2014),857911,DUNDEE ENERGY LTD (Eurogas Corp prior to 06/2011) (De-listed 09/2017),604216,Joanne Ferstman,607938,Trustee (Brd) (SD),2007-03-26,2012-01-01,Executive VP/CFO (Non-Brd),2008-10-24,2009-05-26
AIMIA INC (Groupe Aeroplan Inc prior to 05/2012),921013,DUNDEE ENERGY LTD (Eurogas Corp prior to 06/2011) (De-listed 09/2017),604216,Joanne Ferstman,607938,Independent Corporate Director (Brd) (SD),2008-06-25,2017-06-14,Executive VP/CFO (Non-Brd),2008-10-24,2009-05-26
DUNDEE CORP (Dundee Bancorp Inc prior to 12/2004),835396,DUNDEE ENERGY LTD (Eurogas Corp prior to 06/2011) (De-listed 09/2017),604216,Joanne Ferstman,607938,Executive VP/CFO/Secretary (Non-Brd),2003-01-01,2009-06-19,Executive VP/CFO (Non-Brd),2008-10-24,2009-05-26
DUNDEEWEALTH INC (Dundee Wealth Management Inc prior to 06/2007) (De-listed 03/2011),748670,DUNDEE ENERGY LTD (Eurogas Corp prior to 06/2011) (De-listed 09/2017),604216,Joanne Ferstman,607938,Executive VP/CFO (Non-Brd),2002-03-01,2009-02-03,Executive VP/CFO (Non-Brd),2008-10-24,2009-05-26
CANADIAN OVERSEAS PETROLEUM LTD (Velo Energy Inc prior to 07/2010),1580960,DUNDEE ENERGY LTD (Eurogas Corp prior to 06/2011) (De-listed 09/2017),604216,John Cowan,606123,Independent Director (Brd) (SD),2015-11-10,,Director -  SD (Brd) (SD),,
DUNDEEWEALTH INC (Dundee Wealth Management Inc prior to 06/2007) (De-listed 03/2011),748670,DUNDEE ENERGY LTD (Eurogas Corp prior to 06/2011) (De-listed 09/2017),604216,Joanne Ferstman,607938,Vice Chairman/CFO (Non-Brd),2009-02-03,2009-06-04,Executive VP/CFO (Non-Brd),2008-10-24,2009-05-26
MAJOR DRILLING GROUP INTERNATIONAL INC,591271,DUNDEE ENERGY LTD (Eurogas Corp prior to 06/2011) (De-listed 09/2017),604216,Jonathan Goodman,531251,Independent Director (Brd) (SD),1999-01-01,2007-01-01,Director -  SD (Brd) (SD),,
BREAKWATER RESOURCES LTD (De-listed 09/2011),731211,DUNDEE ENERGY LTD (Eurogas Corp prior to 06/2011) (De-listed 09/2017),604216,Jonathan Goodman,531251,Independent Director (Brd) (SD),2001-06-19,2011-09-07,Director -  SD (Brd) (SD),,
DUNDEE PRECIOUS METALS INC,486408,DUNDEE ENERGY LTD (Eurogas Corp prior to 06/2011) (De-listed 09/2017),604216,Jonathan Goodman,531251,President/CEO (Brd) (ED),1995-01-01,2013-04-01,Director -  SD (Brd) (SD),,
CAMBIOR INC (De-listed 11/2006),5585,DUNDEE ENERGY LTD (Eurogas Corp prior to 06/2011) (De-listed 09/2017),604216,Jonathan Goodman,531251,Director -  SD (Brd) (SD),,,Director -  SD (Brd) (SD),,
DUNDEE CORP (Dundee Bancorp Inc prior to 12/2004),835396,DUNDEE ENERGY LTD (Eurogas Corp prior to 06/2011) (De-listed 09/2017),604216,Jonathan Goodman,531251,Independent Director (Brd) (SD),2001-01-01,2013-08-13,Director -  SD (Brd) (SD),,
SABINA GOLD & SILVER CORP,580902,DUNDEE ENERGY LTD (Eurogas Corp prior to 06/2011) (De-listed 09/2017),604216,Jonathan Goodman,531251,Independent Director (Brd) (SD),2009-06-04,2018-06-06,Director -  SD (Brd) (SD),,
DUNDEE CORP (Dundee Bancorp Inc prior to 12/2004),835396,DUNDEE ENERGY LTD (Eurogas Corp prior to 06/2011) (De-listed 09/2017),604216,Bruce Sherley,1301583,Division President/Division CEO (Non-Brd),2008-01-01,,President/CEO (Non-Brd),2015-07-31,2017-09-11
DUNDEE CORP (Dundee Bancorp Inc prior to 12/2004),835396,DUNDEE ENERGY LTD (Eurogas Corp prior to 06/2011) (De-listed 09/2017),604216,Bruce Sherley,1301583,Division President/Division CEO (Non-Brd),2008-01-01,,President/CEO (Non-Brd),2015-06-16,2015-07-31
DUNDEE CORP (Dundee Bancorp Inc prior to 12/2004),835396,DUNDEE ENERGY LTD (Eurogas Corp prior to 06/2011) (De-listed 09/2017),604216,Bruce Sherley,1301583,Division President/Division CEO (Non-Brd),2008-01-01,,President/CEO (Brd) (ED),2015-06-16,2015-07-31
DUNDEE CORP (Dundee Bancorp Inc prior to 12/2004),835396,DUNDEE ENERGY LTD (Eurogas Corp prior to 06/2011) (De-listed 09/2017),604216,Bruce Sherley,1301583,Division President/Division CEO (Non-Brd),2008-01-01,,Executive VP/COO (Non-Brd),2001-01-01,2008-11-14
DUNDEE CORP (Dundee Bancorp Inc prior to 12/2004),835396,DUNDEE ENERGY LTD (Eurogas Corp prior to 06/2011) (De-listed 09/2017),604216,Mark Goodman,1301582,Executive VP (Brd) (ED),2013-11-08,2014-08-13,Director -  SD (Brd) (SD),,
DUNDEE CORP (Dundee Bancorp Inc prior to 12/2004),835396,DUNDEE ENERGY LTD (Eurogas Corp prior to 06/2011) (De-listed 09/2017),604216,Mark Goodman,1301582,Executive VP/COO (Brd) (ED),2014-08-13,2017-06-05,Director -  SD (Brd) (SD),,
DUNDEE CORP (Dundee Bancorp Inc prior to 12/2004),835396,DUNDEE ENERGY LTD (Eurogas Corp prior to 06/2011) (De-listed 09/2017),604216,Mark Goodman,1301582,Various Positions (Non-Brd),1992-01-01,2013-11-08,Director -  SD (Brd) (SD),,
ENERGY FUELS INC (Volcanic Metals Exploration Inc prior to 06/2006),911944,DUNDEE ENERGY LTD (Eurogas Corp prior to 06/2011) (De-listed 09/2017),604216,Mark Goodman,1301582,Independent Director (Brd) (SD),2010-07-01,2015-06-16,Director -  SD (Brd) (SD),,
DUNDEE CORP (Dundee Bancorp Inc prior to 12/2004),835396,DUNDEE ENERGY LTD (Eurogas Corp prior to 06/2011) (De-listed 09/2017),604216,Bruce Sherley,1301583,Division President/Division CEO (Non-Brd),2008-01-01,,President/CEO (Brd) (ED),2015-07-31,2017-09-11
DUNDEE CORP (Dundee Bancorp Inc prior to 12/2004),835396,DUNDEE ENERGY LTD (Eurogas Corp prior to 06/2011) (De-listed 09/2017),604216,Lucie Presot,643459,VP/CFO (Non-Brd),2009-06-19,2015-01-01,CFO (Non-Brd),2009-05-22,2010-06-14
DUNDEE CORP (Dundee Bancorp Inc prior to 12/2004),835396,DUNDEE ENERGY LTD (Eurogas Corp prior to 06/2011) (De-listed 09/2017),604216,Garth MacRae,643455,Independent Director (Brd) (SD),2004-03-22,,Independent Chairman (Brd) (SD),2017-06-07,2017-09-11
DUNDEE PRECIOUS METALS INC,486408,DUNDEE ENERGY LTD (Eurogas Corp prior to 06/2011) (De-listed 09/2017),604216,Garth MacRae,643455,Independent Corporate Director (Brd) (SD),1988-01-01,1995-01-01,Independent Director (Brd) (SD),1994-04-18,2017-06-07
BREAKWATER RESOURCES LTD (De-listed 09/2011),731211,DUNDEE ENERGY LTD (Eurogas Corp prior to 06/2011) (De-listed 09/2017),604216,Ned Goodman,642466,Director -  SD (Brd) (SD),,,Chairman (Executive) (Brd) (ED),,
DUNDEE CORP (Dundee Bancorp Inc prior to 12/2004),835396,DUNDEE ENERGY LTD (Eurogas Corp prior to 06/2011) (De-listed 09/2017),604216,Lucie Presot,643459,VP/CFO (Non-Brd),2009-06-19,2015-01-01,Vice President (Non-Brd),2010-06-14,2016-11-15
DUNDEEWEALTH INC (Dundee Wealth Management Inc prior to 06/2007) (De-listed 03/2011),748670,DUNDEE ENERGY LTD (Eurogas Corp prior to 06/2011) (De-listed 09/2017),604216,Lucie Presot,643459,VP/Controller (Non-Brd),2006-01-01,2011-03-10,Vice President (Non-Brd),2010-06-14,2016-11-15
DUNDEE PRECIOUS METALS INC,486408,DUNDEE ENERGY LTD (Eurogas Corp prior to 06/2011) (De-listed 09/2017),604216,Ned Goodman,642466,Director -  SD (Brd) (SD),,,Chairman (Executive) (Brd) (ED),,
BREAKWATER RESOURCES LTD (De-listed 09/2011),731211,DUNDEE ENERGY LTD (Eurogas Corp prior to 06/2011) (De-listed 09/2017),604216,Ned Goodman,642466,Independent Chairman (Brd) (SD),2004-11-29,2005-06-23,Chairman (Executive) (Brd) (ED),,
BREAKWATER RESOURCES LTD (De-listed 09/2011),731211,DUNDEE ENERGY LTD (Eurogas Corp prior to 06/2011) (De-listed 09/2017),604216,Ned Goodman,642466,Independent Director (Brd) (SD),2005-06-23,2011-09-07,Chairman (Executive) (Brd) (ED),,
DUNDEEWEALTH INC (Dundee Wealth Management Inc prior to 06/2007) (De-listed 03/2011),748670,DUNDEE ENERGY LTD (Eurogas Corp prior to 06/2011) (De-listed 09/2017),604216,Ned Goodman,642466,Chairman (Brd) (SD),2007-06-20,2011-03-10,Chairman (Executive) (Brd) (ED),,
EXCELLON RESOURCES INC,826240,DUNDEE ENERGY LTD (Eurogas Corp prior to 06/2011) (De-listed 09/2017),604216,Ned Goodman,642466,Independent Director (Brd) (SD),2015-07-28,2017-11-02,Chairman (Executive) (Brd) (ED),,
EXCELLON RESOURCES INC,826240,DUNDEE ENERGY LTD (Eurogas Corp prior to 06/2011) (De-listed 09/2017),604216,Ned Goodman,642466,Independent Director (Brd) (SD),2013-04-30,2014-02-26,Chairman (Executive) (Brd) (ED),,
LIncolnshire Management Inc,576057,Trinity College School (TCS),604222,Jim Binch,530508,MD/Senior Operating Partner (Brd) (ED),2007-02-01,,Vice Chairman,,
DUNDEE CORP (Dundee Bancorp Inc prior to 12/2004),835396,DUNDEE ENERGY LTD (Eurogas Corp prior to 06/2011) (De-listed 09/2017),604216,Ned Goodman,642466,Chairman/President/CEO (Brd) (ED),1993-06-11,2001-11-15,Chairman (Executive) (Brd) (ED),,
