from_company,from_company_id,to_company,to_company_id,name,name_id,role_in_from_company,role_in_from_company_start_date,role_in_from_company_end_date,role_in_to_company,role_in_to_company_start_date,role_in_to_company_end_date
GGV Capital (Granite Global Ventures prior to 05/2008),661059,HiSoft Technology International Ltd (Listed 06/2010),1345797,Jenny Lee,1058812,Managing Partner (Brd) (ED),2005-04-01,,Director -  SD (Brd) (SD),,
GLU MOBILE INC,876888,HiSoft Technology International Ltd (Listed 06/2010),1345797,Jenny Lee,1058812,Investor (Non-Brd),2005-04-01,,Director -  SD (Brd) (SD),,
Boston-Power Inc,1103617,HiSoft Technology International Ltd (Listed 06/2010),1345797,Scott Bonham,1197156,Director -  SD (Brd) (SD),,,Investor (Non-Brd),2004-08-01,2010-06-30
GGV Capital (Granite Global Ventures prior to 05/2008),661059,HiSoft Technology International Ltd (Listed 06/2010),1345797,Scott Bonham,1197156,Partner (Non-Brd),2000-07-01,2011-01-01,Investor (Non-Brd),2004-08-01,2010-06-30
Sterling Group LP,485192,Encore FBO,1345800,Greg Elliott,837617,Partner (Brd) (ED),2008-05-01,,Chairman (Brd) (SD),2006-08-01,2008-01-01
Squire Patton Boggs (US) LLP (Squire Sanders (US) LLP prior to 05/2014),79403,Encore FBO,1345800,Allen Ashcraft Jr,2185865,Attorney (Non-Brd),2001-01-01,2008-02-01,Counsel (Non-Brd),2001-01-01,2008-02-01
EQT CORP (Equitable Resources Inc prior to 02/2009),10909,Christian Appalachian Project Inc (CAP),1345816,John West,837664,MD (Non-Brd),2009-03-01,2012-02-01,Director -  SD,,
Citizens National Corp,1230514,Christian Appalachian Project Inc (CAP),1345816,Bob Hutchison,837655,Director -  SD (Brd) (SD),,,Vice Chairman,,
Citizens National Corp,1230514,Christian Appalachian Project Inc (CAP),1345816,Bob Hutchison,837655,Director -  SD (Brd) (SD),,,Director -  SD,,
MCDONALD'S CORP,19944,Christian Appalachian Project Inc (CAP),1345816,Bill Mills,837647,Director - Ops (Non-Brd),2009-05-01,2011-08-01,Director -  SD,,
TENNESSEE VALLEY AUTHORITY,30424,Christian Appalachian Project Inc (CAP),1345816,Mike Duncan,796651,Chairman (Brd) (SD),2009-05-18,2010-05-18,Director -  SD,,
TENNESSEE VALLEY AUTHORITY,30424,Christian Appalachian Project Inc (CAP),1345816,Mike Duncan,796651,Director -  SD (Brd) (SD),,,Director -  SD,,
COMMUNITY TRUST BANCORP INC (Pikeville National Corp prior to 05/1997),7423,Christian Appalachian Project Inc (CAP),1345816,Mark Gooch,324270,Executive VP/Secretary (Non-Brd),2005-04-26,,Advisory Council Member,,
WALMART INC (Wal-Mart Stores Inc prior to 02/2018),33046,Christian Appalachian Project Inc (CAP),1345816,Bob Gound,1783686,Market Manager (Non-Brd),1992-09-01,,Director -  SD,,
Thrivent Financial for Lutherans,460998,Christian Appalachian Project Inc (CAP),1345816,Rob Lawson,1641808,Financial Consultant (Non-Brd),2011-10-01,2015-03-01,Director -  SD,,
Thrivent Financial for Lutherans,460998,Christian Appalachian Project Inc (CAP),1345816,Rob Lawson,1641808,Regional Director (Non-Brd),2015-03-01,,Director -  SD,,
Dinsmore & Shohl LLP (Dinsmore & Shohl PLL prior to 10/1996),82414,Christian Appalachian Project Inc (CAP),1345816,John Rhorer Jr,1632187,Partner (Non-Brd),,,Legal Counsel (Non-Brd),,
JackBe Corp,819164,Certisign Certificadora Digital SA,1345821,Jon Kruse,836001,Observer (Non-Brd),,,Observer (Non-Brd),,
TOA Technologies Inc,1345826,Certisign Certificadora Digital SA,1345821,Jon Kruse,836001,Observer (Non-Brd),,,Observer (Non-Brd),,
Intel Capital Corp,247371,Certisign Certificadora Digital SA,1345821,Ricardo Arantes,835920,Director -  Non-Brd (Non-Brd),,,Observer (Non-Brd),,
Darby Overseas Investments Ltd,100487,Certisign Certificadora Digital SA,1345821,Cole van Nice,1330489,Vice President (Non-Brd),1999-01-01,2006-01-01,Director -  SD (Brd) (SD),,
JackBe Corp,819164,Certisign Certificadora Digital SA,1345821,Cole van Nice,1330489,Director -  SD (Brd) (SD),,,Director -  SD (Brd) (SD),,
Intel Capital Corp,247371,Arizona Angels Investor Network,1345823,John Mascarenas,836011,Director -  Non-Brd (Non-Brd),,,Advisor (Non-Brd),2000-01-01,
INTEL CORP,16239,Arizona Angels Investor Network,1345823,John Mascarenas,836011,Senior Investment Director (Non-Brd),1980-09-01,2013-11-01,Advisor (Non-Brd),2000-01-01,
Altas Partners LP,1899434,Chicago Fire Soccer Club,1345824,Andrew Hauptman,332021,Advisory Board Member (Non-Brd),2014-01-01,,Chairman,,
ENOVA INTERNATIONAL INC,2167195,Chicago Fire Soccer Club,1345824,Stacey Kraft,1995900,Chief People Officer (Non-Brd),2018-02-01,,Manager,,
GROUPON INC,1732178,Chicago Fire Soccer Club,1345824,Stacey Kraft,1995900,Vice President (Non-Brd),2015-11-01,2018-01-01,Manager,,
ADOLOR CORP (De-listed 12/2011),811,Revolution Analytics (REvolution Computing Inc prior to 05/2010),1345825,Don Nickelson,182506,Independent Director (Brd) (SD),2003-09-22,2011-12-12,Director -  SD (Brd) (SD),,
NATIONAL INSTRUMENTS CORP,21606,Revolution Analytics (REvolution Computing Inc prior to 05/2010),1345825,Mike McGrath,506399,Independent Director (Brd) (SD),2014-05-13,2018-01-01,Director -  SD (Brd) (SD),,
Intel Capital Corp,247371,Revolution Analytics (REvolution Computing Inc prior to 05/2010),1345825,Pat Walsh,836059,Investment Director (Non-Brd),2007-04-01,2018-01-01,Observer (Non-Brd),2007-12-01,2014-07-01
Black Duck Software Inc,577780,Revolution Analytics (REvolution Computing Inc prior to 05/2010),1345825,Pat Walsh,836059,Observer (Non-Brd),2007-08-01,2017-12-01,Observer (Non-Brd),2007-12-01,2014-07-01
Gaikai Inc,1704848,Revolution Analytics (REvolution Computing Inc prior to 05/2010),1345825,Pat Walsh,836059,Observer (Non-Brd),2010-08-01,2012-08-01,Observer (Non-Brd),2007-12-01,2014-07-01
Black Duck Software Inc,577780,Revolution Analytics (REvolution Computing Inc prior to 05/2010),1345825,Pat Walsh,836059,Observer (Non-Brd),2007-08-01,2017-12-01,Director -  SD (Brd) (SD),,
Apperian Inc,1604065,Revolution Analytics (REvolution Computing Inc prior to 05/2010),1345825,Pat Walsh,836059,Observer (Non-Brd),2015-01-01,2016-12-01,Director -  SD (Brd) (SD),,
Intel Capital Corp,247371,Revolution Analytics (REvolution Computing Inc prior to 05/2010),1345825,Pat Walsh,836059,Investment Director (Non-Brd),2007-04-01,2018-01-01,Director -  SD (Brd) (SD),,
Tapjoy Inc (Offerpal Media prior to 10/2010),1240953,Revolution Analytics (REvolution Computing Inc prior to 05/2010),1345825,Paul Santinelli,1328104,Director -  SD (Brd) (SD),,,Director -  SD (Brd) (SD),,
Embrane Inc,1665392,Revolution Analytics (REvolution Computing Inc prior to 05/2010),1345825,Paul Santinelli,1328104,Director -  SD (Brd) (SD),,,Director -  SD (Brd) (SD),,
Foro Energy Inc,1749200,Revolution Analytics (REvolution Computing Inc prior to 05/2010),1345825,Paul Santinelli,1328104,Director -  SD (Brd) (SD),,,Director -  SD (Brd) (SD),,
Lytro Inc (Ceased Trading 03/2018),1805742,Revolution Analytics (REvolution Computing Inc prior to 05/2010),1345825,Paul Santinelli,1328104,Director -  SD (Brd) (SD),,,Director -  SD (Brd) (SD),,
Cool Planet Energy Systems Inc (Cool Planet BioFuels Inc prior to 02/2011),1900405,Revolution Analytics (REvolution Computing Inc prior to 05/2010),1345825,Basil Horangic,1321026,Director -  SD (Brd) (SD),,,Director -  SD (Brd) (SD),,
Genentech Inc,787113,Revolution Analytics (REvolution Computing Inc prior to 05/2010),1345825,Doctor Robert Gentleman,1321023,Senior Director (Non-Brd),2009-09-01,2015-03-01,Director -  SD (Brd) (SD),,
23andMe Inc,1092418,Revolution Analytics (REvolution Computing Inc prior to 05/2010),1345825,Doctor Robert Gentleman,1321023,Vice President (Non-Brd),2015-04-02,,Director -  SD (Brd) (SD),,
River Logic Inc,734274,Revolution Analytics (REvolution Computing Inc prior to 05/2010),1345825,Dave Rich,1320976,Director -  SD (Brd) (SD),,,CEO (Brd) (ED),2012-02-02,2015-10-01
Pentaho Corporation,756926,Revolution Analytics (REvolution Computing Inc prior to 05/2010),1345825,Zack Urlocker,1259471,Director -  SD (Brd) (SD),,,Director -  SD (Brd) (SD),,
Zendesk Inc (Listed 05/2014),1720848,Revolution Analytics (REvolution Computing Inc prior to 05/2010),1345825,Zack Urlocker,1259471,COO (Non-Brd),2011-01-25,2013-05-01,Director -  SD (Brd) (SD),,
PubNub Inc,1823789,Revolution Analytics (REvolution Computing Inc prior to 05/2010),1345825,Zack Urlocker,1259471,Director -  SD (Brd) (SD),,,Director -  SD (Brd) (SD),,
CollabNet Inc,530392,Revolution Analytics (REvolution Computing Inc prior to 05/2010),1345825,Brian Behlendorf,1259550,Director -  SD (Brd) (SD),,,Director -  SD (Brd) (SD),,
Acquia Inc,1246959,Revolution Analytics (REvolution Computing Inc prior to 05/2010),1345825,Michael Skok,1200454,Director -  SD (Brd) (SD),,,Director -  SD (Brd) (SD),,
Unidesk Corp,1385619,Revolution Analytics (REvolution Computing Inc prior to 05/2010),1345825,Michael Skok,1200454,Director -  SD (Brd) (SD),,,Director -  SD (Brd) (SD),,
Intel Capital Corp,247371,TOA Technologies Inc,1345826,Vibhor Rastogi,1130205,Director -  Non-Brd (Non-Brd),,,Observer (Non-Brd),2013-06-01,2014-08-01
CareCloud Corp,1892710,TOA Technologies Inc,1345826,Vibhor Rastogi,1130205,Observer (Non-Brd),2011-09-01,2017-05-01,Observer (Non-Brd),2013-06-01,2014-08-01
PNC FINANCIAL SERVICES GROUP INC,24669,TOA Technologies Inc,1345826,Michael McDonnell,1330698,Division VP (Non-Brd),2009-12-01,2011-03-01,Vice President - Acquisitions (Non-Brd),2011-02-01,2015-01-01
Draper Triangle Ventures LP,746021,TOA Technologies Inc,1345826,Mike Stubler,1330679,MD (Brd) (ED),1999-01-11,,Director -  SD (Brd) (SD),,
OnShift Inc (Formerly known as BSKLive Corp (StaffKnex)),1896067,TOA Technologies Inc,1345826,Mike Stubler,1330679,Director -  SD (Brd) (SD),,,Director -  SD (Brd) (SD),,
JackBe Corp,819164,TOA Technologies Inc,1345826,Jon Kruse,836001,Observer (Non-Brd),,,Observer (Non-Brd),,
TCMI Inc (Technology Crossover Ventures (TCV)),103907,TOA Technologies Inc,1345826,Tim McAdam,655278,General Partner (Brd) (ED),2010-05-28,,Director -  SD (Brd) (SD),,
ORACLE CORP (Oracle Systems Corp prior to 02/1995),23295,TOA Technologies Inc,1345826,Nigel Clark,504690,Global Leader (Non-Brd),2014-11-01,,Vice President - Alliances (Non-Brd),2014-04-01,2015-09-01
Lifesize Inc (LifeSize Communications Inc prior to 01/2016),2491560,TOA Technologies Inc,1345826,Andy Sheehan,201419,Director -  SD (Brd) (SD),,,Director -  SD (Brd) (SD),,
OnShift Inc (Formerly known as BSKLive Corp (StaffKnex)),1896067,TOA Technologies Inc,1345826,Jonathan Murray,1826439,Director -  SD (Brd) (SD),,,Director -  SD (Brd) (SD),,
CLEAN HARBORS INC,7045,Urgent VC,1345827,John DeVillars,371646,Independent Director (Brd) (SD),2001-06-15,2016-06-08,Advisor (Non-Brd),,
TRC COMPANIES INC (De-listed 06/2017),31238,Urgent VC,1345827,John DeVillars,371646,Senior VP (Non-Brd),2010-03-30,2012-01-01,Advisor (Non-Brd),,
CONVERTED ORGANICS INC (De-listed 07/2011),948894,Urgent VC,1345827,John DeVillars,371646,Independent Director (Brd) (SD),2006-06-01,2011-07-07,Advisor (Non-Brd),,
Intel Capital Corp,247371,Urgent VC,1345827,Pat Walsh,836059,Investment Director (Non-Brd),2007-04-01,2018-01-01,Advisory Board Member (Non-Brd),,
Black Duck Software Inc,577780,Urgent VC,1345827,Pat Walsh,836059,Observer (Non-Brd),2007-08-01,2017-12-01,Advisory Board Member (Non-Brd),,
Revolution Analytics (REvolution Computing Inc prior to 05/2010),1345825,Urgent VC,1345827,Pat Walsh,836059,Director -  SD (Brd) (SD),,,Advisory Board Member (Non-Brd),,
Revolution Analytics (REvolution Computing Inc prior to 05/2010),1345825,Urgent VC,1345827,Pat Walsh,836059,Observer (Non-Brd),2007-12-01,2014-07-01,Advisory Board Member (Non-Brd),,
Yottaa Inc,1450866,Urgent VC,1345827,Pat Walsh,836059,Director -  SD (Brd) (SD),,,Advisory Board Member (Non-Brd),,
Apperian Inc,1604065,Urgent VC,1345827,Pat Walsh,836059,Observer (Non-Brd),2015-01-01,2016-12-01,Advisory Board Member (Non-Brd),,
Gaikai Inc,1704848,Urgent VC,1345827,Pat Walsh,836059,Observer (Non-Brd),2010-08-01,2012-08-01,Advisory Board Member (Non-Brd),,
Radius Inc (High Street Partners Inc prior to 04/2014),1245944,Achilles Holdco Ltd,1345828,Nick Luckock,1358154,Director -  SD (Brd) (SD),,,NED (Brd) (SD),2016-12-01,
INTEL CORP,16239,Portland Baroque Orchestra,1345834,Jon Kruse,836001,Marketing Manager (Non-Brd),1999-04-01,2001-09-01,Chairman,,
