from_company,from_company_id,to_company,to_company_id,name,name_id,role_in_from_company,role_in_from_company_start_date,role_in_from_company_end_date,role_in_to_company,role_in_to_company_start_date,role_in_to_company_end_date
Juventas Therapeutics Inc (AcelleRX Therapeutics Inc prior to 10/2008),1656238,Cleveland Clinic (Formerly known as Cleveland Clinic Foundation),78507,Karen Shanahan,1675382,Director -  SD (Brd) (SD),,,Senior General Manager (Non-Brd),,2016-08-01
Jackson Laboratory (The),625180,Cleveland Clinic (Formerly known as Cleveland Clinic Foundation),78507,Janet Rossant,1682864,Chairman (Non-Brd),1995-01-01,1997-01-01,Member,,
Cardionomic Inc,2207562,Cleveland Clinic (Formerly known as Cleveland Clinic Foundation),78507,Karen Shanahan,1675382,Director -  SD (Brd) (SD),,,Senior General Manager (Non-Brd),,2016-08-01
BANK OF NEW YORK MELLON CORP (THE),945834,Cleveland Clinic (Formerly known as Cleveland Clinic Foundation),78507,Stefan Strein,1662247,Advisor (Non-Brd),,2016-01-01,Chief Investment Officer (Non-Brd),2015-10-15,
Maryland State Retirement and Pension System,2054173,Cleveland Clinic (Formerly known as Cleveland Clinic Foundation),78507,Stefan Strein,1662247,Advisor (Non-Brd),2014-07-01,2017-06-30,Chief Investment Officer (Non-Brd),2015-10-15,
VARIAN MEDICAL SYSTEMS INC,32375,Cleveland Clinic (Formerly known as Cleveland Clinic Foundation),78507,Doctor Pat Kupelian,1662328,Vice President - Medical Affairs (Non-Brd),2016-01-26,,Fellow,,
Avedro Inc (Listed 02/2019),1260284,Cleveland Clinic (Formerly known as Cleveland Clinic Foundation),78507,Doctor William Dupps Jr,1658189,Advisory Board Member (Non-Brd),,2019-02-14,Physician (Non-Brd),2006-07-01,
Versant Venture Management LLC,488922,Cleveland Clinic (Formerly known as Cleveland Clinic Foundation),78507,Beckie Robertson,765808,MD (Brd) (ED),1999-01-01,,Advisory Board Member,,
TelaDoc Inc (Listed 07/2015),1055440,Cleveland Clinic (Formerly known as Cleveland Clinic Foundation),78507,John Reardon,766305,Director -  SD (Brd) (SD),,,Advisory Board Member,,
Trident Capital Inc,537127,Cleveland Clinic (Formerly known as Cleveland Clinic Foundation),78507,John Reardon,766305,MD (Non-Brd),2008-03-01,2019-01-01,Advisory Board Member,,
ArroHealth Inc (MedSave USA Inc prior to 03/2015),2075579,Cleveland Clinic (Formerly known as Cleveland Clinic Foundation),78507,John Reardon,766305,Chairman (Brd) (SD),2013-09-01,2014-09-01,Advisory Board Member,,
Benvenue Medical Inc,1100073,Cleveland Clinic (Formerly known as Cleveland Clinic Foundation),78507,Beckie Robertson,765808,Director -  SD (Brd) (SD),,,Advisory Board Member,,
Intuity Medical Inc (Rosedale Medical Inc prior to 06/2007),1246278,Cleveland Clinic (Formerly known as Cleveland Clinic Foundation),78507,Beckie Robertson,765808,Director -  SD (Brd) (SD),,,Advisory Board Member,,
MiMedx Group Inc (Alynx Co prior to 03/2008) (Listed 04/2013),1063646,Cleveland Clinic (Formerly known as Cleveland Clinic Foundation),78507,Doctor Tom Graham,755748,Advisor (Non-Brd),,2013-04-25,Chief Innovation Officer (Non-Brd),2010-01-01,2015-12-01
Ourpets Co,23480,Cleveland Clinic (Formerly known as Cleveland Clinic Foundation),78507,John Spirk Jr,756866,Independent Director (Brd) (SD),2006-01-03,,Trustee,,
