from_company,from_company_id,to_company,to_company_id,name,name_id,role_in_from_company,role_in_from_company_start_date,role_in_from_company_end_date,role_in_to_company,role_in_to_company_start_date,role_in_to_company_end_date
Moderna Inc (Moderna Therapeutics Inc prior to 08/2018) (Listed 12/2018),1809747,AxioMx Inc,1979938,Doctor Lee Babiss,1086200,Director -  SD (Brd) (SD),,,Director -  SD (Brd) (SD),,
ReNetX Bio Inc (Axerion Therapeutics Inc prior to 07/2017),1689723,AxioMx Inc,1979938,Russ Tweeddale,1676508,Director -  SD (Brd) (SD),,,Director -  SD (Brd) (SD),,
Minnesota Lawyers Mutual Insurance Co (MLM),1813501,Osceola United Methodist Church (OUMC),1979943,Elisabeth Reynoldson,1333508,Director -  SD (Brd) (SD),,,Trustee,,
Minnesota Lawyers Mutual Insurance Co (MLM),1813501,Osceola United Methodist Church (OUMC),1979943,Elisabeth Reynoldson,1333508,Director -  SD (Brd) (SD),,,Committee Member,,
Minnesota Lawyers Mutual Insurance Co (MLM),1813501,Osceola United Methodist Church (OUMC),1979943,Elisabeth Reynoldson,1333508,Director -  SD (Brd) (SD),,,Chairman,,
Minnesota Lawyers Mutual Insurance Co (MLM),1813501,Osceola United Methodist Church (OUMC),1979943,Elisabeth Reynoldson,1333508,Director -  SD (Brd) (SD),,,Board Member,,
Minnesota Lawyers Mutual Insurance Co (MLM),1813501,Rotary Club of Osceola,1979947,Elisabeth Reynoldson,1333508,Director -  SD (Brd) (SD),,,President,,
Minnesota Lawyers Mutual Insurance Co (MLM),1813501,Rotary Club of Osceola,1979947,Elisabeth Reynoldson,1333508,Director -  SD (Brd) (SD),,,Member,,
LIPARI ENERGY INC (Skyberry Capital Corp prior to 03/2011) (De-listed 10/2013),1719124,Szalankiewicz Engineering Inc,1979948,James Szalankiewicz,1332494,Independent Director (Brd) (SD),2012-11-09,2013-10-31,Consultant (Non-Brd),2007-01-01,
LIPARI ENERGY INC (Skyberry Capital Corp prior to 03/2011) (De-listed 10/2013),1719124,Keystone Elk Country Alliance,1979953,James Szalankiewicz,1332494,Independent Director (Brd) (SD),2012-11-09,2013-10-31,Founding Member,,
ROCKWELL COLLINS INC (De-listed 11/2018),26467,AF Kelly & Associates Inc,1979957,Kevin Moore,2091521,Executive (Non-Brd),1999-01-01,2008-01-01,Vice President - Research (Non-Brd),2000-01-01,2003-01-01
STG Partners LLC,567521,SIGMA Integrated Reservoir Solutions Inc,1979959,John Treadwell,603261,MD (Non-Brd),2010-07-07,,Director -  SD (Brd) (SD),,
RedSeal Inc (RedSeal Networks Inc prior to 10/2011),1735814,SIGMA Integrated Reservoir Solutions Inc,1979959,John Treadwell,603261,Director -  SD (Brd) (SD),,,Director -  SD (Brd) (SD),,
STG Partners LLC,567521,SIGMA Integrated Reservoir Solutions Inc,1979959,Sunit Mukherjee,1345430,Principal (Non-Brd),2010-01-01,2019-01-01,Director -  SD (Brd) (SD),,
