from_company,from_company_id,to_company,to_company_id,name,name_id,role_in_from_company,role_in_from_company_start_date,role_in_from_company_end_date,role_in_to_company,role_in_to_company_start_date,role_in_to_company_end_date
JR Simplot Co,117291,JR Simplot Foundation,950938,Annette Elg,1447994,Senior VP/CFO (Non-Brd),2002-08-01,2016-12-01,Treasurer,,
Bank of the Cascades,489857,JR Simplot Foundation,950938,Annette Elg,1447994,Director -  SD (Brd) (SD),,,Treasurer,,
IDACORP INC,15470,JR Simplot Foundation,950938,Annette Elg,1447994,Independent Director (Brd) (SD),2017-02-08,,Treasurer,,
AGF MANAGEMENT LIMITED,263081,Smith & Williamson Holdings Limited,950940,Bob Bogart,1070840,Executive VP/CFO (Non-Brd),2010-12-08,2016-07-04,NED (Brd) (SD),2012-01-23,2017-09-28
AGF MANAGEMENT LIMITED,263081,Smith & Williamson Holdings Limited,950940,Bob Bogart,1070840,Executive VP/Head of Development (Non-Brd),2016-07-04,2017-04-01,NED (Brd) (SD),2012-01-23,2017-09-28
Grant Thornton LLP,100932,Smith & Williamson Holdings Limited,950940,Trudi Amy,803962,Director - Tax (Non-Brd),2012-01-01,2018-06-01,Director - Tax (Non-Brd),1996-07-01,2012-01-01
AGF MANAGEMENT LIMITED,263081,Smith & Williamson Holdings Limited,950940,Bill Cameron,803801,CFO (Non-Brd),2004-01-01,2005-01-01,NED (Brd) (SD),2002-12-02,2014-07-24
AGF MANAGEMENT LIMITED,263081,Smith & Williamson Holdings Limited,950940,Bill Cameron,803801,Various Positions (Non-Brd),1996-01-01,2004-01-01,NED (Brd) (SD),2002-12-02,2014-07-24
AGF MANAGEMENT LIMITED,263081,Smith & Williamson Holdings Limited,950940,Greg Henderson,640815,Senior VP/CFO (Non-Brd),2004-09-01,2010-03-10,NED (Brd) (SD),2007-10-04,2010-03-09
AGF MANAGEMENT LIMITED,263081,Smith & Williamson Holdings Limited,950940,Colonel Blake Goldring,640759,Chairman (Executive) (Brd) (ED),,,NED (Brd) (SD),2012-01-23,2013-01-31
AGF MANAGEMENT LIMITED,263081,Smith & Williamson Holdings Limited,950940,Colonel Blake Goldring,640759,Chairman/CEO (Brd) (ED),2006-01-01,2018-12-01,NED (Brd) (SD),2012-01-23,2013-01-31
AGF MANAGEMENT LIMITED,263081,Smith & Williamson Holdings Limited,950940,Colonel Blake Goldring,640759,Chairman (Executive) (Brd) (ED),,,NED (Brd) (SD),2014-07-24,
AGF MANAGEMENT LIMITED,263081,Smith & Williamson Holdings Limited,950940,Colonel Blake Goldring,640759,Chairman/CEO (Brd) (ED),2006-01-01,2018-12-01,NED (Brd) (SD),2014-07-24,
AGF MANAGEMENT LIMITED,263081,Smith & Williamson Holdings Limited,950940,Colonel Blake Goldring,640759,Chairman/CEO (Brd) (ED),2006-01-01,2018-12-01,Alternate NED (Non-Brd),2013-01-31,2014-07-24
AGF MANAGEMENT LIMITED,263081,Smith & Williamson Holdings Limited,950940,Ani Markova,1086531,Division VP (Non-Brd),2009-01-01,2019-01-01,Partner (Non-Brd),2016-01-01,2019-01-01
SILVERCREST METALS INC (SilverCrest Mines Inc prior to 10/2015),1225776,Smith & Williamson Holdings Limited,950940,Ani Markova,1086531,Independent Director (Brd) (SD),2019-05-30,,Partner (Non-Brd),2016-01-01,2019-01-01
WESTERN UNION CO,840164,Smith & Williamson Holdings Limited,950940,Libby Chambers,1141853,Executive VP/Chief Strategy Officer/Chief Product and Marketing Officer (Non-Brd),2015-11-11,2018-01-01,Independent NED (Brd) (SD),2015-07-14,
Northwestern Mutual Life Insurance Company,791010,RS Investment Management Co LLC,950950,Leslie Barbi,1544934,Senior VP - Investment (Non-Brd),2014-05-01,2019-01-01,Co-Portfolio Manager (Non-Brd),2013-07-18,
Guardian Life Insurance Co of America,883663,RS Investment Management Co LLC,950950,Leslie Barbi,1544934,Senior MD (Non-Brd),2004-05-01,2014-04-01,Co-Portfolio Manager (Non-Brd),2013-07-18,
BARNES & NOBLE INC (De-listed 08/2019),3593,RS Investment Management Co LLC,950950,Paul Guenther,183004,Independent Director (Brd) (SD),2015-06-16,2019-08-07,Director -  SD (Brd) (SD),,
Northwell Health Inc (North Shore-Long Island Jewish Health System Inc prior to 01/2016),47044,RS Investment Management Co LLC,950950,Paul Guenther,183004,Trustee (Brd) (SD),,,Director -  SD (Brd) (SD),,
ZAIS GROUP HOLDINGS INC (HF2 Financial Management Inc prior to 03/2015) (De-listed 05/2018),1942030,RS Investment Management Co LLC,950950,Paul Guenther,183004,Independent Director (Brd) (SD),2015-03-17,2018-05-18,Director -  SD (Brd) (SD),,
Guardian Life Insurance Co of America,883663,RS Investment Management Co LLC,950950,Paul Guenther,183004,Independent Director (Brd) (SD),2002-01-01,2015-12-01,Director -  SD (Brd) (SD),,
INTERACTIVE BROKERS GROUP INC,1051740,RS Investment Management Co LLC,950950,Doctor Larry Harris,602801,Lead Independent Director (Brd) (SD),2012-07-17,,Trustee (Brd) (SD),2013-12-01,2014-01-01
Guardian Life Insurance Co of America,883663,RS Investment Management Co LLC,950950,Tom Sorell,592725,Executive VP/Chief Investment Officer (Non-Brd),2003-02-01,,Director -  SD (Brd) (SD),,
Guardian Life Insurance Co of America,883663,RS Investment Management Co LLC,950950,Tom Sorell,592725,Executive VP/Chief Investment Officer (Non-Brd),2003-02-01,,Chief Investment Officer (Non-Brd),2003-02-01,2009-03-01
Guardian Life Insurance Co of America,883663,RS Investment Management Co LLC,950950,Deanna Mulligan,592152,President/CEO (Brd) (ED),2011-07-01,,Chairman (Brd) (SD),2011-07-01,2012-01-01
MANULIFE FINANCIAL CORP,19601,RS Investment Management Co LLC,950950,Marc Costantini,887770,Executive VP - Strategy & Development (Non-Brd),2012-01-01,2014-01-01,Director -  SD (Brd) (SD),,
