from_company,from_company_id,to_company,to_company_id,name,name_id,role_in_from_company,role_in_from_company_start_date,role_in_from_company_end_date,role_in_to_company,role_in_to_company_start_date,role_in_to_company_end_date
INFINERA CORP,577575,Cake4Kids Corp,2017942,Donica Forensich,1692389,Director - Legal (Non-Brd),2010-01-01,2013-06-01,Legal Adviser,,
INFINERA CORP,577575,Cake4Kids Corp,2017942,Donica Forensich,1692389,Senior Division Director (Non-Brd),2013-06-01,2013-11-01,Legal Adviser,,
vArmour Networks Inc,2075604,Cake4Kids Corp,2017942,Tim Eades,376900,CEO (Brd) (ED),2014-06-11,,Director -  SD,,
vArmour Networks Inc,2075604,Cake4Kids Corp,2017942,Tim Eades,376900,CEO (Non-Brd),2014-06-11,,Director -  SD,,
vArmour Networks Inc,2075604,Cake4Kids Corp,2017942,Tim Eades,376900,CEO (Brd) (ED),2013-10-01,2014-06-11,Director -  SD,,
vArmour Networks Inc,2075604,Cake4Kids Corp,2017942,Tim Eades,376900,CEO (Non-Brd),2013-10-01,2014-06-11,Director -  SD,,
Neo4j Inc (Neo Technology Inc prior to 07/2017),1962251,Natel Engineering Co Inc (NEO Technology Solutions),2017951,Doctor Prakash Bhartia,1742836,Fellow,,,Fellow (Non-Brd),2015-01-01,
Neo4j Inc (Neo Technology Inc prior to 07/2017),1962251,Natel Engineering Co Inc (NEO Technology Solutions),2017951,Doctor Prakash Bhartia,1742836,Fellow,,,Executive VP (Non-Brd),2003-01-01,2015-01-01
ITERIS INC (Iteris Holdings prior to 12/2004),17126,Natel Engineering Co Inc (NEO Technology Solutions),2017951,Laura Siegal,376499,Independent Director (Brd) (SD),2018-05-15,,CFO (Brd) (ED),2013-07-01,2019-06-01
KRATOS DEFENSE & SECURITY SOLUTIONS INC (Wireless Facilities Inc prior to 9/2007),33597,Natel Engineering Co Inc (NEO Technology Solutions),2017951,Laura Siegal,376499,Employee (Non-Brd),2013-07-01,2013-07-26,CFO (Brd) (ED),2013-07-01,2019-06-01
Aerospace Industries Association of America Inc (AIA),78973,Natel Engineering Co Inc (NEO Technology Solutions),2017951,Laura Siegal,376499,Director -  SD (Brd) (SD),,,CFO (Brd) (ED),2013-07-01,2019-06-01
Advaxis Inc (Great Expectations and Associates Inc prior to 12/2004) (Listed 10/2013),645195,Energy Smart Resources Inc,2017956,Richard Berman,377476,Independent Director (Brd) (SD),2005-09-01,2013-10-17,Vice Chairman (Brd) (SD),2012-01-01,
CALADRIUS BIOSCIENCES INC (NeoStem Inc prior to 06/2015),887375,Energy Smart Resources Inc,2017956,Richard Berman,377476,Independent Director (Brd) (SD),2006-11-15,2017-05-16,Vice Chairman (Brd) (SD),2012-01-01,
Cryoport Inc (Listed 07/2015),1203356,Energy Smart Resources Inc,2017956,Richard Berman,377476,Independent Director (Brd) (SD),2015-01-12,2015-07-24,Vice Chairman (Brd) (SD),2012-01-01,
MetaStat Inc (Photovoltaic Solar Cells Inc prior to 04/2012),1224769,Energy Smart Resources Inc,2017956,Richard Berman,377476,Lead Independent Chairman (Brd) (SD),2014-10-15,2017-05-03,Vice Chairman (Brd) (SD),2012-01-01,
Catasys Inc (Hythiam Inc prior to 03/2011) (Listed 04/2017),1630664,Energy Smart Resources Inc,2017956,Richard Berman,377476,Independent Director (Brd) (SD),2017-03-11,2017-04-26,Vice Chairman (Brd) (SD),2012-01-01,
Strategic Funding Source Inc,1908108,Energy Smart Resources Inc,2017956,Richard Berman,377476,Director -  SD (Brd) (SD),,,Vice Chairman (Brd) (SD),2012-01-01,
BlackRidge Technology Holdings Inc,1976437,Energy Smart Resources Inc,2017956,Richard Berman,377476,Director -  SD (Brd) (SD),,,Vice Chairman (Brd) (SD),2012-01-01,
ADVAXIS INC,1996272,Energy Smart Resources Inc,2017956,Richard Berman,377476,Independent Director (Brd) (SD),2013-10-17,,Vice Chairman (Brd) (SD),2012-01-01,
QuantumSphere Inc (Way Cool Imports Inc prior to 04/2014),2130955,Energy Smart Resources Inc,2017956,Richard Berman,377476,Independent Director (Brd) (SD),2014-04-22,2014-08-07,Vice Chairman (Brd) (SD),2012-01-01,
CRYOPORT INC,2312125,Energy Smart Resources Inc,2017956,Richard Berman,377476,Independent Director (Brd) (SD),2015-07-24,2015-10-28,Vice Chairman (Brd) (SD),2012-01-01,
CRYOPORT INC,2312125,Energy Smart Resources Inc,2017956,Richard Berman,377476,Lead Independent Director (Brd) (SD),2015-10-28,,Vice Chairman (Brd) (SD),2012-01-01,
CATASYS INC,2651466,Energy Smart Resources Inc,2017956,Richard Berman,377476,Independent Director (Brd) (SD),2017-04-26,2019-07-16,Vice Chairman (Brd) (SD),2012-01-01,
CHUBB LTD (ACE Ltd prior to 01/2016),616,ACE Asia Pacific Services Pte Ltd,2017968,Juan Ortega Guarderas,1351583,Regional President (Non-Brd),2013-09-01,2014-03-12,President (Non-Brd),2013-09-01,2016-01-14
CHUBB LTD (ACE Ltd prior to 01/2016),616,ACE Asia Pacific Services Pte Ltd,2017968,Juan Ortega Guarderas,1351583,Regional Senior VP (Non-Brd),2011-01-01,2013-09-01,President (Non-Brd),2013-09-01,2016-01-14
CHUBB LTD (ACE Ltd prior to 01/2016),616,ACE Asia Pacific Services Pte Ltd,2017968,Juan Ortega Guarderas,1351583,Regional Senior VP (Non-Brd),2008-12-01,2010-12-01,President (Non-Brd),2013-09-01,2016-01-14
CHUBB LTD (ACE Ltd prior to 01/2016),616,ACE Asia Pacific Services Pte Ltd,2017968,Juan Ortega Guarderas,1351583,Senior VP/Regional President (Non-Brd),2016-10-01,2019-08-01,President (Non-Brd),2013-09-01,2016-01-14
CHUBB LTD (ACE Ltd prior to 01/2016),616,ACE Asia Pacific Services Pte Ltd,2017968,Juan Ortega Guarderas,1351583,Senior VP/Regional President (Non-Brd),2015-04-01,2016-10-01,President (Non-Brd),2013-09-01,2016-01-14
CHUBB LTD (ACE Ltd prior to 01/2016),616,ACE Asia Pacific Services Pte Ltd,2017968,Juan Ortega Guarderas,1351583,VP/Regional President (Non-Brd),2014-03-12,2015-04-01,President (Non-Brd),2013-09-01,2016-01-14
CHUBB LTD (ACE Ltd prior to 01/2016),616,ACE Asia Pacific Services Pte Ltd,2017968,Damien Sullivan,644045,Regional Chairman (Non-Brd),2013-09-01,2014-03-12,Chairman (Brd) (SD),2013-09-01,2016-04-01
CHUBB LTD (ACE Ltd prior to 01/2016),616,ACE Asia Pacific Services Pte Ltd,2017968,Damien Sullivan,644045,Senior VP/Regional Chairman (Non-Brd),2014-03-12,2016-04-19,Chairman (Brd) (SD),2013-09-01,2016-04-01
General Atlantic LLC (General Atlantic Partners LLC prior to 02/2005),39576,Healthy LifeStars,2017971,Jeff Sisson,376173,Special Advisor (Non-Brd),2011-03-01,2015-01-01,Vice Chairman,,
IHS INC (De-listed 07/2016),586129,Healthy LifeStars,2017971,Jeff Sisson,376173,Senior VP/Chief Human Resource Officer (Non-Brd),2008-01-01,2016-07-12,Vice Chairman,,
IHS MARKIT LTD (Markit Ltd prior to 07/2016),2077809,Healthy LifeStars,2017971,Jeff Sisson,376173,Executive VP/Chief of Staff (Non-Brd),2016-07-12,2017-03-01,Vice Chairman,,
IHS MARKIT LTD (Markit Ltd prior to 07/2016),2077809,Healthy LifeStars,2017971,Doctor Ruann Ernst,140154,Independent NED (Brd) (SD),2016-07-12,,Chairman,,
DIGITAL REALTY TRUST INC,641924,Healthy LifeStars,2017971,Doctor Ruann Ernst,140154,Independent Director (Brd) (SD),2005-05-06,2015-05-11,Chairman,,
IHS INC (De-listed 07/2016),586129,Healthy LifeStars,2017971,Doctor Ruann Ernst,140154,Independent Director (Brd) (SD),2006-12-15,2016-07-12,Chairman,,
CITRIX SYSTEMS INC,6959,Positive Solutions (Financial Services) Ltd,2017987,Moira Kilcoyne,1304659,Independent Director (Brd) (SD),2018-06-06,,NED (Brd) (SD),2016-12-31,
WELLCARE HEALTH PLANS INC,602305,Longevity Alliance Inc,2017997,Chris Michalik,449615,Independent Chairman (Brd) (SD),2015-03-19,,Chairman (Brd) (SD),,2017-01-01
WELLCARE HEALTH PLANS INC,602305,Longevity Alliance Inc,2017997,Chris Michalik,449615,Independent Director (Brd) (SD),2002-05-01,2013-10-31,Chairman (Brd) (SD),,2017-01-01
WELLCARE HEALTH PLANS INC,602305,Longevity Alliance Inc,2017997,Chris Michalik,449615,Lead Independent Director (Brd) (SD),2013-10-31,2015-03-19,Chairman (Brd) (SD),,2017-01-01
Stratus Video,1982025,Longevity Alliance Inc,2017997,Chris Michalik,449615,Director -  SD (Brd) (SD),,,Chairman (Brd) (SD),,2017-01-01
TRC COMPANIES INC (De-listed 06/2017),31238,KALIBRATE TECHNOLOGIES PLC (De-listed 08/2017),2018002,Rick Grogan,332502,Lead Independent Director (Brd) (SD),2013-01-01,2017-06-21,NED (Brd) (SD),2013-11-29,2017-07-13
CA INC (CA Technologies) (De-listed 11/2018),7569,Siemens Technology and Services Pvt Ltd,2018004,Carol McGury,1489136,ED -  Non-Brd (Non-Brd),,,ED -  Non-Brd (Non-Brd),,
CYNOSURE INC (De-listed 03/2017),645660,"Indian River County, Florida",2018005,Brian Barefoot,988841,Independent Director (Brd) (SD),2011-06-08,2017-03-22,Mayor (Non-Brd),2013-03-01,
LendingClub Corp (SocBank Corp prior to 11/2006) (Listed 12/2014),1371872,"Indian River County, Florida",2018005,Brian Barefoot,988841,Advisor (Non-Brd),2012-06-01,2014-12-11,Mayor (Non-Brd),2013-03-01,
LENDINGCLUB CORP,2176262,"Indian River County, Florida",2018005,Brian Barefoot,988841,Advisor (Non-Brd),2014-12-11,2016-06-01,Mayor (Non-Brd),2013-03-01,
PIPER JAFFRAY COMPANIES,24515,"Indian River County, Florida",2018005,Hope Woodhouse,1129620,Independent Director (Brd) (SD),2011-09-22,2014-05-07,Committee Member (Non-Brd),2010-10-01,
GRANITE POINT MORTGAGE TRUST INC,2672331,"Indian River County, Florida",2018005,Hope Woodhouse,1129620,Independent Director (Brd) (SD),2017-06-23,,Committee Member (Non-Brd),2010-10-01,
TWO HARBORS INVESTMENT CORP,1590568,"Indian River County, Florida",2018005,Hope Woodhouse,1129620,Independent Director (Brd) (SD),2012-05-22,,Committee Member (Non-Brd),2010-10-01,
CUMMINS INC,8426,Remex Finance Pvt Ltd,2018012,Anant Talaulicar,753018,VP/Division President (Non-Brd),2010-03-01,2014-12-01,Director -  SD (Brd) (SD),,
CUMMINS INC,8426,Remex Finance Pvt Ltd,2018012,Anant Talaulicar,753018,Vice President (Non-Brd),2014-12-01,2017-10-01,Director -  SD (Brd) (SD),,
CUMMINS INC,8426,Trihans Trading Pvt Ltd,2018014,Anant Talaulicar,753018,VP/Division President (Non-Brd),2010-03-01,2014-12-01,Director -  SD (Brd) (SD),,
CUMMINS INC,8426,Trihans Trading Pvt Ltd,2018014,Anant Talaulicar,753018,Vice President (Non-Brd),2014-12-01,2017-10-01,Director -  SD (Brd) (SD),,
INTUITIVE SURGICAL INC,16627,KEA New Zealand Ltd,2018016,Doctor Anderson Mohr,1870664,Vice President - Research (Non-Brd),2006-05-01,2015-10-01,Advisor,,
INTUITIVE SURGICAL INC,16627,KEA New Zealand Ltd,2018016,Doctor Anderson Mohr,1870664,Vice President - Strategy (Non-Brd),2015-10-01,,Advisor,,
OUTDOOR CHANNEL HOLDINGS INC (De-listed 05/2013),801467,Andy Dale Co,2018018,Andy Dale,481659,Consultant (Non-Brd),2007-01-02,2007-12-01,President/CEO (Brd) (ED),2007-01-01,2017-05-01
