from_company,from_company_id,to_company,to_company_id,name,name_id,role_in_from_company,role_in_from_company_start_date,role_in_from_company_end_date,role_in_to_company,role_in_to_company_start_date,role_in_to_company_end_date
BANCORP INC,591579,Elite Companies Charitable Foundation (ECCF),1483372,Frank Mastrangelo,1047110,President/COO (Brd) (ED),2004-12-22,2015-01-01,Director -  SD,,
BANCORP INC,591579,Elite Companies Charitable Foundation (ECCF),1483372,Frank Mastrangelo,1047110,Technologist (Non-Brd),2015-12-13,,Director -  SD,,
CARDCONNECT CORP (FinTech Acquisition Corp prior to 08/2016) (De-listed 07/2017),2217099,Elite Companies Charitable Foundation (ECCF),1483372,Frank Mastrangelo,1047110,Advisor (Non-Brd),2015-02-13,2016-07-01,Director -  SD,,
Southeastern Health (Southeastern Regional Medical Center Inc prior to 01/2013),1723251,Elite Companies Charitable Foundation (ECCF),1483372,Jerry Johnson,141259,Trustee (Brd) (SD),2004-01-01,2008-01-01,Advisory Board Member,,
Acronis Inc,733353,Infra TeleSystems Inc,1483375,Ilya Zubarev,981976,Co-Chairman (Brd) (SD),2007-06-01,,Founder (Non-Brd),1999-01-01,
Acronis Inc,733353,Infra TeleSystems Inc,1483375,Ilya Zubarev,981976,Co-Founder (Non-Brd),2003-01-01,2007-06-01,Founder (Non-Brd),1999-01-01,
Parallels Inc (SWsoft Inc prior to 01/2008),1345835,Infra TeleSystems Inc,1483375,Ilya Zubarev,981976,Founder (Non-Brd),2000-01-01,,Founder (Non-Brd),1999-01-01,
TransCelerate Biopharma Inc,1950382,Mayo Clinic,1483379,Doctor Elias Zerhouni,879931,Director -  SD (Brd) (SD),,,Emeritus Trustee (Non-Brd),2009-01-01,
Warp Drive Bio Inc,1962692,Mayo Clinic,1483379,Doctor Elias Zerhouni,879931,Director -  SD (Brd) (SD),,,Emeritus Trustee (Non-Brd),2009-01-01,
SEMPRA ENERGY CORP,27588,Mayo Clinic,1483379,George Bilicic Jr,879205,Group President (Non-Brd),2019-05-01,,Trustee (Brd) (SD),2018-11-09,
POLARIS INC (Polaris Industries Inc prior to 08/2019),24706,Mayo Clinic,1483379,George Bilicic Jr,879205,Independent Director (Brd) (SD),2017-08-18,,Trustee (Brd) (SD),2018-11-09,
Oncor Electric Delivery Company LLC,106472,Mayo Clinic,1483379,George Bilicic Jr,879205,Independent Director (Brd) (SD),2019-08-26,,Trustee (Brd) (SD),2018-11-09,
DANAHER CORP,8663,Mayo Clinic,1483379,Doctor Elias Zerhouni,879931,Independent Director (Brd) (SD),2009-12-08,,Emeritus Trustee (Non-Brd),2009-01-01,
Vizient Inc,2402751,Mayo Clinic,1483379,Jeff Bolton,988272,Director -  SD (Brd) (SD),,,VP/Chief Administrative Officer (Brd) (ED),2013-08-09,2018-01-01
Vizient Inc,2402751,Mayo Clinic,1483379,Jeff Bolton,988272,Director -  SD (Brd) (SD),,,Chief Administrative Officer (Brd) (ED),2018-01-01,
Sentry Insurance a Mutual Company (SIAMCO),1016917,Mayo Clinic,1483379,Doctor Shirley Weis,1072227,Director -  SD (Brd) (SD),,,Vice President Emeritus (Non-Brd),2013-11-01,2013-01-01
MERCK & CO INC (Schering-Plough Corp prior to 11/2009),27219,Mayo Clinic,1483379,Doctor John Noseworthy,1071956,Independent Director (Brd) (SD),2017-05-23,2019-05-28,President/CEO (Brd) (ED),2009-01-01,2018-12-31
Cargill Inc,58110,Mayo Clinic,1483379,Whitney Macmillan,765981,Chairman Emeritus (Non-Brd),1995-08-31,,Emeritus Trustee (Non-Brd),,
MITRE Corp (The),80737,Mayo Clinic,1483379,George Halvorson,764707,Trustee (Brd) (SD),2014-01-01,,Trustee (Brd) (SD),2013-01-01,
Kaiser Foundation Health Plan Inc (Kaiser Permanente),102017,Mayo Clinic,1483379,George Halvorson,764707,Chairman (Brd) (SD),2013-07-01,2013-12-01,Trustee (Brd) (SD),2013-01-01,
RAPTOR PHARMACEUTICAL CORP (TorreyPines Therapeutics Inc prior to 09/2009) (De-listed 10/2016),3307,Mayo Clinic,1483379,Doctor Guojun Bu,761127,Advisory Board Member (Non-Brd),2009-09-29,2011-01-01,Professor (Non-Brd),2010-01-01,
Raptor Pharmaceuticals Corp (Rap Pharma) (Ceased Trading 12/2011),937727,Mayo Clinic,1483379,Doctor Guojun Bu,761127,Advisory Board Member (Non-Brd),2006-09-11,2011-12-07,Professor (Non-Brd),2010-01-01,
LILIS ENERGY INC (Recovery Energy Inc prior to 12/2013) (De-listed 05/2016),1731572,Mayo Clinic,1483379,D Edwards,1203701,Independent Director (Brd) (SD),2012-05-18,2014-11-01,Active Member,,
SYNERGY PHARMACEUTICALS INC (De-listed 03/2019),1716144,Mayo Clinic,1483379,Doctor Michael Camilleri,1318103,Advisory Board Member (Non-Brd),2011-01-01,2019-03-08,Dean (Non-Brd),2009-01-01,
BioKier Inc,2199983,Mayo Clinic,1483379,Doctor Michael Camilleri,1318103,Scientific Advisor (Non-Brd),,,Dean (Non-Brd),2009-01-01,
Rhythm Pharmaceuticals Inc (Listed 10/2017),1645295,Mayo Clinic,1483379,Doctor Michael Camilleri,1318103,Scientific Advisor (Non-Brd),2011-07-26,2017-10-05,Dean (Non-Brd),2009-01-01,
RHYTHM PHARMACEUTICALS INC,2709871,Mayo Clinic,1483379,Doctor Michael Camilleri,1318103,Scientific Advisor (Non-Brd),2017-10-05,,Dean (Non-Brd),2009-01-01,
Health Forum Inc,756273,Mayo Clinic,1483379,Kedrick Adkins Jr,1323758,Director -  SD (Brd) (SD),,,CFO (Non-Brd),2014-01-01,2017-12-01
Intelligent InSites Inc,1617915,Mayo Clinic,1483379,Jim Francis,1324857,Advisory Board Member (Non-Brd),2012-10-02,,Assistant Treasurer (Non-Brd),2004-01-01,
WYETH INC (American Home Products prior to 05/2002) (De-listed 10/2009),1847,Mayo Clinic,1483379,Doctor Frances Fergusson,106634,Independent Director (Brd) (SD),2005-01-01,2009-10-15,Emeritus Trustee (Non-Brd),2002-01-01,
PFIZER INC,24296,Mayo Clinic,1483379,Doctor Frances Fergusson,106634,Independent Director (Brd) (SD),2009-10-15,2018-04-26,Emeritus Trustee (Non-Brd),2002-01-01,
MATTEL INC,19820,Mayo Clinic,1483379,Doctor Frances Fergusson,106634,Independent Director (Brd) (SD),2006-09-15,2018-05-17,Emeritus Trustee (Non-Brd),2002-01-01,
APOLLO EDUCATION GROUP INC (Apollo Group Inc prior to 11/2013) (De-listed 02/2017),2337,Mayo Clinic,1483379,Doctor Roy Herberger Jr,140499,Independent Director (Brd) (SD),2007-06-21,2010-09-23,Trustee (Brd) (SD),2006-01-01,2018-01-01
APOLLO EDUCATION GROUP INC (Apollo Group Inc prior to 11/2013) (De-listed 02/2017),2337,Mayo Clinic,1483379,Doctor Roy Herberger Jr,140499,Lead Independent Director (Brd) (SD),2010-09-23,2017-02-01,Trustee (Brd) (SD),2006-01-01,2018-01-01
PINNACLE WEST CAPITAL CORP,24493,Mayo Clinic,1483379,Doctor Roy Herberger Jr,140499,Independent Director (Brd) (SD),1992-05-01,2018-05-16,Trustee (Brd) (SD),2006-01-01,2018-01-01
Arizona Public Service Co (APS),55220,Mayo Clinic,1483379,Doctor Roy Herberger Jr,140499,Director -  SD (Brd) (SD),,,Trustee (Brd) (SD),2006-01-01,2018-01-01
