from_company,from_company_id,to_company,to_company_id,name,name_id,role_in_from_company,role_in_from_company_start_date,role_in_from_company_end_date,role_in_to_company,role_in_to_company_start_date,role_in_to_company_end_date
Economic Club of New York (The) (ECNY),36418,Morgan Stanley Investment Management Inc,743466,Mark Bavoso,1789453,Member,,,MD (Non-Brd),1986-01-01,
MORGAN STANLEY (Morgan Stanley Dean Witter & Co prior to 07/2002),21105,Morgan Stanley Investment Management Inc,743466,Melanie Schnoll-Begun,1725649,MD/Head of Division (Non-Brd),2008-01-01,,MD/Head of Division (Non-Brd),2008-01-01,
MORGAN STANLEY (Morgan Stanley Dean Witter & Co prior to 07/2002),21105,Morgan Stanley Investment Management Inc,743466,Katy Huberty,1725665,MD - Research (Non-Brd),2011-01-01,,Division MD (Non-Brd),2011-01-01,
MORGAN STANLEY (Morgan Stanley Dean Witter & Co prior to 07/2002),21105,Morgan Stanley Investment Management Inc,743466,Bjarne Stroustrup,1725663,MD - Technology (Non-Brd),2014-01-01,,MD (Non-Brd),2014-01-01,
MORGAN STANLEY (Morgan Stanley Dean Witter & Co prior to 07/2002),21105,Morgan Stanley Investment Management Inc,743466,Amy Oldenburg,1725632,Division COO/MD (Non-Brd),2017-01-12,,Division COO/MD (Non-Brd),2017-01-12,
MORGAN STANLEY (Morgan Stanley Dean Witter & Co prior to 07/2002),21105,Morgan Stanley Investment Management Inc,743466,Ruchir Sharma,1726239,Division Chief Global Strategist (Non-Brd),2006-01-01,,Chief Global Strategist (Non-Brd),2006-01-01,
MORGAN STANLEY (Morgan Stanley Dean Witter & Co prior to 07/2002),21105,Morgan Stanley Investment Management Inc,743466,Anish Shah,1726267,MD - Capital Markets (Non-Brd),2009-12-01,,MD - Capital Markets (Non-Brd),2009-12-01,
MORGAN STANLEY (Morgan Stanley Dean Witter & Co prior to 07/2002),21105,Morgan Stanley Investment Management Inc,743466,Andrew Sheets,1726262,Chief Global Strategist (Non-Brd),2014-01-01,2015-12-16,Chief Global Strategist (Non-Brd),2014-01-01,2015-12-16
MORGAN STANLEY (Morgan Stanley Dean Witter & Co prior to 07/2002),21105,Morgan Stanley Investment Management Inc,743466,Andrew Sheets,1726262,MD/Head of Division (Non-Brd),2015-12-16,,MD - Research (Non-Brd),2015-12-16,
MORGAN STANLEY (Morgan Stanley Dean Witter & Co prior to 07/2002),21105,Morgan Stanley Investment Management Inc,743466,Amy Oldenburg,1725632,ED -  Non-Brd (Non-Brd),,,ED/COO (Non-Brd),2013-04-01,2017-01-12
Kohlberg Kravis Roberts & Co LP (KKR),69867,Morgan Stanley Investment Management Inc,743466,Adam Forste,1634084,Associate (Non-Brd),2003-01-01,2005-12-01,Analyst (Non-Brd),2000-07-01,2003-07-01
Proprium Capital Partners LP (Proprium Capital Partners LLC prior to 06/2016),2129891,Morgan Stanley Investment Management Inc,743466,Tim Morris,1449767,Co-Founder (Non-Brd),2012-08-01,2013-03-01,COO (Non-Brd),2009-02-01,2013-03-01
MORGAN STANLEY (Morgan Stanley Dean Witter & Co prior to 07/2002),21105,Morgan Stanley Investment Management Inc,743466,AJ Jones,1427693,MD (Non-Brd),2006-09-26,2019-01-01,Committee Member (Non-Brd),,
Good Technology Inc (Formerly known as Motorola Good Technology Group),270392,Morgan Stanley Investment Management Inc,743466,Robert Bassman,1619321,Observer (Non-Brd),,,ED (Non-Brd),2010-07-01,
Bloom Energy Corp (Listed 07/2018),956484,Morgan Stanley Investment Management Inc,743466,Robert Bassman,1619321,Observer (Non-Brd),,2018-07-25,ED (Non-Brd),2010-07-01,
DIGITALGLOBE INC (De-listed 10/2017),1383236,Morgan Stanley Investment Management Inc,743466,Robert Bassman,1619321,Observer (Non-Brd),,2017-10-05,ED (Non-Brd),2010-07-01,
GumGum Inc,1579062,Morgan Stanley Investment Management Inc,743466,Robert Bassman,1619321,Director -  SD (Brd) (SD),,,ED (Non-Brd),2010-07-01,
Nutanix Inc (Listed 09/2016),1663933,Morgan Stanley Investment Management Inc,743466,Robert Bassman,1619321,Observer (Non-Brd),,2016-09-30,ED (Non-Brd),2010-07-01,
NUTANIX INC,2534587,Morgan Stanley Investment Management Inc,743466,Robert Bassman,1619321,Observer (Non-Brd),2016-09-30,,ED (Non-Brd),2010-07-01,
DISTINCT INFRASTRUCTURE GROUP INC (QE2 Acquisition Corp prior to 08/2015) (De-listed 07/2019),2011152,ENTERPRISE GROUP INC (Enterprise Oilfield Group Inc prior to 07/2012),743469,Doug Bachman,1480885,Advisor (Non-Brd),2015-01-13,2015-08-12,COO (Non-Brd),2013-03-17,2015-03-30
DISTINCT INFRASTRUCTURE GROUP INC (QE2 Acquisition Corp prior to 08/2015) (De-listed 07/2019),2011152,ENTERPRISE GROUP INC (Enterprise Oilfield Group Inc prior to 07/2012),743469,Doug Bachman,1480885,Director -  SD (Brd) (SD),,,COO (Non-Brd),2013-03-17,2015-03-30
ROCHESTER RESOURCES LTD (Hilton Resources prior to 07/2005),14813,ENTERPRISE GROUP INC (Enterprise Oilfield Group Inc prior to 07/2012),743469,Des O'Kell,1400270,President/CEO/Acting CFO (Non-Brd),2005-06-28,2005-11-25,Company Secretary (Non-Brd),2005-08-01,2006-02-01
NEWSTRIKE CAPITAL INC (De-listed 05/2015),950327,ENTERPRISE GROUP INC (Enterprise Oilfield Group Inc prior to 07/2012),743469,Keir Reynolds,1016429,Investor Relations Executive (Non-Brd),2011-11-01,2013-11-01,Independent Director (Brd) (SD),2012-07-25,2013-06-20
Aerospace Industries Association of America Inc (AIA),78973,Arizona Mail Order Co Inc,743470,Stewart Cramer,986037,Director -  SD (Brd) (SD),,,Director -  SD,,
LAI International Inc,1479626,Arizona Mail Order Co Inc,743470,Stewart Cramer,986037,President (Brd) (ED),2003-01-01,2012-07-01,Director -  SD,,
ALTAIR NANOTECHNOLOGIES INC (De-listed 09/2014),645876,Alan Gotcher & Co Inc,743471,Doctor Alan Gotcher,349266,Consultant (Non-Brd),2004-05-01,2004-08-16,President/CEO (Brd) (ED),2000-01-01,2004-08-01
APPLIED MATERIALS INC,2382,Business Layers Inc,743473,Benny Shoham,545777,Various Positions (Non-Brd),1996-01-01,2000-01-01,Vice President - Business Development (Non-Brd),1999-01-01,2003-01-01
NOVELL INC (De-listed 04/2011),22592,Business Layers Inc,743473,Blake Modersitzki,551567,Division MD (Non-Brd),1999-01-01,2002-01-01,Director -  SD (Brd) (SD),,
NOVELL INC (De-listed 04/2011),22592,Business Layers Inc,743473,Blake Modersitzki,551567,Vice President - Business Development (Non-Brd),2002-01-01,2002-05-01,Director -  SD (Brd) (SD),,
CHECK POINT SOFTWARE TECHNOLOGIES LTD,6553,Business Layers Inc,743473,Shlomo Kramer,441709,Director -  SD (Brd) (SD),,,Director -  SD (Brd) (SD),,
ForeScout Technologies Inc (Listed 10/2017),743477,Business Layers Inc,743473,Shlomo Kramer,441709,Director -  SD (Brd) (SD),,,Director -  SD (Brd) (SD),,
MarkLogic Corporation,786156,Business Layers Inc,743473,Ron Avnur,1275689,Engineer (Non-Brd),2003-02-01,2007-06-01,Business Developer (Non-Brd),2002-01-01,2003-01-01
NVIDIA CORP,22806,S-Cubed Inc,743475,Mark Stevens,83392,Independent Director (Brd) (SD),2008-09-03,,Managing Partner (Non-Brd),2012-04-01,
