from_company,from_company_id,to_company,to_company_id,name,name_id,role_in_from_company,role_in_from_company_start_date,role_in_from_company_end_date,role_in_to_company,role_in_to_company_start_date,role_in_to_company_end_date
Bulger Partners LLC (Bulger Capital LLC prior to 12/2013),2128890,YouEye Inc,2223531,Malcolm Stewart,1524239,MD (Brd) (ED),2016-01-01,2017-10-01,CEO (Brd) (ED),2013-09-01,2016-08-01
PEGASYSTEMS INC,24040,Acnestis LLC,2223536,Rob Schwartz,1524241,Vice President - Corporate Development (Non-Brd),2012-07-01,2014-06-01,Principal (Non-Brd),2010-01-01,2013-06-01
Founders Bank and Trust Co (Founders Trust Personal Bank prior to 2006),1330387,Home Builders Association Foundation,2223543,Sarah Baar,1523925,Assistant VP - Lending (Non-Brd),2003-01-01,,Director -  SD,,
Polsinelli PC,2079155,Home Builders Association Foundation,2223543,Kyler Humphrey,1718714,Senior Partner (Non-Brd),,2017-01-01,Member,,
Saul Ewing Arnstein & Lehr LLP (Saul Ewing LLP prior to 09/2017),380162,Home Builders Association Foundation,2223543,Elizabeth Witmer,1664185,Partner (Non-Brd),1997-04-01,,Committee Member,,
HOPFED BANCORP INC (De-listed 07/2019),15050,Home Builders Association Foundation,2223543,Chip Knight,1658596,Senior VP/Chief Credit Officer (Non-Brd),2016-01-15,2019-07-27,Member,,
West Michigan Community Bank Inc,1043923,Home Builders Association Foundation,2223543,Peggy Campbell,1843269,Vice President (Non-Brd),2016-08-01,,Member,,
Isabella Bank Corp (IBT Bancorp Inc prior to 05/2008),1494009,Home Builders Association Foundation,2223543,Jill Bourland,1928602,Independent Director (Brd) (SD),2017-08-24,,Member,,
Newser LLC,1376751,Michael Wolff & Company Inc,2223552,Michael Wolff,1523436,Director -  SD (Brd) (SD),,,Founder (Non-Brd),1991-01-01,
ADVANCED MICRO DEVICES INC (AMD),881,NMD Consulting LLC,2223555,Nick Donofrio,32588,Independent Director (Brd) (SD),2009-11-16,2018-05-02,CEO (Brd) (ED),2009-01-01,
MITRE Corp (The),80737,NMD Consulting LLC,2223555,Nick Donofrio,32588,Trustee (Brd) (SD),2010-01-01,,CEO (Brd) (ED),2009-01-01,
Liberty Mutual Holding Co Inc,81802,NMD Consulting LLC,2223555,Nick Donofrio,32588,Director -  SD (Brd) (SD),,,CEO (Brd) (ED),2009-01-01,
BANK OF NEW YORK MELLON CORP (THE),945834,NMD Consulting LLC,2223555,Nick Donofrio,32588,Independent Director (Brd) (SD),2007-07-01,2017-09-30,CEO (Brd) (ED),2009-01-01,
APTIV PLC (Delphi Automotive PLC prior to 12/2017),1735209,NMD Consulting LLC,2223555,Nick Donofrio,32588,Independent Director (Brd) (SD),2011-11-17,,CEO (Brd) (ED),2009-01-01,
SecurityScorecard Inc,2146612,NMD Consulting LLC,2223555,Nick Donofrio,32588,Advisor (Non-Brd),2018-07-19,2019-01-01,CEO (Brd) (ED),2009-01-01,
SecurityScorecard Inc,2146612,NMD Consulting LLC,2223555,Nick Donofrio,32588,Director -  SD (Brd) (SD),,,CEO (Brd) (ED),2009-01-01,
HYPR Corp,2649427,NMD Consulting LLC,2223555,Nick Donofrio,32588,Director -  SD (Brd) (SD),,,CEO (Brd) (ED),2009-01-01,
HYPR Corp,2649427,NMD Consulting LLC,2223555,Nick Donofrio,32588,Independent Director (Brd) (SD),2017-06-20,2019-01-01,CEO (Brd) (ED),2009-01-01,
Lime Rock Management LP,532643,Capstone Natural Resources II LLC,2223557,Greg Highberger,1089289,MD (Brd) (ED),2017-01-26,,Director -  SD (Brd) (SD),,
Axis Energy Services LLC,2952120,Capstone Natural Resources II LLC,2223557,Greg Highberger,1089289,Director -  SD (Brd) (SD),,,Director -  SD (Brd) (SD),,
Lime Rock Management LP,532643,Capstone Natural Resources II LLC,2223557,Blair Barlow,851489,Director -  Non-Brd (Non-Brd),,,Director -  SD (Brd) (SD),,
Lime Rock Management LP,532643,Capstone Natural Resources II LLC,2223557,Townes Pressler Jr,746433,MD (Brd) (ED),2007-03-06,2016-12-01,Director -  SD (Brd) (SD),,
Lime Rock Management LP,532643,Capstone Natural Resources II LLC,2223557,Townes Pressler Jr,746433,Operating Partner (Non-Brd),2016-12-01,2018-04-01,Director -  SD (Brd) (SD),,
Davis Wright Tremaine LLP,668006,Mill Valley Soccer Club (MVSC),2223560,Peter Isola,1767805,Partner (Non-Brd),2000-05-01,,Coach,,
COWEN INC (Cowen Group Inc prior to 05/2017),1602333,Mill Valley Soccer Club (MVSC),2223560,Eric Grant,1633001,Division MD (Non-Brd),2015-11-09,2018-02-01,Director -  SD,,
Inttra Inc,53430,Bestshore Business Solutions UK Ltd,2223570,Peter Ludvigsen,1292994,Senior Advisor (Non-Brd),2017-01-01,2017-06-01,Partner (Non-Brd),2016-11-01,2018-06-01
JEFFERIES FINANCIAL GROUP INC (Leucadia National Corp prior to 05/2018),18739,IFG Companies,2223572,Stephen Jacobs,892498,Senior Corporate Counsel (Non-Brd),,,Director -  SD (Brd) (SD),,
LUTHER BURBANK CORP,2741231,IFG Companies,2223572,Tom Wajnert,67512,Lead Independent Director (Brd) (SD),2017-12-08,,Director -  SD (Brd) (SD),,
ALLEGHANY CORP,1413,IFG Companies,2223572,Jim Slattery,332854,Senior VP (Non-Brd),2002-01-01,2008-07-01,Director -  SD (Brd) (SD),,
DARWIN PROFESSIONAL UNDERWRITERS INC (De-listed 10/2008),911045,IFG Companies,2223572,Jim Slattery,332854,Director -  SD (Brd) (SD),,,Director -  SD (Brd) (SD),,
COTY INC,1958357,Massapequa Public Library,2223574,Tony Santabarbara,647893,Vice President (Non-Brd),2016-09-01,2017-09-01,Treasurer,,
FREEPORT-MCMORAN INC (Freeport-McMoRan Copper & Gold Inc prior to 07/2014),12493,Inzunza Capital Partners LLC,2223575,Henry Miller,530500,Consultant (Non-Brd),2003-01-01,,Director - Legal Services (Non-Brd),,
Bulger Partners LLC (Bulger Capital LLC prior to 12/2013),2128890,Mobile Heartbeat LLC,2223576,Ron Remy,1524240,Executive Partner (Non-Brd),2008-12-01,2016-10-01,CEO (Non-Brd),2013-01-01,
FREEPORT-MCMORAN INC (Freeport-McMoRan Copper & Gold Inc prior to 07/2014),12493,University Medical Group Inc,2223577,Henry Miller,530500,Consultant (Non-Brd),2003-01-01,,Director -  SD,,
Medpace Inc,1475027,University Medical Group Inc,2223577,Doctor Thomas King,982115,Director -  SD (Brd) (SD),,,Medical Director (Non-Brd),2007-01-01,2008-01-01
Bulger Partners LLC (Bulger Capital LLC prior to 12/2013),2128890,Zee3dcompany Ltd,2223580,Robert Pierce,1524230,MD (Brd) (ED),2012-12-04,,NED (Brd) (SD),2014-04-01,2015-01-15
SIERRA WIRELESS INC,27923,Prioritize Consulting Inc,2223589,David Climie,1524277,Senior Director - Investor Relations (Non-Brd),2014-04-01,2015-01-01,Advisory Council Member (Non-Brd),,
SIERRA WIRELESS INC,27923,Prioritize Consulting Inc,2223589,David Climie,1524277,Vice President - Investor Relations (Non-Brd),,,Advisory Council Member (Non-Brd),,
STRATASYS LTD (Stratasys Inc prior to 12/2012),29346,Objet Asia Pacific Ltd,2223597,Oded Edri,1524197,Corporate Controller (Non-Brd),2007-04-01,2013-01-01,CFO (Non-Brd),2007-04-01,2013-10-01
MILESTONE APARTMENTS REAL ESTATE INVESTMENT TRUST (De-listed 04/2017),1987578,Milestone Group LLC (The),2223598,Steve Lamberti,1454172,COO (Non-Brd),2013-03-06,2017-04-28,Division COO (Non-Brd),2013-03-06,
MILESTONE APARTMENTS REAL ESTATE INVESTMENT TRUST (De-listed 04/2017),1987578,Milestone Group LLC (The),2223598,Ryan Newberry,1454170,CFO/Secretary (Non-Brd),2013-08-15,2017-04-28,Division CFO (Non-Brd),2013-08-15,2017-06-01
