from_company,from_company_id,to_company,to_company_id,name,name_id,role_in_from_company,role_in_from_company_start_date,role_in_from_company_end_date,role_in_to_company,role_in_to_company_start_date,role_in_to_company_end_date
Ancestry.com LLC (Anvil US 1 LLC prior to 03/2013),2211925,Ancestry.com Inc,1921057,Zach Pino,1351582,Senior VP (Non-Brd),2016-01-01,2017-10-01,Senior VP (Non-Brd),2016-01-01,2017-10-01
Hightail Inc (YouSendIt Inc prior to 07/2013),1237288,Ancestry.com Inc,1921057,Ned Sizer,1363495,CFO (Non-Brd),2013-02-28,2014-11-01,Vice President - Finance (Non-Brd),2012-12-28,2013-03-01
LegalZoom.com Inc,1070066,Ancestry.com Inc,1921057,Dipan Patel,1110047,Director -  SD (Brd) (SD),,,Director -  SD (Brd) (SD),,
Ancestry.com LLC (Anvil US 1 LLC prior to 03/2013),2211925,Ancestry.com Inc,1921057,Dipan Patel,1110047,Director -  SD (Brd) (SD),,,Director -  SD (Brd) (SD),,
Ancestry.com LLC (Anvil US 1 LLC prior to 03/2013),2211925,Ancestry.com Inc,1921057,Rob Singer,1119414,Chief Marketing Officer (Non-Brd),2014-03-01,2016-02-28,Senior VP - Mktg (Non-Brd),2012-12-28,2014-01-01
LegalZoom.com Inc,1070066,Ancestry.com Inc,1921057,Rob Singer,1119414,Director -  SD (Brd) (SD),,,Senior VP - Mktg (Non-Brd),2012-12-28,2014-01-01
LegalZoom.com Inc,1070066,Ancestry.com Inc,1921057,Rob Singer,1119414,Director -  SD (Brd) (SD),,,Chief Marketing Officer (Non-Brd),2014-01-01,2016-02-28
Ancestry.com LLC (Anvil US 1 LLC prior to 03/2013),2211925,Ancestry.com Inc,1921057,Rob Singer,1119414,Chief Marketing Officer (Non-Brd),2014-03-01,2016-02-28,Chief Marketing Officer (Non-Brd),2014-01-01,2016-02-28
ANCESTRY.COM INC (De-listed 12/2012),1602890,Ancestry.com Inc,1921057,Jonathan Young,1119407,Senior VP - Ops (Non-Brd),2011-02-01,2012-12-28,Senior VP - Ops (Non-Brd),2012-12-28,2012-01-01
Inflection LLC (Formerly known as People Search Media LLC),1450870,Ancestry.com Inc,1921057,Joe Godfrey,1250320,Senior Director (Non-Brd),2009-05-01,2012-08-01,Senior Director - Products (Non-Brd),2012-01-01,2013-05-01
Ancestry.com LLC (Anvil US 1 LLC prior to 03/2013),2211925,Ancestry.com Inc,1921057,Billy Stern,888476,Chief Legal/Risk Officer (Non-Brd),2014-12-01,2016-08-09,Chief Legal/Risk Officer (Non-Brd),2014-12-01,2016-08-09
Hightail Inc (YouSendIt Inc prior to 07/2013),1237288,Ancestry.com Inc,1921057,Brad Garlinghouse,1057575,Chairman/CEO (Brd) (ED),2012-05-15,2014-09-01,Independent Director (Brd) (SD),2013-07-01,2016-05-23
Ripple Labs Inc (OpenCoin Inc prior to 09/2013),1989425,Ancestry.com Inc,1921057,Brad Garlinghouse,1057575,President/COO (Non-Brd),2015-04-16,2017-01-01,Independent Director (Brd) (SD),2013-07-01,2016-05-23
Ancestry.com LLC (Anvil US 1 LLC prior to 03/2013),2211925,Ancestry.com Inc,1921057,Brad Garlinghouse,1057575,Independent Director (Brd) (SD),2013-07-01,2016-05-23,Independent Director (Brd) (SD),2013-07-01,2016-05-23
LegalZoom.com Inc,1070066,Ancestry.com Inc,1921057,Brian Ruder,752039,Director -  SD (Brd) (SD),,,Director -  SD (Brd) (SD),,
Renaissance Learning Inc,1729860,Ancestry.com Inc,1921057,Brian Ruder,752039,Director -  SD (Brd) (SD),,,Director -  SD (Brd) (SD),,
Ancestry.com LLC (Anvil US 1 LLC prior to 03/2013),2211925,Ancestry.com Inc,1921057,Brian Ruder,752039,Director -  SD (Brd) (SD),,,Director -  SD (Brd) (SD),,
Ancestry.com LLC (Anvil US 1 LLC prior to 03/2013),2211925,Ancestry.com Inc,1921057,Richard Sanders,773201,Director -  SD (Brd) (SD),,,Director -  SD (Brd) (SD),,
Ancestry.com LLC (Anvil US 1 LLC prior to 03/2013),2211925,Ancestry.com Inc,1921057,Doctor Ken Chahine,347176,Division Senior VP/General Manager (Non-Brd),2012-12-07,2015-04-01,Division Senior VP/General Manager (Non-Brd),2012-12-28,2015-04-01
Ancestry.com LLC (Anvil US 1 LLC prior to 03/2013),2211925,Ancestry.com Inc,1921057,Doctor Ken Chahine,347176,Division Executive VP/General Manager (Non-Brd),2015-04-01,,Division Executive VP/General Manager (Non-Brd),2015-04-01,
INTERNATIONAL GAME TECHNOLOGY (IGT) (De-listed 04/2015),16533,Ancestry.com Inc,1921057,Janice Chaffin,66492,Independent Director (Brd) (SD),2010-09-29,2015-04-07,Independent Director (Brd) (SD),2013-06-01,2016-05-23
PTC INC (Parametric Technology Corp prior to 01/2013),23786,Ancestry.com Inc,1921057,Janice Chaffin,66492,Independent Director (Brd) (SD),2013-08-16,,Independent Director (Brd) (SD),2013-06-01,2016-05-23
SYNOPSYS INC,29816,Ancestry.com Inc,1921057,Janice Chaffin,66492,Independent Director (Brd) (SD),2014-12-12,,Independent Director (Brd) (SD),2013-06-01,2016-05-23
Ancestry.com LLC (Anvil US 1 LLC prior to 03/2013),2211925,Ancestry.com Inc,1921057,Janice Chaffin,66492,Independent Director (Brd) (SD),2013-06-01,2016-05-23,Independent Director (Brd) (SD),2013-06-01,2016-05-23
Ancestry.com LLC (Anvil US 1 LLC prior to 03/2013),2211925,Ancestry.com Inc,1921057,Tim Sullivan,551184,President/CEO (Brd) (ED),2012-12-07,2017-10-01,President/CEO (Brd) (ED),2012-12-28,2017-10-01
Ancestry.com LLC (Anvil US 1 LLC prior to 03/2013),2211925,Ancestry.com Inc,1921057,Tim Sullivan,551184,Chairman (Brd) (SD),2017-10-01,,Chairman (Brd) (SD),2017-10-01,
Gerson Lehrman Group Inc,424062,Society For Aviation History,1921060,Larry Rinek,1287362,Council Member,,,Member,,
Gerson Lehrman Group Inc,424062,RT Midwest Holdings LLC,1921067,Jerry Ruta,1287377,Council Member,,,President (Non-Brd),2011-11-01,2016-12-01
Event Network Inc,1475395,San Diego Sport Innovators (SDSI),1921085,Mike Brower,374091,CFO (Non-Brd),2010-12-01,2011-12-01,Director -  SD,,
SENT Inc,1965868,San Diego Sport Innovators (SDSI),1921085,Mike Brower,374091,CFO (Non-Brd),2014-11-05,2016-06-01,Director -  SD,,
ACTIVE NETWORK INC (De-listed 11/2013),1703704,San Diego Sport Innovators (SDSI),1921085,Ram Krishnan,1205258,Senior VP (Non-Brd),2011-11-01,2013-11-15,Director -  SD,,
VF CORP,32574,San Diego Sport Innovators (SDSI),1921085,Roger Spatz,1998645,Brand President (Non-Brd),2017-02-09,,Director -  SD,,
