from_company,from_company_id,to_company,to_company_id,name,name_id,role_in_from_company,role_in_from_company_start_date,role_in_from_company_end_date,role_in_to_company,role_in_to_company_start_date,role_in_to_company_end_date
Tango Therapeutics Inc,2658144,Siteman Cancer Center,1381203,Professor Doctor Jos Baselga Torres,1092226,Co-Founder (Non-Brd),2014-12-03,,Advisory Board Member,,
Foghorn Therapeutics Inc,2705775,Siteman Cancer Center,1381203,Professor Doctor Jos Baselga Torres,1092226,Director -  SD (Brd) (SD),,,Advisory Board Member,,
GENERAL MOTORS CORP (GM) (De-listed 06/2009),13005,Siteman Cancer Center,1381203,Doctor Murray Brennan,555781,Committee Member,,,Committee Member,,
NEXTGEN HEALTHCARE INC (Quality Systems Inc prior to 09/2018),25539,Siteman Cancer Center,1381203,Doctor Murray Brennan,555781,Independent Director (Brd) (SD),2008-09-04,2012-08-16,Committee Member,,
ZIOPHARM ONCOLOGY INC,735327,Siteman Cancer Center,1381203,Doctor Murray Brennan,555781,Independent Director (Brd) (SD),2018-08-08,2018-09-18,Committee Member,,
ZIOPHARM ONCOLOGY INC,735327,Siteman Cancer Center,1381203,Doctor Murray Brennan,555781,Lead Independent Director (Brd) (SD),2010-03-31,2018-08-08,Committee Member,,
ZIOPHARM ONCOLOGY INC,735327,Siteman Cancer Center,1381203,Doctor Murray Brennan,555781,Lead Independent Director (Brd) (SD),2005-09-14,2010-03-31,Committee Member,,
CureFAKtor Pharmaceuticals LLC,1451136,Siteman Cancer Center,1381203,Doctor Murray Brennan,555781,Scientific Advisor (Non-Brd),,,Committee Member,,
ViewRay Technologies Inc (ViewRay Inc prior to 07/2015),1201511,Siteman Cancer Center,1381203,Doctor Carlos Perez,602628,Scientific Advisor (Non-Brd),2016-03-31,,Professor Emeritus (Non-Brd),,
TOMOTHERAPY INC (De-listed 06/2011),55421,Siteman Cancer Center,1381203,Doctor Carlos Perez,602628,Independent Director (Brd) (SD),2005-05-01,2011-06-10,Professor Emeritus (Non-Brd),,
Vir Biotechnology Inc,2595940,Siteman Cancer Center,1381203,Doctor Skip Virgin,1955917,Executive VP/Chief Scientific Officer (Non-Brd),2018-01-01,,Council Member (Non-Brd),2006-01-01,
PureLux Inc,1687208,McKim & Creed Inc,1381204,Ken Garcia,1475025,President (Brd) (ED),2010-10-01,,Director -  SD (Brd) (SD),,
HIGHWOODS PROPERTIES INC,14793,McKim & Creed Inc,1381204,Mark Mulhern,486686,Senior VP/CFO (Non-Brd),2014-09-30,2017-01-01,Director -  SD (Brd) (SD),,
BARINGS BDC INC (Triangle Capital Corp prior to 08/2018),460938,McKim & Creed Inc,1381204,Mark Mulhern,486686,Independent Director (Brd) (SD),2016-10-31,,Director -  SD (Brd) (SD),,
HIGHWOODS PROPERTIES INC,14793,McKim & Creed Inc,1381204,Mark Mulhern,486686,Executive VP/CFO (Non-Brd),2017-01-01,,Director -  SD (Brd) (SD),,
ALLEGHENY TECHNOLOGIES INC,1416,McKim & Creed Inc,1381204,Diane Creel,89002,Independent Director (Brd) (SD),1996-08-15,2011-09-09,Outside Director (Brd) (SD),2009-05-06,
TIMKEN CO,30755,McKim & Creed Inc,1381204,Diane Creel,89002,Independent Director (Brd) (SD),2012-06-15,2014-06-29,Outside Director (Brd) (SD),2009-05-06,
ALLEGHENY TECHNOLOGIES INC,1416,McKim & Creed Inc,1381204,Diane Creel,89002,Lead Independent Director (Brd) (SD),2011-09-09,2019-05-09,Outside Director (Brd) (SD),2009-05-06,
TIMKENSTEEL CORP,2121193,McKim & Creed Inc,1381204,Diane Creel,89002,Independent Director (Brd) (SD),2014-06-30,,Outside Director (Brd) (SD),2009-05-06,
ALLEGHENY TECHNOLOGIES INC,1416,McKim & Creed Inc,1381204,Diane Creel,89002,Independent Chairman (Brd) (SD),2019-05-09,,Outside Director (Brd) (SD),2009-05-06,
URS CORP (De-listed 10/2014),31937,McKim & Creed Inc,1381204,Diane Creel,89002,Independent Director (Brd) (SD),2014-03-27,2014-10-17,Outside Director (Brd) (SD),2009-05-06,
ENPRO INDUSTRIES INC,80987,McKim & Creed Inc,1381204,Diane Creel,89002,Independent Director (Brd) (SD),2009-10-28,,Outside Director (Brd) (SD),2009-05-06,
GOODRICH CORP (BFGoodrich Co prior to 01/2001) (De-listed 07/2012),13605,McKim & Creed Inc,1381204,Diane Creel,89002,Independent Director (Brd) (SD),1997-12-22,2012-07-26,Outside Director (Brd) (SD),2009-05-06,
Clarus Ventures LLC,666216,SFJ Pharmaceuticals Inc,1381208,Bill Young,57277,Venture Partner (Non-Brd),2010-03-22,,Director -  SD (Brd) (SD),,
NANOSTRING TECHNOLOGIES INC,1961075,SFJ Pharmaceuticals Inc,1381208,Bill Young,57277,Independent Chairman (Brd) (SD),2013-06-26,,Director -  SD (Brd) (SD),,
Ariosa Diagnostics Inc (Aria Diagnostics Inc prior to 03/2012),1451096,SFJ Pharmaceuticals Inc,1381208,Bill Young,57277,Independent Director (Brd) (SD),2010-05-01,,Director -  SD (Brd) (SD),,
Annexon Biosciences Inc,2301565,SFJ Pharmaceuticals Inc,1381208,Bill Young,57277,Independent Chairman (Brd) (SD),2017-03-09,,Director -  SD (Brd) (SD),,
VERTEX PHARMACEUTICALS INC,32537,SFJ Pharmaceuticals Inc,1381208,Bill Young,57277,Independent Director (Brd) (SD),2014-05-07,,Director -  SD (Brd) (SD),,
BLACKSTONE GROUP INC (Blackstone Group LP prior to 07/2019),55498,SFJ Pharmaceuticals Inc,1381208,Bill Young,57277,Senior Advisor (Non-Brd),2009-01-01,,Director -  SD (Brd) (SD),,
Clarus Ventures LLC,666216,SFJ Pharmaceuticals Inc,1381208,Doctor Dennis Henner,41961,Chief Scientific Advisor (Non-Brd),2017-07-01,2018-01-01,Director -  SD (Brd) (SD),,
Annexon Biosciences Inc,2301565,SFJ Pharmaceuticals Inc,1381208,Doctor Dennis Henner,41961,Scientific Advisor (Non-Brd),,,Director -  SD (Brd) (SD),,
Cleave Therapeutics Inc (Formerly known as Cleave Biosciences Inc),1825020,SFJ Pharmaceuticals Inc,1381208,Doctor Dennis Henner,41961,Director -  SD (Brd) (SD),,,Director -  SD (Brd) (SD),,
FORTY SEVEN INC,2833848,SFJ Pharmaceuticals Inc,1381208,Doctor Dennis Henner,41961,Independent Director (Brd) (SD),2018-06-28,,Director -  SD (Brd) (SD),,
COHERUS BIOSCIENCES INC,2164651,SFJ Pharmaceuticals Inc,1381208,Doctor Rita Laeufle,2118384,Senior VP - Clinical Development (Non-Brd),2016-03-01,2017-09-01,Vice President - Clinical Development (Non-Brd),2017-04-01,2018-01-01
THERATECHNOLOGIES INC,30600,SFJ Pharmaceuticals Inc,1381208,David Lilley,1519377,Independent Corporate Director (Brd) (SD),2015-05-20,2017-05-16,Director -  SD (Brd) (SD),,
Clarus Ventures LLC,666216,SFJ Pharmaceuticals Inc,1381208,Robert DeBenedetto,1519375,Venture Partner (Non-Brd),2016-01-07,,President/CEO (Brd) (ED),2009-01-01,
Clarus Ventures LLC,666216,SFJ Pharmaceuticals Inc,1381208,Doctor Michele Park,1726453,Partner (Non-Brd),2015-05-18,,Observer (Non-Brd),,
Lumos Pharma Inc,1985762,SFJ Pharmaceuticals Inc,1381208,Doctor Michele Park,1726453,Director -  SD (Brd) (SD),,,Observer (Non-Brd),,
BLACKSTONE GROUP INC (Blackstone Group LP prior to 07/2019),55498,SFJ Pharmaceuticals Inc,1381208,Doctor Emmett Cunningham Jr,1726458,Division Senior MD (Non-Brd),2018-12-01,,Director -  SD (Brd) (SD),,
Clarus Ventures LLC,666216,SFJ Pharmaceuticals Inc,1381208,Doctor Emmett Cunningham Jr,1726458,MD (Brd) (ED),2017-01-06,,Director -  SD (Brd) (SD),,
Restoration Robotics Inc (Listed 10/2017),1342957,SFJ Pharmaceuticals Inc,1381208,Doctor Emmett Cunningham Jr,1726458,Independent Director (Brd) (SD),2011-08-01,2017-10-12,Director -  SD (Brd) (SD),,
Galera Therapeutics Inc,1695162,SFJ Pharmaceuticals Inc,1381208,Doctor Emmett Cunningham Jr,1726458,Director -  SD (Brd) (SD),,,Director -  SD (Brd) (SD),,
AERIE PHARMACEUTICALS INC,2000812,SFJ Pharmaceuticals Inc,1381208,Doctor Emmett Cunningham Jr,1726458,Advisory Board Member (Non-Brd),,,Director -  SD (Brd) (SD),,
Annexon Biosciences Inc,2301565,SFJ Pharmaceuticals Inc,1381208,Doctor Emmett Cunningham Jr,1726458,Director -  SD (Brd) (SD),,,Director -  SD (Brd) (SD),,
RESTORATION ROBOTICS INC,2714617,SFJ Pharmaceuticals Inc,1381208,Doctor Emmett Cunningham Jr,1726458,Independent Director (Brd) (SD),2017-10-12,2018-06-13,Director -  SD (Brd) (SD),,
Lumos Pharma Inc,1985762,SFJ Pharmaceuticals Inc,1381208,Doctor Emmett Cunningham Jr,1726458,Director -  SD (Brd) (SD),,,Director -  SD (Brd) (SD),,
ViewPoint Therapeutics Inc,2313469,SFJ Pharmaceuticals Inc,1381208,Doctor Emmett Cunningham Jr,1726458,Independent Director (Brd) (SD),2015-01-01,,Director -  SD (Brd) (SD),,
Graybug Vision Inc (GrayBug Inc prior to 06/2016),1896270,SFJ Pharmaceuticals Inc,1381208,Doctor Emmett Cunningham Jr,1726458,Director -  SD (Brd) (SD),,,Director -  SD (Brd) (SD),,
BRISTOL-MYERS SQUIBB CO,5118,SFJ Pharmaceuticals Inc,1381208,Doctor Jamie Foley,1252975,Division Director (Non-Brd),2007-01-01,2014-05-01,Director -  SD (Brd) (SD),,
Gynesonics Inc,942837,SFJ Pharmaceuticals Inc,1381208,Ken Haas,1074925,Director -  SD (Brd) (SD),,,Director -  SD (Brd) (SD),,
Effector Therapeutics Inc,1825649,SFJ Pharmaceuticals Inc,1381208,Ken Haas,1074925,Director -  SD (Brd) (SD),,,Director -  SD (Brd) (SD),,
Labcyte Inc (Picoliter Inc prior to 11/2003),582769,SFJ Pharmaceuticals Inc,1381208,Doctor Jonathan MacQuitty,1074924,Director -  SD (Brd) (SD),,,Director -  SD (Brd) (SD),,
Gynesonics Inc,942837,SFJ Pharmaceuticals Inc,1381208,Doctor Jonathan MacQuitty,1074924,Director -  SD (Brd) (SD),,,Director -  SD (Brd) (SD),,
Personalis Inc (Listed 06/2019),1919261,SFJ Pharmaceuticals Inc,1381208,Doctor Jonathan MacQuitty,1074924,Independent Chairman (Brd) (SD),2011-06-01,2019-06-20,Director -  SD (Brd) (SD),,
IFM Therapeutics LLC (IFM Therapeutics Inc prior to 09/2017),2518461,SFJ Pharmaceuticals Inc,1381208,Doctor Shelley Chu,765685,Observer (Non-Brd),,,Director -  SD (Brd) (SD),,
Tizona Therapeutics Inc (Formerly known as Vesuvius Pharmaceuticals Inc),2314926,SFJ Pharmaceuticals Inc,1381208,Doctor Shelley Chu,765685,Director -  SD (Brd) (SD),,,Director -  SD (Brd) (SD),,
VenatoRx Pharmaceuticals Inc,1745995,SFJ Pharmaceuticals Inc,1381208,Doctor Shelley Chu,765685,Director -  SD (Brd) (SD),,,Director -  SD (Brd) (SD),,
Cardiac Dimensions Inc,606155,SFJ Pharmaceuticals Inc,1381208,Kurt Wheeler,504500,Director -  SD (Brd) (SD),,,Director -  SD (Brd) (SD),,
SOMAXON PHARMACEUTICALS INC (De-listed 03/2013),624472,SFJ Pharmaceuticals Inc,1381208,Kurt Wheeler,504500,Independent Director (Brd) (SD),2005-12-15,2010-03-18,Director -  SD (Brd) (SD),,
Clarus Ventures LLC,666216,SFJ Pharmaceuticals Inc,1381208,Kurt Wheeler,504500,MD (Brd) (ED),2005-02-01,2018-11-01,Director -  SD (Brd) (SD),,
ZOGENIX INC,1673821,SFJ Pharmaceuticals Inc,1381208,Kurt Wheeler,504500,Independent Director (Brd) (SD),2010-11-23,2013-06-18,Director -  SD (Brd) (SD),,
Flowonix Medical Inc (InSet Technologies Inc prior to 01/2009),1821434,SFJ Pharmaceuticals Inc,1381208,Kurt Wheeler,504500,Director -  SD (Brd) (SD),,,Director -  SD (Brd) (SD),,
GLOBUS MEDICAL INC,1877439,SFJ Pharmaceuticals Inc,1381208,Kurt Wheeler,504500,Independent Director (Brd) (SD),2012-08-03,2015-02-01,Director -  SD (Brd) (SD),,
GLOBUS MEDICAL INC,1877439,SFJ Pharmaceuticals Inc,1381208,Kurt Wheeler,504500,Lead Independent Director (Brd) (SD),2015-02-01,,Director -  SD (Brd) (SD),,
UNITEDHEALTH GROUP INC (United HealthCare Corp prior to 04/2000),32107,CAREFUSION CORP (De-listed 03/2015),1381214,Doctor Carlos Nunez,982098,Division Chief Executive (Non-Brd),2000-06-01,2011-03-01,Chief Medical Officer (Non-Brd),2011-03-07,2014-01-01
BECTON DICKINSON & CO,3903,CAREFUSION CORP (De-listed 03/2015),1381214,Doctor Carlos Nunez,982098,Senior VP - Medical Affairs (Non-Brd),2015-03-01,2016-01-01,Senior VP/Chief Medical Officer (Non-Brd),2014-01-01,2015-03-17
BOSTON SCIENTIFIC CORP,4865,CAREFUSION CORP (De-listed 03/2015),1381214,Supratim Bose,1071519,Executive VP/Regional President (Non-Brd),2013-01-01,2017-12-31,Independent Director (Brd) (SD),2014-05-07,2015-03-17
BOSTON SCIENTIFIC CORP,4865,CAREFUSION CORP (De-listed 03/2015),1381214,Supratim Bose,1071519,Executive VP/Regional President (Non-Brd),2011-12-01,2013-01-01,Independent Director (Brd) (SD),2014-05-07,2015-03-17
BECTON DICKINSON & CO,3903,CAREFUSION CORP (De-listed 03/2015),1381214,Doctor Dennis Tribble,1060624,Director - Healthcare (Non-Brd),2015-03-01,,Director - Ops (Non-Brd),2014-08-01,2015-03-17
BECTON DICKINSON & CO,3903,CAREFUSION CORP (De-listed 03/2015),1381214,Jason Strohm,1015466,VP/General Manager (Non-Brd),2015-03-01,,VP/General Manager (Non-Brd),2010-01-01,2015-03-17
CYMER INC (De-listed 05/2013),8534,CAREFUSION CORP (De-listed 03/2015),1381214,Marty Gluck,1015450,Chief Information Officer (Non-Brd),2012-05-01,2013-05-30,Senior VP - IT (Non-Brd),2009-08-31,2012-01-01
EvoNexus (Formerly known as CommNexus San Diego),850882,CAREFUSION CORP (De-listed 03/2015),1381214,Don Abbey,1015447,Director -  SD (Brd) (SD),,,Executive VP - Quality (Non-Brd),2011-11-01,2015-03-17
HOSPIRA INC (De-listed 09/2015),469196,CAREFUSION CORP (De-listed 03/2015),1381214,Neil Ryding,1015461,Senior VP (Non-Brd),2012-07-02,2013-10-11,Executive VP (Non-Brd),2009-08-31,2012-08-01
BECTON DICKINSON & CO,3903,CAREFUSION CORP (De-listed 03/2015),1381214,Mike Zill,1117556,Senior VP - Global Services (Non-Brd),2015-03-01,2017-10-01,Executive VP/Chief Information Officer (Non-Brd),2011-12-01,2015-03-17
NUVASIVE INC,466212,CAREFUSION CORP (De-listed 03/2015),1381214,Doctor Pete Leddy,453418,Independent Director (Brd) (SD),2011-07-28,2015-07-09,Chief Human Resource Officer (Non-Brd),2014-06-01,2014-08-01
Pathway Genomics Corp,1558662,CAREFUSION CORP (De-listed 03/2015),1381214,Doctor Pete Leddy,453418,Director -  SD (Brd) (SD),,,Chief Human Resource Officer (Non-Brd),2014-06-01,2014-08-01
ACHIEVE LIFE SCIENCES INC (Oncogenex Pharmaceuticals Inc prior to 08/2017),28592,CAREFUSION CORP (De-listed 03/2015),1381214,Mike Martino,445819,Director -  SD (Brd) (SD),,,Senior VP - Business Development/Strategies (Non-Brd),2010-03-01,2011-11-01
Arzeda Corp,1692900,CAREFUSION CORP (De-listed 03/2015),1381214,Mike Martino,445819,Director -  SD (Brd) (SD),,,Senior VP - Business Development/Strategies (Non-Brd),2010-03-01,2011-11-01
Arzeda Corp,1692900,CAREFUSION CORP (De-listed 03/2015),1381214,Mike Martino,445819,President/CEO (Non-Brd),2009-01-01,2010-03-01,Senior VP - Business Development/Strategies (Non-Brd),2010-03-01,2011-11-01
ACHIEVE LIFE SCIENCES INC (Oncogenex Pharmaceuticals Inc prior to 08/2017),28592,CAREFUSION CORP (De-listed 03/2015),1381214,Dwight Winstead,445506,Independent Director (Brd) (SD),1995-07-01,2010-06-08,COO (Non-Brd),2009-08-31,2011-06-30
ORTHOFIX MEDICAL INC (Orthofix International NV prior to 08/2018),23423,CAREFUSION CORP (De-listed 03/2015),1381214,Jim Hinrichs,530444,Independent Director (Brd) (SD),2014-04-24,,CFO (Non-Brd),2010-12-01,2015-03-17
Biocom Inc (Formerly known as BioMedical Industry Council),381102,CAREFUSION CORP (De-listed 03/2015),1381214,Jim Hinrichs,530444,Director -  SD (Brd) (SD),,,CFO (Non-Brd),2010-12-01,2015-03-17
SUPERVALU INC (De-listed 10/2018),29620,CAREFUSION CORP (De-listed 03/2015),1381214,Phil Francis,85932,Independent Director (Brd) (SD),2006-02-08,2012-07-29,Independent Director (Brd) (SD),2009-08-31,2015-03-17
SUPERVALU INC (De-listed 10/2018),29620,CAREFUSION CORP (De-listed 03/2015),1381214,Phil Francis,85932,Independent Director (Brd) (SD),2014-01-10,2018-10-22,Independent Director (Brd) (SD),2009-08-31,2015-03-17
PETSMART INC (De-listed 03/2015),24284,CAREFUSION CORP (De-listed 03/2015),1381214,Phil Francis,85932,Chairman (Executive) (Brd) (ED),,,Independent Director (Brd) (SD),2009-08-31,2015-03-17
PETSMART INC (De-listed 03/2015),24284,CAREFUSION CORP (De-listed 03/2015),1381214,Phil Francis,85932,Director -  SD (Brd) (SD),,,Independent Director (Brd) (SD),2009-08-31,2015-03-17
Federal Reserve Bank of San Francisco (FRBSF),78746,CAREFUSION CORP (De-listed 03/2015),1381214,Phil Francis,85932,Advisor (Non-Brd),2012-01-01,2018-01-01,Independent Director (Brd) (SD),2009-08-31,2015-03-17
SUPERVALU INC (De-listed 10/2018),29620,CAREFUSION CORP (De-listed 03/2015),1381214,Phil Francis,85932,Lead Independent Director (Brd) (SD),2012-07-29,2014-01-10,Independent Director (Brd) (SD),2009-08-31,2015-03-17
Arizona Commerce Authority,1702161,CAREFUSION CORP (De-listed 03/2015),1381214,Phil Francis,85932,Director -  SD (Brd) (SD),,,Independent Director (Brd) (SD),2009-08-31,2015-03-17
Noxilizer Inc,750281,CAREFUSION CORP (De-listed 03/2015),1381214,Doctor Ed Miller Jr,78642,Director -  SD (Brd) (SD),,,Independent Director (Brd) (SD),2009-08-31,2015-03-17
Specialists On Call Inc (SOC Telemed),1389391,CAREFUSION CORP (De-listed 03/2015),1381214,Doctor Jacqueline Kosecoff,106627,Chairman (Brd) (SD),2014-11-01,,Independent Director (Brd) (SD),2009-08-31,2015-03-17
Warburg Pincus LLC,461930,CAREFUSION CORP (De-listed 03/2015),1381214,Doctor Jacqueline Kosecoff,106627,Senior Advisor (Non-Brd),2012-03-01,,Independent Director (Brd) (SD),2009-08-31,2015-03-17
UNITEDHEALTH GROUP INC (United HealthCare Corp prior to 04/2000),32107,CAREFUSION CORP (De-listed 03/2015),1381214,Doctor Jacqueline Kosecoff,106627,Division CEO (Non-Brd),2007-10-01,2012-01-01,Independent Director (Brd) (SD),2009-08-31,2015-03-17
SEALED AIR CORP,27418,CAREFUSION CORP (De-listed 03/2015),1381214,Doctor Jacqueline Kosecoff,106627,Independent Director (Brd) (SD),2005-05-20,,Independent Director (Brd) (SD),2009-08-31,2015-03-17
STERIS PLC (STERIS Corp prior to 11/2015),29202,CAREFUSION CORP (De-listed 03/2015),1381214,Doctor Jacqueline Kosecoff,106627,Independent NED (Brd) (SD),2003-10-01,,Independent Director (Brd) (SD),2009-08-31,2015-03-17
UNITEDHEALTH GROUP INC (United HealthCare Corp prior to 04/2000),32107,CAREFUSION CORP (De-listed 03/2015),1381214,Doctor Jacqueline Kosecoff,106627,Division CEO (Non-Brd),2005-12-01,2007-09-01,Independent Director (Brd) (SD),2009-08-31,2015-03-17
ATHENAHEALTH INC (De-listed 02/2019),632235,CAREFUSION CORP (De-listed 03/2015),1381214,Doctor Jacqueline Kosecoff,106627,Independent Director (Brd) (SD),2012-06-27,2019-02-11,Independent Director (Brd) (SD),2009-08-31,2015-03-17
DJO Finance LLC (ReAble Therapeutics Finance LLC prior to 11/2007),1016567,CAREFUSION CORP (De-listed 03/2015),1381214,Doctor Jacqueline Kosecoff,106627,Independent Director (Brd) (SD),2014-12-18,2017-12-31,Independent Director (Brd) (SD),2009-08-31,2015-03-17
LIFE TECHNOLOGIES CORP (Invitrogen Corp prior to 11/2008) (De-listed 02/2014),16904,CAREFUSION CORP (De-listed 03/2015),1381214,Greg Lucier,160005,Chairman/CEO (Brd) (ED),2008-11-21,2014-02-03,Independent Director (Brd) (SD),2009-08-31,2015-03-17
Biocom Inc (Formerly known as BioMedical Industry Council),381102,CAREFUSION CORP (De-listed 03/2015),1381214,Greg Lucier,160005,Chairman Emeritus (Non-Brd),2008-01-01,2011-01-01,Independent Director (Brd) (SD),2009-08-31,2015-03-17
NUVASIVE INC,466212,CAREFUSION CORP (De-listed 03/2015),1381214,Greg Lucier,160005,Independent Director (Brd) (SD),2013-12-04,2015-03-27,Independent Director (Brd) (SD),2009-08-31,2015-03-17
Synthetic Genomics Inc,921362,CAREFUSION CORP (De-listed 03/2015),1381214,Greg Lucier,160005,Director -  SD (Brd) (SD),,,Independent Director (Brd) (SD),2009-08-31,2015-03-17
Cole-Parmer Instrument Co LLC,1558895,CAREFUSION CORP (De-listed 03/2015),1381214,Greg Lucier,160005,Director -  SD (Brd) (SD),,,Independent Director (Brd) (SD),2009-08-31,2015-03-17
GreenLight Biosciences LLC,1666421,CAREFUSION CORP (De-listed 03/2015),1381214,Greg Lucier,160005,Director -  SD (Brd) (SD),,,Independent Director (Brd) (SD),2009-08-31,2015-03-17
ORGANOVO HOLDINGS INC,1964532,CAREFUSION CORP (De-listed 03/2015),1381214,Greg Lucier,160005,Corporate Advisor (Non-Brd),2014-08-06,2015-01-01,Independent Director (Brd) (SD),2009-08-31,2015-03-17
Edico Genome Inc,2151164,CAREFUSION CORP (De-listed 03/2015),1381214,Greg Lucier,160005,Director -  SD (Brd) (SD),,,Independent Director (Brd) (SD),2009-08-31,2015-03-17
PERKINELMER INC (EG&G prior to 07/1999),24183,CAREFUSION CORP (De-listed 03/2015),1381214,Rob Friel,183961,Chairman/President/CEO (Brd) (ED),2009-04-28,2019-01-01,Independent Director (Brd) (SD),2009-08-31,2015-03-17
XYLEM INC,1731107,CAREFUSION CORP (De-listed 03/2015),1381214,Rob Friel,183961,Independent Director (Brd) (SD),2012-12-12,,Independent Director (Brd) (SD),2009-08-31,2015-03-17
EDWARDS LIFESCIENCES CORP,10156,CAREFUSION CORP (De-listed 03/2015),1381214,Kieran Gallahue,326270,Independent Director (Brd) (SD),2015-02-10,,Chairman/CEO (Brd) (ED),2011-01-29,2015-03-17
Advanced Medical Technology Association (AdvaMed),78969,CAREFUSION CORP (De-listed 03/2015),1381214,Kieran Gallahue,326270,Director -  SD (Brd) (SD),,,Chairman/CEO (Brd) (ED),2011-01-29,2015-03-17
VOLCANO CORP (De-listed 02/2015),796050,CAREFUSION CORP (De-listed 03/2015),1381214,Kieran Gallahue,326270,Independent Director (Brd) (SD),2007-07-17,2015-02-17,Chairman/CEO (Brd) (ED),2011-01-29,2015-03-17
RESMED INC,26113,CAREFUSION CORP (De-listed 03/2015),1381214,Kieran Gallahue,326270,Employee (Non-Brd),2011-01-28,2011-02-01,Chairman/CEO (Brd) (ED),2011-01-29,2015-03-17
JUNIPER NETWORKS INC,17580,CAREFUSION CORP (De-listed 03/2015),1381214,Dave Schlotterbeck,331436,Independent Director (Brd) (SD),2010-09-02,2015-05-19,Employee (Non-Brd),2011-01-29,2011-02-28
