from_company,from_company_id,to_company,to_company_id,name,name_id,role_in_from_company,role_in_from_company_start_date,role_in_from_company_end_date,role_in_to_company,role_in_to_company_start_date,role_in_to_company_end_date
US WELL SERVICES INC (Matlin & Partners Acquisition Corp prior to 11/2018),2631628,JASON INDUSTRIES INC (Quinpario Acquisition Corp prior to 07/2014),1971663,Ashish Gupta,2172677,Advisor (Non-Brd),2017-03-01,2019-03-01,Vice President (Non-Brd),2016-01-01,2017-01-01
MANITOWOC CO INC (THE),19580,JASON INDUSTRIES INC (Quinpario Acquisition Corp prior to 07/2014),1971663,Tom Doerr Jr,1706034,Associate General Counsel (Non-Brd),2012-09-01,2015-11-01,General Counsel/Secretary (Non-Brd),2015-11-09,2016-01-01
FUTUREFUEL CORP,1694747,WORLD POINT TERMINALS LP (De-listed 07/2017),1971665,Tony Novelly,40456,Chairman/CEO (Brd) (ED),2013-01-10,,Chairman/President/CEO (Brd) (ED),2013-08-09,2015-03-24
FCB FINANCIAL HOLDINGS INC (De-listed 01/2019),2130282,WORLD POINT TERMINALS LP (De-listed 07/2017),1971665,Tony Novelly,40456,Independent Director (Brd) (SD),2014-08-01,2019-01-01,Chairman/President/CEO (Brd) (ED),2013-08-09,2015-03-24
FUTUREFUEL CORP,1694747,WORLD POINT TERMINALS LP (De-listed 07/2017),1971665,Tony Novelly,40456,Chairman/CEO (Brd) (ED),2013-01-10,,Chairman/CEO (Brd) (ED),2015-03-24,2017-07-20
FCB FINANCIAL HOLDINGS INC (De-listed 01/2019),2130282,WORLD POINT TERMINALS LP (De-listed 07/2017),1971665,Tony Novelly,40456,Independent Director (Brd) (SD),2014-08-01,2019-01-01,Chairman/CEO (Brd) (ED),2015-03-24,2017-07-20
FUTUREFUEL CORP,1694747,WORLD POINT TERMINALS LP (De-listed 07/2017),1971665,Paul Manheim,1016879,Independent Director (Brd) (SD),2011-07-15,,Independent Director (Brd) (SD),2013-08-09,2017-07-20
FUTUREFUEL CORP,1694747,WORLD POINT TERMINALS LP (De-listed 07/2017),1971665,Doctor Don Bedell,626995,Independent Director (Brd) (SD),2011-03-23,,Director -  SD (Brd) (SD),,
ACACIA RESEARCH CORP,553,WORLD POINT TERMINALS LP (De-listed 07/2017),1971665,G Graziadio III,481200,Chairman (Executive) (Brd) (ED),,,Director -  SD (Brd) (SD),,
ACACIA RESEARCH CORP,553,WORLD POINT TERMINALS LP (De-listed 07/2017),1971665,G Graziadio III,481200,Independent Director (Brd) (SD),2002-02-01,2016-08-01,Director -  SD (Brd) (SD),,
VERITONE INC,2656424,WORLD POINT TERMINALS LP (De-listed 07/2017),1971665,G Graziadio III,481200,Director -  SD (Brd) (SD),,,Director -  SD (Brd) (SD),,
FUTUREFUEL CORP,1694747,WORLD POINT TERMINALS LP (De-listed 07/2017),1971665,Edwin Levy,376274,Independent Director (Brd) (SD),2011-03-23,,Director -  SD (Brd) (SD),,
ECHELON FINANCIAL HOLDINGS INC (EGI Financial Holdings Inc prior to 05/2015),1225998,WORLD POINT TERMINALS LP (De-listed 07/2017),1971665,Paul Little,329437,Independent Director (Brd) (SD),2012-12-31,2014-05-16,Independent Director (Brd) (SD),2013-08-09,2017-07-20
