from_company,from_company_id,to_company,to_company_id,name,name_id,role_in_from_company,role_in_from_company_start_date,role_in_from_company_end_date,role_in_to_company,role_in_to_company_start_date,role_in_to_company_end_date
PwrCor Inc (Receivable Acquisition & Management Corp prior to 03/2017),607050,Obsidian Enterprises Inc,22893,George Cleveland,374956,Director -  SD (Brd) (SD),,,Director -  SD (Brd) (SD),,
RENN FUND INC (RENN Global Entrepreneurs Fund Inc prior to 08/2014),641367,Obsidian Enterprises Inc (Danzer Corp prior to 10/2001),22893,George Cleveland,374956,Chairman/President/CEO (Brd) (ED),1994-01-01,2015-03-11,Director -  SD (Brd) (SD),,
BENTLEY PHARMACEUTICALS INC (De-listed 07/2008),4027,Obsidian Enterprises Inc (Danzer Corp prior to 10/2001),22893,George Cleveland,374956,Director -  SD (Brd) (SD),,,Director -  SD (Brd) (SD),,
NATIONAL LAMPOON INC (De-listed 12/2008),750379,Obsidian Enterprises Inc (Danzer Corp prior to 10/2001),22893,Dan Laikin,452374,CEO (Brd) (ED),2005-02-01,2007-07-01,Independent Director (Brd) (SD),2001-09-01,2006-03-01
NATIONAL LAMPOON INC (De-listed 12/2008),750379,Obsidian Enterprises Inc (Danzer Corp prior to 10/2001),22893,Tim Durham Sr,452376,Independent Director (Brd) (SD),2002-11-01,2008-12-17,Chairman/CEO (Brd) (ED),2001-06-01,2006-03-17
NATIONAL LAMPOON INC (De-listed 12/2008),750379,Obsidian Enterprises Inc (Danzer Corp prior to 10/2001),22893,Dan Laikin,452374,COO (Brd) (ED),2002-11-01,2005-02-01,Independent Director (Brd) (SD),2001-09-01,2006-03-01
GASCO ENERGY INC (De-listed 04/2013),12869,Obsidian Enterprises Inc (Danzer Corp prior to 10/2001),22893,John Schmit,480956,Director -  SD (Brd) (SD),,,Director -  SD (Brd) (SD),,
TWO HARBORS INVESTMENT CORP,1590568,OCCIDENTAL PETROLEUM CORP,22899,The Hon. Edward Abraham,485908,Independent Director (Brd) (SD),2014-05-20,,Independent Vice Chairman (Brd) (SD),2013-05-03,2015-05-01
URANIUM ENERGY CORP,1040083,OCCIDENTAL PETROLEUM CORP,22899,The Hon. Edward Abraham,485908,Chairman (Executive) (Brd) (ED),,,Independent Director (Brd) (SD),2015-05-01,
C3 Inc (C3 IoT Inc) (Formerly known as C3 Energy Inc),1923009,OCCIDENTAL PETROLEUM CORP,22899,The Hon. Edward Abraham,485908,Director -  SD (Brd) (SD),,,Independent Vice Chairman (Brd) (SD),2013-05-03,2015-05-01
PBF ENERGY INC,1915368,OCCIDENTAL PETROLEUM CORP,22899,The Hon. Edward Abraham,485908,Independent Director (Brd) (SD),2012-12-13,,Independent Director (Brd) (SD),2015-05-01,
URANIUM ENERGY CORP,1040083,OCCIDENTAL PETROLEUM CORP,22899,The Hon. Edward Abraham,485908,Chairman (Executive) (Brd) (ED),,,Independent Director (Brd) (SD),2005-05-06,2013-05-03
URANIUM ENERGY CORP,1040083,OCCIDENTAL PETROLEUM CORP,22899,The Hon. Edward Abraham,485908,Advisory Chairman (Non-Brd),2012-12-01,2015-10-14,Independent Director (Brd) (SD),2005-05-06,2013-05-03
C3 Inc (C3 IoT Inc) (Formerly known as C3 Energy Inc),1923009,OCCIDENTAL PETROLEUM CORP,22899,The Hon. Edward Abraham,485908,Director -  SD (Brd) (SD),,,Independent Director (Brd) (SD),2005-05-06,2013-05-03
C3 Inc (C3 IoT Inc) (Formerly known as C3 Energy Inc),1923009,OCCIDENTAL PETROLEUM CORP,22899,The Hon. Edward Abraham,485908,Director -  SD (Brd) (SD),,,Independent Director (Brd) (SD),2015-05-01,
TWO HARBORS INVESTMENT CORP,1590568,OCCIDENTAL PETROLEUM CORP,22899,The Hon. Edward Abraham,485908,Independent Director (Brd) (SD),2014-05-20,,Independent Director (Brd) (SD),2015-05-01,
NRG ENERGY INC,22626,OCCIDENTAL PETROLEUM CORP,22899,The Hon. Edward Abraham,485908,Independent Director (Brd) (SD),2012-12-14,,Independent Vice Chairman (Brd) (SD),2013-05-03,2015-05-01
URANIUM ENERGY CORP,1040083,OCCIDENTAL PETROLEUM CORP,22899,The Hon. Edward Abraham,485908,Chairman (Non-Executive) (Brd) (SD),,,Independent Director (Brd) (SD),2015-05-01,
PBF ENERGY INC,1915368,OCCIDENTAL PETROLEUM CORP,22899,The Hon. Edward Abraham,485908,Independent Director (Brd) (SD),2012-12-13,,Independent Vice Chairman (Brd) (SD),2013-05-03,2015-05-01
PBF Energy Inc (Listed 12/2012),1694958,OCCIDENTAL PETROLEUM CORP,22899,The Hon. Edward Abraham,485908,Independent Director (Brd) (SD),2012-10-01,2012-12-13,Independent Director (Brd) (SD),2015-05-01,
ICX TECHNOLOGIES INC (De-listed 10/2010),646686,OCCIDENTAL PETROLEUM CORP,22899,The Hon. Edward Abraham,485908,Independent Director (Brd) (SD),2007-11-07,2010-10-04,Independent Director (Brd) (SD),2015-05-01,
NRG ENERGY INC,22626,OCCIDENTAL PETROLEUM CORP,22899,The Hon. Edward Abraham,485908,Independent Director (Brd) (SD),2012-12-14,,Independent Director (Brd) (SD),2015-05-01,
PBF ENERGY INC,1915368,OCCIDENTAL PETROLEUM CORP,22899,The Hon. Edward Abraham,485908,Independent Director (Brd) (SD),2012-12-13,,Independent Director (Brd) (SD),2005-05-06,2013-05-03
GENON ENERGY INC (RRI Energy Inc prior to 11/2010) (De-listed 12/2012),26011,OCCIDENTAL PETROLEUM CORP,22899,The Hon. Edward Abraham,485908,Independent Director (Brd) (SD),2012-01-10,2012-12-14,Independent Director (Brd) (SD),2015-05-01,
URANIUM ENERGY CORP,1040083,OCCIDENTAL PETROLEUM CORP,22899,The Hon. Edward Abraham,485908,Advisory Chairman (Non-Brd),2012-12-01,2015-10-14,Independent Director (Brd) (SD),2015-05-01,
URANIUM ENERGY CORP,1040083,OCCIDENTAL PETROLEUM CORP,22899,The Hon. Edward Abraham,485908,Advisory Chairman (Non-Brd),2012-12-01,2015-10-14,Independent Vice Chairman (Brd) (SD),2013-05-03,2015-05-01
NRG ENERGY INC,22626,OCCIDENTAL PETROLEUM CORP,22899,The Hon. Edward Abraham,485908,Independent Director (Brd) (SD),2012-12-14,,Independent Director (Brd) (SD),2005-05-06,2013-05-03
GENON ENERGY INC (RRI Energy Inc prior to 11/2010) (De-listed 12/2012),26011,OCCIDENTAL PETROLEUM CORP,22899,The Hon. Edward Abraham,485908,Independent Director (Brd) (SD),2012-01-10,2012-12-14,Independent Director (Brd) (SD),2005-05-06,2013-05-03
ICX TECHNOLOGIES INC (De-listed 10/2010),646686,OCCIDENTAL PETROLEUM CORP,22899,The Hon. Edward Abraham,485908,Independent Director (Brd) (SD),2007-11-07,2010-10-04,Independent Director (Brd) (SD),2005-05-06,2013-05-03
TWO HARBORS INVESTMENT CORP,1590568,OCCIDENTAL PETROLEUM CORP,22899,The Hon. Edward Abraham,485908,Independent Director (Brd) (SD),2014-05-20,,Independent Director (Brd) (SD),2005-05-06,2013-05-03
URANIUM ENERGY CORP,1040083,OCCIDENTAL PETROLEUM CORP,22899,The Hon. Edward Abraham,485908,Chairman (Non-Executive) (Brd) (SD),,,Independent Director (Brd) (SD),2005-05-06,2013-05-03
PBF Energy Inc (Listed 12/2012),1694958,OCCIDENTAL PETROLEUM CORP,22899,The Hon. Edward Abraham,485908,Independent Director (Brd) (SD),2012-10-01,2012-12-13,Independent Director (Brd) (SD),2005-05-06,2013-05-03
DYNEGY INC (De-listed 04/2007),9833,OCCIDENTAL PETROLEUM CORP,22899,Mike Barton,498776,Various Positions (Non-Brd),1991-01-01,1995-01-01,Various Positions (Non-Brd),1987-05-01,1991-11-01
ROYALE ENERGY INC (De-listed 01/2016),26658,OCCIDENTAL PETROLEUM CORP,22899,Phill Nicoll,499031,Chief Engineer (Non-Brd),1998-01-01,2006-07-01,Engineer (Non-Brd),1991-09-01,1998-11-01
NORTEL NETWORKS CORP (De-listed 06/2009),22451,OCCIDENTAL PETROLEUM CORP,22899,Martin Cozyn,605961,Vice President - HR (Non-Brd),2005-01-01,2008-01-01,Executive VP - HR (Non-Brd),2008-04-01,2015-07-01
WESTERN ASSET INVESTMENT GRADE INCOME FUND INC (Western Asset Income Fund prior to 03/2018),23574,OCCIDENTAL PETROLEUM CORP,22899,Dick Poladian,310266,Independent Director (Brd) (SD),2007-05-08,,Independent Director (Brd) (SD),2008-05-02,
CALIFORNIA PIZZA KITCHEN INC (De-listed 07/2011),5547,OCCIDENTAL PETROLEUM CORP,22899,Dick Poladian,310266,Independent Director (Brd) (SD),2004-09-30,2008-05-21,Independent Director (Brd) (SD),2008-05-02,
PUBLIC STORAGE (Public Storage Inc prior to 06/2007),25380,OCCIDENTAL PETROLEUM CORP,22899,Dick Poladian,310266,Independent Trustee (Brd) (SD),2010-02-26,,Independent Director (Brd) (SD),2008-05-02,
CALIFORNIA RESOURCES CORP,2172231,OCCIDENTAL PETROLEUM CORP,22899,Dick Poladian,310266,Independent Director (Brd) (SD),2014-12-01,,Independent Director (Brd) (SD),2008-05-02,
PROPETRO HOLDING CORP,2634083,OCCIDENTAL PETROLEUM CORP,22899,Jack Moore,204486,Independent Director (Brd) (SD),2017-03-17,,Independent Director (Brd) (SD),2016-07-14,
KBR INC,660699,OCCIDENTAL PETROLEUM CORP,22899,Jack Moore,204486,Independent Director (Brd) (SD),2012-01-01,,Independent Director (Brd) (SD),2016-07-14,
ROWAN COMPANIES PLC (Rowan Companies Inc prior to 05/2012) (De-listed 04/2019),26601,OCCIDENTAL PETROLEUM CORP,22899,Jack Moore,204486,Independent Director (Brd) (SD),2016-04-28,2019-04-11,Independent Director (Brd) (SD),2016-07-14,
PRUDENTIAL FINANCIAL INC,25332,OCCIDENTAL PETROLEUM CORP,22899,Peggy Foran,221397,VP/Chief Governance Officer/Secretary (Non-Brd),2009-07-31,2015-10-13,Independent Director (Brd) (SD),2010-12-09,
