from_company,from_company_id,to_company,to_company_id,name,name_id,role_in_from_company,role_in_from_company_start_date,role_in_from_company_end_date,role_in_to_company,role_in_to_company_start_date,role_in_to_company_end_date
908 Devices Inc,1984479,American Physical Society (APS),76523,Doctor Alan Marshall,1361346,Advisory Board Member (Non-Brd),2012-01-01,,Fellow,,
Soraa Inc (Formerly known as Kaai Inc),1646910,American Physical Society (APS),76523,Professor Jim Speck,1325904,Co-Founder (Non-Brd),2008-10-01,,Fellow,,
Siva Power Inc (Solexant Corp prior to 11/2013),1024730,American Physical Society (APS),76523,Doctor BJ Stanbery,1327969,President (Non-Brd),2015-03-23,2016-01-01,Member,,
HelioVolt Corp,956604,American Physical Society (APS),76523,Doctor BJ Stanbery,1327969,CEO (Brd) (ED),2013-01-01,,Member,,
NBD Nanotechnologies Inc,1981467,American Physical Society (APS),76523,Professor Doctor Bob Cohen,1332714,Scientific Advisor (Non-Brd),,2016-01-01,Fellow,,
Bandgap Engineering Inc,1639380,American Physical Society (APS),76523,Professor Jesus del Alamo,1326548,Advisory Board Member (Non-Brd),,,Fellow,,
Siva Power Inc (Solexant Corp prior to 11/2013),1024730,American Physical Society (APS),76523,Doctor BJ Stanbery,1327969,Chief Science Officer (Non-Brd),2016-01-01,,Member,,
Svaya Nanotechnologies Inc,1714094,American Physical Society (APS),76523,Professor Paula Hammond,1332718,Advisor (Non-Brd),2009-10-01,,Fellow,,
PROCTER & GAMBLE CO,25150,American Physical Society (APS),76523,Doctor Glenn Fredrickson,1269815,Consultant (Non-Brd),2002-01-01,2002-01-01,Fellow,,
Wildcat Discovery Technologies Inc,1340882,American Physical Society (APS),76523,Professor Doctor Frank DiSalvo Jr,1260667,Advisor (Non-Brd),,,Fellow,,
JOHN WILEY & SONS INC,33491,American Physical Society (APS),76523,Doctor Glenn Fredrickson,1269815,Advisor (Non-Brd),2001-01-01,2010-01-01,Fellow,,
