from_company,from_company_id,to_company,to_company_id,name,name_id,role_in_from_company,role_in_from_company_start_date,role_in_from_company_end_date,role_in_to_company,role_in_to_company_start_date,role_in_to_company_end_date
ASSOCIATED ESTATES REALTY CORP (De-listed 08/2015),2822,Urban Land Institute (ULI) Foundation,815512,John Gates Jr,180922,Independent Director (Brd) (SD),2015-05-22,2015-08-07,Governor,,
CARE CAPITAL PROPERTIES INC (De-listed 08/2017),2323526,Urban Land Institute (ULI) Foundation,815512,John Gates Jr,180922,Independent Director (Brd) (SD),2015-08-18,2017-08-17,Governor,,
UDR INC (United Dominion Realty Trust Inc prior to 03/2007),32094,Urban Land Institute (ULI) Foundation,815512,James Klingbeil Sr,181638,Independent Chairman (Brd) (SD),2010-03-11,2018-01-01,Chairman Emeritus,,
UDR INC (United Dominion Realty Trust Inc prior to 03/2007),32094,Urban Land Institute (ULI) Foundation,815512,James Klingbeil Sr,181638,Lead Independent Director (Brd) (SD),2018-01-01,,Chairman Emeritus,,
Federal Home Loan Mortgage Corp (Freddie Mac),1652009,Urban Land Institute (ULI) Foundation,815512,James Klingbeil Sr,181638,Advisory Board Member (Non-Brd),2010-07-08,,Chairman Emeritus,,
FEDERAL HOME LOAN MORTGAGE CORP (FREDDIE MAC) (De-listed 07/2010),11646,Urban Land Institute (ULI) Foundation,815512,James Klingbeil Sr,181638,Advisory Board Member (Non-Brd),,2010-07-08,Chairman,,
UDR INC (United Dominion Realty Trust Inc prior to 03/2007),32094,Urban Land Institute (ULI) Foundation,815512,James Klingbeil Sr,181638,Independent Chairman (Brd) (SD),2010-03-11,2018-01-01,Chairman,,
UDR INC (United Dominion Realty Trust Inc prior to 03/2007),32094,Urban Land Institute (ULI) Foundation,815512,James Klingbeil Sr,181638,Independent Vice Chairman (Brd) (SD),2000-10-01,2010-03-11,Chairman,,
Federal Home Loan Mortgage Corp (Freddie Mac),1652009,Urban Land Institute (ULI) Foundation,815512,James Klingbeil Sr,181638,Advisory Board Member (Non-Brd),2010-07-08,,Chairman,,
TRI POINTE GROUP INC (TRI Pointe Homes Inc prior to 07/2015),1928451,Urban Land Institute (ULI) Foundation,815512,Connie Moore,180449,Independent Director (Brd) (SD),2014-07-07,,Director -  SD,,
COLUMBIA PROPERTY TRUST INC,1993180,Urban Land Institute (ULI) Foundation,815512,Connie Moore,180449,Independent Director (Brd) (SD),2017-11-10,,Director -  SD,,
CIVEO CORP,2072545,Urban Land Institute (ULI) Foundation,815512,Connie Moore,180449,Independent Director (Brd) (SD),2014-05-30,,Director -  SD,,
DCT INDUSTRIAL TRUST INC (De-listed 08/2018),1024217,Urban Land Institute (ULI) Foundation,815512,John Gates Jr,180922,Independent Director (Brd) (SD),2006-10-10,2018-08-22,Governor,,
PROSPERITY BANCSHARES INC,25277,Jackson County 100 Club,815513,The Hon. Harrison Stafford II,342764,Independent Director (Brd) (SD),2000-04-01,,Director -  SD,,
PROSPERITY BANCSHARES INC,25277,Lavaca Regional Water Planning Group,815514,The Hon. Harrison Stafford II,342764,Independent Director (Brd) (SD),2000-04-01,,Committee Chairman,,
STERLING BANCSHARES INC (De-listed 07/2011),29207,Commercial State Bank,815515,Harry Brooks,604616,Executive Officer (Non-Brd),2007-08-08,2011-07-28,Chairman/CEO (Brd) (ED),2011-01-01,
STERLING BANCSHARES INC (De-listed 07/2011),29207,Commercial State Bank,815515,James Alexander,880975,Executive Officer (Non-Brd),2008-07-01,2011-07-28,President (Non-Brd),2011-07-01,
METAVANTE TECHNOLOGIES INC (De-listed 10/2009),1012709,Prime Associates Inc,815516,Norrie Daroga,605093,Executive VP - Business Development (Non-Brd),2008-03-13,2009-10-01,Senior VP/Secretary/Treasurer (Non-Brd),,2009-10-01
HISTOGENICS CORP,2173149,Academy of Surgical Research,815517,Nance Moran,2018151,Senior Director (Non-Brd),2016-10-01,,Director -  SD,,
Corsair Capital LLC,742048,International Business Leaders Advisory Council,815518,Walter Kielholz,15868,Advisory Board Member (Non-Brd),,,Council Member,,
PROCTER & GAMBLE CO,25150,International Business Leaders Advisory Council,815518,Bob McDonald,32693,Advisor (Non-Brd),2013-05-23,2013-06-30,Member,,
PROCTER & GAMBLE CO,25150,International Business Leaders Advisory Council,815518,Bob McDonald,32693,Chairman/President/CEO (Brd) (ED),2010-01-01,2013-05-23,Member,,
XEROX HOLDINGS CORP (Xerox Corp prior to 08/2019),33850,International Business Leaders Advisory Council,815518,Bob McDonald,32693,Independent Director (Brd) (SD),2005-05-19,2014-07-29,Member,,
UNITED STATES STEEL CORP,77289,International Business Leaders Advisory Council,815518,Bob McDonald,32693,Independent Director (Brd) (SD),2014-01-01,2014-07-20,Member,,
RallyPoint Networks Inc,1988010,International Business Leaders Advisory Council,815518,Bob McDonald,32693,Director -  SD (Brd) (SD),,,Member,,
QUOTIENT TECHNOLOGY INC (Coupons.com Inc prior to 10/2015),2052559,International Business Leaders Advisory Council,815518,Bob McDonald,32693,Independent Director (Brd) (SD),2018-11-19,,Member,,
RallyPoint Networks Inc,1988010,International Business Leaders Advisory Council,815518,Bob McDonald,32693,Chairman (Brd) (SD),2017-11-01,,Member,,
BritishAmerican Business Inc (BAB),66012,International Business Leaders Advisory Council,815518,Douglas Flint,3573,Advisory Board Member,,,Member,,
Baker & McKenzie LLP (Baker McKenzie),732656,International Business Leaders Advisory Council,815518,John Conroy Jr,1643157,Partner (Non-Brd),1987-01-01,1998-01-01,Member,,
Baker & McKenzie LLP (Baker McKenzie),732656,International Business Leaders Advisory Council,815518,John Conroy Jr,1643157,Principal (Non-Brd),2017-01-01,,Member,,
Baker & McKenzie LLP (Baker McKenzie),732656,International Business Leaders Advisory Council,815518,John Conroy Jr,1643157,Partner (Non-Brd),2010-01-01,2017-01-01,Member,,
MANPOWERGROUP INC (Manpower Inc prior to 03/2011),19589,International Business Leaders Advisory Council,815518,Bill Downe,331331,Lead Independent Director (Brd) (SD),2017-05-03,,Member,,
LOBLAW COMPANIES LTD,35930,International Business Leaders Advisory Council,815518,Bill Downe,331331,Independent Director (Brd) (SD),2018-05-03,2019-05-02,Member,,
BANK OF MONTREAL (BMO) (BMO Financial Group),4518,International Business Leaders Advisory Council,815518,Bill Downe,331331,Advisor (Non-Brd),2017-11-01,,Member,,
MANPOWERGROUP INC (Manpower Inc prior to 03/2011),19589,International Business Leaders Advisory Council,815518,Bill Downe,331331,Independent Director (Brd) (SD),2011-05-03,2017-05-03,Member,,
LOBLAW COMPANIES LTD,35930,International Business Leaders Advisory Council,815518,Bill Downe,331331,Lead Independent Corporate Director (Brd) (SD),2019-05-02,,Member,,
BANK OF MONTREAL (BMO) (BMO Financial Group),4518,International Business Leaders Advisory Council,815518,Bill Downe,331331,CEO (Brd) (ED),2013-01-01,2017-10-31,Member,,
BANK OF MONTREAL (BMO) (BMO Financial Group),4518,International Business Leaders Advisory Council,815518,Bill Downe,331331,President/CEO (Brd) (ED),2007-03-01,2013-01-01,Member,,
BioFlorida Inc,735121,Southeastern Universities Research Association (SURA),815521,Doctor Andres Gil,1684790,Director -  SD (Brd) (SD),,,Trustee,,
AFLAC INC,1017,Southeastern Universities Research Association (SURA),815521,Doctor Chuck Knapp,44736,Independent Director (Brd) (SD),1990-01-01,2018-05-07,Chairman,,
MITRE Corp (The),80737,Boston Surgical Society,815523,Doctor Jay Schnitzer,603248,Director -  Non-Brd (Non-Brd),,,Member,,
MITRE Corp (The),80737,Boston Surgical Society,815523,Doctor Jay Schnitzer,603248,Portfolio Director (Non-Brd),2013-04-01,2014-01-01,Member,,
MITRE Corp (The),80737,Boston Surgical Society,815523,Doctor Jay Schnitzer,603248,VP/Chief Technology Officer (Non-Brd),2016-04-01,,Member,,
MARSHALL & ILSLEY CORP (De-listed 07/2011),1012788,BMO Harris Equipment Finance Co (Formerly known as Marshall & Ilsley Equipment Finance Co),815524,Mark Hogan,54777,Advisor (Non-Brd),2010-12-31,2011-07-05,Director -  SD (Brd) (SD),,
MARSHALL & ILSLEY CORP (De-listed 07/2011),1012788,BMO Harris Equipment Finance Co (Formerly known as Marshall & Ilsley Equipment Finance Co),815524,Mark Hogan,54777,Senior VP/Chief Credit Officer (Non-Brd),2007-11-02,2010-12-31,Director -  SD (Brd) (SD),,
KFORCE INC (Kforce.com prior to 05/2001),17879,BMO Harris Equipment Finance Co (Formerly known as Marshall & Ilsley Equipment Finance Co),815524,Mark Furlong,54757,Independent Director (Brd) (SD),2001-07-01,,Director -  SD (Brd) (SD),,
MARSHALL & ILSLEY CORP (De-listed 07/2011),1012788,BMO Harris Equipment Finance Co (Formerly known as Marshall & Ilsley Equipment Finance Co),815524,Mark Furlong,54757,Chairman/President/CEO (Brd) (ED),2010-10-20,2011-07-05,Director -  SD (Brd) (SD),,
MARSHALL & ILSLEY CORP (De-listed 07/2011),1012788,BMO Harris Equipment Finance Co (Formerly known as Marshall & Ilsley Equipment Finance Co),815524,Mark Furlong,54757,President/CEO (Brd) (ED),2007-11-02,2010-10-20,Director -  SD (Brd) (SD),,
MERCK & CO INC (De-listed 11/2009),20287,Aesculapian Club Inc,815525,Tom Stossel,1254933,Advisory Board Member (Non-Brd),2006-01-01,2007-01-01,Member,,
DYAX CORP (De-listed 01/2016),9789,Aesculapian Club Inc,815525,Tom Stossel,1254933,Advisor (Non-Brd),1991-01-01,2001-01-01,Member,,
RENNOVA HEALTH INC (CollabRx Inc prior to 11/2015) (De-listed 10/2017),30194,Aesculapian Club Inc,815525,Tom Stossel,1254933,Advisory Board Member (Non-Brd),2010-01-01,2015-11-02,Member,,
CYTOSORBENTS CORPORATION,2201375,Surgical Biology Club I,815527,Professor Doctor Robert Bartlett,835213,Chief Medical Officer (Non-Brd),2014-12-23,2017-06-01,Member,,
CYTOSORBENTS CORPORATION,2201375,Surgical Biology Club I,815527,Professor Doctor Robert Bartlett,835213,Advisory Co-Chairman (Non-Brd),2017-06-01,2017-01-01,Member,,
MITRE Corp (The),80737,Surgical Biology Club I,815527,Doctor Jay Schnitzer,603248,Director -  Non-Brd (Non-Brd),,,Member,,
MITRE Corp (The),80737,Surgical Biology Club I,815527,Doctor Jay Schnitzer,603248,Portfolio Director (Non-Brd),2013-04-01,2014-01-01,Member,,
MITRE Corp (The),80737,Surgical Biology Club I,815527,Doctor Jay Schnitzer,603248,VP/Chief Technology Officer (Non-Brd),2016-04-01,,Member,,
GENERAL MOTORS CORP (GM) (De-listed 06/2009),13005,Surgical Biology Club I,815527,Doctor Murray Brennan,555781,Committee Member,,,Member,,
NEXTGEN HEALTHCARE INC (Quality Systems Inc prior to 09/2018),25539,Surgical Biology Club I,815527,Doctor Murray Brennan,555781,Independent Director (Brd) (SD),2008-09-04,2012-08-16,Member,,
ZIOPHARM ONCOLOGY INC,735327,Surgical Biology Club I,815527,Doctor Murray Brennan,555781,Lead Independent Director (Brd) (SD),2010-03-31,2018-08-08,Member,,
ZIOPHARM ONCOLOGY INC,735327,Surgical Biology Club I,815527,Doctor Murray Brennan,555781,Lead Independent Director (Brd) (SD),2005-09-14,2010-03-31,Member,,
KITE PHARMA INC (De-listed 10/2017),2078727,Surgical Biology Club I,815527,Doctor James Economou,1646281,Advisory Board Member (Non-Brd),2014-06-20,2017-10-03,Member,,
APCO Worldwide LLC (APCO Worldwide Inc prior to 2017),82422,ArcelorMittal Brasil SA (Arcelor Brasil SA prior to 09/2007),815549,Ambassador Andrs Rozental,481728,Advisory Council Member (Non-Brd),2013-03-01,,Independent Director (Brd) (SD),,
Advent International Corp,246927,ArcelorMittal Brasil SA (Arcelor Brasil SA prior to 09/2007),815549,Ambassador Andrs Rozental,481728,Operating Partner (Non-Brd),,2012-12-01,Independent Director (Brd) (SD),,
