from_company,from_company_id,to_company,to_company_id,name,name_id,role_in_from_company,role_in_from_company_start_date,role_in_from_company_end_date,role_in_to_company,role_in_to_company_start_date,role_in_to_company_end_date
CAMBIUM LEARNING GROUP INC (De-listed 12/2018),1611856,Alsop Louie Partners LLC,1047340,Tom Kalinske,3708,Independent Director (Brd) (SD),2010-02-26,2012-09-27,Venture Partner (Non-Brd),2010-01-01,
CAMBIUM LEARNING GROUP INC (De-listed 12/2018),1611856,Alsop Louie Partners LLC,1047340,Tom Kalinske,3708,Independent Director (Brd) (SD),2013-03-19,2018-12-18,Venture Partner (Non-Brd),2010-01-01,
CAMBIUM LEARNING GROUP INC (De-listed 12/2018),1611856,Alsop Louie Partners LLC,1047340,Tom Kalinske,3708,Independent Chairman (Brd) (SD),2012-09-27,2013-03-19,Venture Partner (Non-Brd),2010-01-01,
Gazillion Inc (NR2B Research Inc prior to 03/2009),2651828,Alsop Louie Partners LLC,1047340,Tom Kalinske,3708,Chairman (Brd) (SD),2016-07-01,,Venture Partner (Non-Brd),2010-01-01,
SEAGATE TECHNOLOGY PLC (Seagate Technology prior to 07/2010),27411,Alsop Louie Partners LLC,1047340,Bill Coleman III,57956,Independent Director (Brd) (SD),2012-04-26,,Venture Partner (Non-Brd),2016-02-01,
Veritas Technologies LLC,857240,Alsop Louie Partners LLC,1047340,Bill Coleman III,57956,CEO (Brd) (ED),2016-02-01,2018-01-08,Venture Partner (Non-Brd),2016-02-01,
Veritas Technologies LLC,857240,Alsop Louie Partners LLC,1047340,Bill Coleman III,57956,Director -  SD (Brd) (SD),,,Venture Partner (Non-Brd),2016-02-01,
DreamFactory Software Inc,956491,Alsop Louie Partners LLC,1047340,Bill Coleman III,57956,Director -  SD (Brd) (SD),,,Venture Partner (Non-Brd),2016-02-01,
CARLYLE GROUP LP,1816703,Alsop Louie Partners LLC,1047340,Bill Coleman III,57956,Operating Executive (Non-Brd),2018-01-08,,Venture Partner (Non-Brd),2016-02-01,
Virtual Power Systems Inc,2297957,Alsop Louie Partners LLC,1047340,Bill Coleman III,57956,Advisor (Non-Brd),2015-01-01,,Venture Partner (Non-Brd),2016-02-01,
SEAGATE TECHNOLOGY PLC (Seagate Technology prior to 07/2010),27411,Alsop Louie Partners LLC,1047340,Bill Coleman III,57956,Independent Director (Brd) (SD),2012-04-26,,Partner (Brd) (ED),2010-06-01,2016-02-01
SYMANTEC CORP,29774,Alsop Louie Partners LLC,1047340,Bill Coleman III,57956,Independent Director (Brd) (SD),2003-01-01,2011-10-25,Partner (Brd) (ED),2010-06-01,2016-02-01
DreamFactory Software Inc,956491,Alsop Louie Partners LLC,1047340,Bill Coleman III,57956,Director -  SD (Brd) (SD),,,Partner (Brd) (ED),2010-06-01,2016-02-01
Virtual Power Systems Inc,2297957,Alsop Louie Partners LLC,1047340,Bill Coleman III,57956,Advisor (Non-Brd),2015-01-01,,Partner (Brd) (ED),2010-06-01,2016-02-01
CATERPILLAR INC,6052,Hispanic Alliance for Career Enhancement (HACE),1047341,Chris Schena,41666,Vice President (Non-Brd),2002-12-01,2008-01-01,Director -  SD,,
AMAZON.COM INC,1703,Hispanic Alliance for Career Enhancement (HACE),1047341,Michelle Caraballo,1835641,HR Manager (Non-Brd),2017-07-01,2019-03-01,Director -  SD,,
WALMART INC (Wal-Mart Stores Inc prior to 02/2018),33046,Hispanic Alliance for Career Enhancement (HACE),1047341,Michelle Caraballo,1835641,Director - Public Affairs (Non-Brd),2015-02-01,2017-03-01,Director -  SD,,
Daniel J Edelman Holdings Inc,2714421,Hispanic Alliance for Career Enhancement (HACE),1047341,Lilia Arroyo-Flores,1944829,Executive VP (Non-Brd),2016-10-04,,Director -  SD,,
UNITED STATES CELLULAR CORP,32154,Hispanic Alliance for Career Enhancement (HACE),1047341,Maty Kiser,1397033,Vice President - Portfolio Management (Non-Brd),2013-10-01,2018-02-01,Director -  SD,,
KORN FERRY (Korn/Ferry International prior to 01/2019),18139,Hispanic Alliance for Career Enhancement (HACE),1047341,Andrs Tapia,1336249,Senior Client Partner (Non-Brd),2013-09-17,,Advisory Board Member (Non-Brd),2016-08-01,2018-02-01
BANK OF AMERICA CORP,4504,Hispanic Alliance for Career Enhancement (HACE),1047341,Juan Avila,1052797,Division VP (Non-Brd),2009-01-01,2009-09-01,Chairman,,
MERRILL LYNCH & CO INC (De-listed 01/2009),20349,Hispanic Alliance for Career Enhancement (HACE),1047341,Juan Avila,1052797,Vice President (Non-Brd),1990-02-01,2009-01-01,Chairman,,
Mesirow Financial Holdings Inc,1018680,Hispanic Alliance for Career Enhancement (HACE),1047341,Juan Avila,1052797,Division Senior VP (Non-Brd),2009-09-28,2012-12-01,Chairman,,
CATERPILLAR INC,6052,Institute of Physical Medicine and Rehabilitation,1047342,Sid Banwart,41456,Division VP/Chief Information Officer (Non-Brd),2000-01-01,2004-04-01,Director -  SD,,
Weitz Co LLC,482213,Institute of Physical Medicine and Rehabilitation,1047342,Sid Banwart,41456,Independent Director (Brd) (SD),2002-12-01,,Director -  SD,,
ARCONIC INC (Alcoa Inc prior to 11/2016),1319,Tata AG,1047345,Ratan Tata,65042,Independent Director (Brd) (SD),2007-02-16,2017-05-02,Director -  SD (Brd) (SD),,
JPMORGAN CHASE & CO,17528,Tata AG,1047345,Ratan Tata,65042,Council Member (Non-Brd),,,Director -  SD (Brd) (SD),,
MONDELEZ INTERNATIONAL INC (Kraft Foods Inc prior to 10/2012),18164,Tata AG,1047345,Ratan Tata,65042,Independent Director (Brd) (SD),2013-05-21,2015-05-20,Director -  SD (Brd) (SD),,
MONDELEZ INTERNATIONAL INC (Kraft Foods Inc prior to 10/2012),18164,Tata AG,1047345,Ratan Tata,65042,Special Advisor (Non-Brd),2015-05-20,2016-05-01,Director -  SD (Brd) (SD),,
BritishAmerican Business Inc (BAB),66012,Tata AG,1047345,Ratan Tata,65042,Advisory Board Member (Non-Brd),,,Director -  SD (Brd) (SD),,
Plutus Financial Inc (Abra),2622690,Tata AG,1047345,Ratan Tata,65042,Advisor (Non-Brd),,,Director -  SD (Brd) (SD),,
CATERPILLAR INC,6052,Caterpillar (China) Investment Co Ltd,1047348,Jiming Zhu,746846,VP/Regional President (Non-Brd),2009-01-01,2010-12-31,President (Non-Brd),2009-01-01,2010-12-31
CATERPILLAR INC,6052,Caterpillar (China) Investment Co Ltd,1047348,Harold Kahler,1122526,MD (Non-Brd),1990-01-01,2002-01-01,President (Non-Brd),,2002-01-01
CATERPILLAR INC,6052,Caterpillar (China) Investment Co Ltd,1047348,Rich Lavin,41626,Division Group President (Non-Brd),2007-12-01,2012-12-31,Chairman (Brd) (SD),,2011-01-01
USG CORP (De-listed 04/2019),32039,Caterpillar (China) Investment Co Ltd,1047348,Rich Lavin,41626,Independent Director (Brd) (SD),2009-11-11,2019-04-24,Chairman (Brd) (SD),,2011-01-01
GENON ENERGY INC (RRI Energy Inc prior to 11/2010) (De-listed 12/2012),26011,PLANET INC,1047354,Matt Benner,544514,Senior VP - Ops (Non-Brd),2006-07-17,2010-01-01,Vice President - Mktg (Non-Brd),2010-06-01,2010-11-01
