from_company,from_company_id,to_company,to_company_id,name,name_id,role_in_from_company,role_in_from_company_start_date,role_in_from_company_end_date,role_in_to_company,role_in_to_company_start_date,role_in_to_company_end_date
Zoom Video Communications Inc (Listed 04/2019),1920890,Docusign Inc (Listed 04/2018),1245605,Jerry Yang,32847,Advisor (Non-Brd),,2019-04-18,Advisory Board Member (Non-Brd),2016-02-12,2018-04-27
Pluribus Networks Inc,2006445,Docusign Inc (Listed 04/2018),1245605,Jerry Yang,32847,Director -  SD (Brd) (SD),,,Advisory Board Member (Non-Brd),2016-02-12,2018-04-27
Radius Intelligence Inc (Fwix Inc prior to 04/2012),2022782,Docusign Inc (Listed 04/2018),1245605,Jerry Yang,32847,Advisor (Non-Brd),2015-01-01,,Advisory Board Member (Non-Brd),2016-02-12,2018-04-27
Zerve Inc,2076471,Docusign Inc,1245605,Jerry Yang,32847,Observer (Non-Brd),2014-01-01,,Advisory Board Member (Non-Brd),2016-02-12,2018-04-27
Illumio Inc,2165394,Docusign Inc (Listed 04/2018),1245605,Jerry Yang,32847,Investor (Non-Brd),,,Advisory Board Member (Non-Brd),2016-02-12,2018-04-27
BirdEye Inc (Bazaarify Inc prior to 2014),2644821,Docusign Inc (Listed 04/2018),1245605,Jerry Yang,32847,Investor (Non-Brd),2016-01-01,,Advisory Board Member (Non-Brd),2016-02-12,2018-04-27
CERNER CORP,6375,Docusign Inc (Listed 04/2018),1245605,The Hon. Mitch Daniels Jr,33305,Lead Independent Director (Brd) (SD),2014-01-01,2019-04-08,Advisory Board Member (Non-Brd),2017-05-03,2018-04-27
NORFOLK SOUTHERN CORP,22412,Docusign Inc (Listed 04/2018),1245605,The Hon. Mitch Daniels Jr,33305,Independent Director (Brd) (SD),2016-11-28,,Advisory Board Member (Non-Brd),2017-05-03,2018-04-27
C3 Inc (C3 IoT Inc) (Formerly known as C3 Energy Inc),1923009,Docusign Inc (Listed 04/2018),1245605,Tom Siebel,61612,Chairman/CEO (Brd) (ED),2009-01-01,,Advisory Board Member (Non-Brd),2016-02-12,2018-04-27
NETAPP INC (Network Appliance Inc prior to 03/2008),21903,Docusign Inc (Listed 04/2018),1245605,Tom Mendoza,59716,Vice Chairman (Non-Brd),2008-01-29,2019-08-01,Advisory Board Member (Non-Brd),2016-02-12,2018-04-27
Arxan Technologies Inc,824423,Docusign Inc (Listed 04/2018),1245605,Tom Mendoza,59716,Director -  SD (Brd) (SD),,,Advisory Board Member (Non-Brd),2016-02-12,2018-04-27
SERVICESOURCE INTERNATIONAL INC,1695152,Docusign Inc (Listed 04/2018),1245605,Tom Mendoza,59716,Independent Director (Brd) (SD),2011-03-25,,Advisory Board Member (Non-Brd),2016-02-12,2018-04-27
Brightwood Capital Advisors LLC,1712334,Docusign Inc (Listed 04/2018),1245605,Tom Mendoza,59716,Advisor (Non-Brd),,,Advisory Board Member (Non-Brd),2016-02-12,2018-04-27
VARONIS SYSTEMS INC,2049859,Docusign Inc (Listed 04/2018),1245605,Tom Mendoza,59716,Independent Director (Brd) (SD),2015-06-01,,Advisory Board Member (Non-Brd),2016-02-12,2018-04-27
Cooley LLP,935873,CSU Ventures Inc,1245653,Doctor Bill Christiansen II,1613627,Partner (Non-Brd),2011-08-01,,Director -  SD (Brd) (SD),,
SecurityScorecard Inc,2146612,Docusign Inc (Listed 04/2018),1245605,Tom Mendoza,59716,Director -  SD (Brd) (SD),,,Advisory Board Member (Non-Brd),2016-02-12,2018-04-27
FinancialForce.com Inc (Formerly known as Hulaco Inc),1637939,Docusign Inc (Listed 04/2018),1245605,Tod Nielsen,58161,President/CEO (Brd) (ED),2017-01-06,,Advisory Board Member (Non-Brd),2017-01-01,2018-04-27
CYRUSONE INC,1925418,Docusign Inc (Listed 04/2018),1245605,Tod Nielsen,58161,Independent Director (Brd) (SD),2013-01-18,,Advisory Board Member (Non-Brd),2017-01-01,2018-04-27
AOptix Technologies Inc (Zyoptics Inc prior to 09/2000),638147,Docusign Inc (Listed 04/2018),1245605,The Hon. Dan Goldin,53916,Director -  SD (Brd) (SD),,,Advisory Board Member (Non-Brd),,2018-04-27
ORACLE CORP (Oracle Systems Corp prior to 02/1995),23295,Docusign Inc (Listed 04/2018),1245605,Bruce Chizen,49341,Independent Director (Brd) (SD),2016-01-01,,Advisory Board Member (Non-Brd),2016-02-12,2018-04-27
ORACLE CORP (Oracle Systems Corp prior to 02/1995),23295,Docusign Inc (Listed 04/2018),1245605,Bruce Chizen,49341,Independent Director (Brd) (SD),2008-07-24,2015-01-01,Advisory Board Member (Non-Brd),2016-02-12,2018-04-27
ORACLE CORP (Oracle Systems Corp prior to 02/1995),23295,Docusign Inc (Listed 04/2018),1245605,Bruce Chizen,49341,Lead Independent Director (Brd) (SD),2015-01-01,2016-01-01,Advisory Board Member (Non-Brd),2016-02-12,2018-04-27
