from_company,from_company_id,to_company,to_company_id,name,name_id,role_in_from_company,role_in_from_company_start_date,role_in_from_company_end_date,role_in_to_company,role_in_to_company_start_date,role_in_to_company_end_date
Wind Point Partners,80602,Interface Performance Materials Inc (Formerly known as Interface Solutions Inc),1827403,Nathan Brown,1487287,MD (Brd) (ED),2004-01-01,,Director -  SD (Brd) (SD),,
Wind Point Partners,80602,Interface Performance Materials Inc (Formerly known as Interface Solutions Inc),1827403,Michael Nelson,1308946,MD (Brd) (ED),2007-01-01,2013-01-01,Director -  SD (Brd) (SD),,
Pritzker Group Private Capital,2179803,Interface Performance Materials Inc (Formerly known as Interface Solutions Inc),1827403,Michael Nelson,1308946,Investment Partner (Non-Brd),2013-01-09,,Director -  SD (Brd) (SD),,
Court Square Capital Partners LP,1210467,International Airmotive Holding Co Inc,1827404,John Weber,1279266,Various Positions (Non-Brd),1987-01-01,1990-01-01,Director -  SD (Brd) (SD),,
Court Square Capital Partners LP,1210467,International Airmotive Holding Co Inc,1827404,John Weber,1279266,Various Positions (Non-Brd),1994-01-01,2006-09-01,Director -  SD (Brd) (SD),,
Advantagene Inc,931359,Avalanche Biotechnologies Inc (Listed 07/2014),1827405,Doctor C Aguilar-Cordova,1270520,Chairman/CEO (Brd) (ED),2002-01-01,,Advisory Board Member (Non-Brd),2011-09-01,2014-07-31
TIME WARNER INC (AOL Time Warner Inc prior to 10/2003) (De-listed 06/2018),2296,Avalanche Biotechnologies Inc (Listed 07/2014),1827405,Paul Wachter,1091337,Independent Director (Brd) (SD),2010-10-28,2018-06-14,Independent Director (Brd) (SD),2014-04-01,2014-07-31
ViaCyte Inc (Novocell Inc prior to 05/2010),480065,Avalanche Biotechnologies Inc (Listed 07/2014),1827405,Doctor Mitch Finer,1248597,Senior VP - Development (Non-Brd),2008-11-01,2010-03-12,Advisory Board Member (Non-Brd),2006-01-01,2014-07-31
Bluebird Bio Inc (Genetix Pharmaceuticals Inc prior to 09/2010) (Listed 06/2013),634393,Avalanche Biotechnologies Inc (Listed 07/2014),1827405,Doctor Mitch Finer,1248597,Chief Scientific Officer (Non-Brd),2010-03-12,2013-06-19,Advisory Board Member (Non-Brd),2006-01-01,2014-07-31
Advantagene Inc,931359,Avalanche Biotechnologies Inc (Listed 07/2014),1827405,Doctor Mitch Finer,1248597,Director -  SD (Brd) (SD),,,Advisory Board Member (Non-Brd),2006-01-01,2014-07-31
BLUEBIRD BIO INC,1959389,Avalanche Biotechnologies Inc (Listed 07/2014),1827405,Doctor Mitch Finer,1248597,Chief Scientific Officer (Non-Brd),2013-06-19,2015-07-06,Advisory Board Member (Non-Brd),2006-01-01,2014-07-31
Verana Health Inc (DigiSight Technologies Inc prior to 07/2018),1905771,Avalanche Biotechnologies Inc (Listed 07/2014),1827405,Doctor Mark Blumenkranz,102892,Director -  SD (Brd) (SD),,,Independent Director (Brd) (SD),2006-07-01,2014-07-31
PDL BIOPHARMA INC (Protein Design Labs Inc prior to 01/2006),25288,Avalanche Biotechnologies Inc (Listed 07/2014),1827405,John McLaughlin,338388,President/CEO (Brd) (ED),2013-05-13,2017-09-11,Independent Director (Brd) (SD),2014-02-01,2014-07-31
PDL BIOPHARMA INC (Protein Design Labs Inc prior to 01/2006),25288,Avalanche Biotechnologies Inc (Listed 07/2014),1827405,John McLaughlin,338388,President/CEO (Brd) (ED),2012-06-11,2012-12-06,Independent Director (Brd) (SD),2014-02-01,2014-07-31
PDL BIOPHARMA INC (Protein Design Labs Inc prior to 01/2006),25288,Avalanche Biotechnologies Inc (Listed 07/2014),1827405,John McLaughlin,338388,President/CEO (Brd) (ED),2008-12-18,2012-02-14,Independent Director (Brd) (SD),2014-02-01,2014-07-31
SEATTLE GENETICS INC,27435,Avalanche Biotechnologies Inc (Listed 07/2014),1827405,John McLaughlin,338388,Independent Director (Brd) (SD),2007-06-13,2016-12-16,Independent Director (Brd) (SD),2014-02-01,2014-07-31
AXOGEN INC,1971670,Avalanche Biotechnologies Inc (Listed 07/2014),1827405,John McLaughlin,338388,Director -  SD (Brd) (SD),,,Independent Director (Brd) (SD),2014-02-01,2014-07-31
Iconic Therapeutics Inc,1588993,Avalanche Biotechnologies Inc (Listed 07/2014),1827405,Doctor Judy Gordon,1451280,Advisor (Non-Brd),,2015-01-01,Consultant (Non-Brd),2010-10-01,2014-07-31
Graybug Vision Inc (GrayBug Inc prior to 06/2016),1896270,Avalanche Biotechnologies Inc (Listed 07/2014),1827405,Doctor Judy Gordon,1451280,Advisor (Non-Brd),,2015-01-01,Consultant (Non-Brd),2010-10-01,2014-07-31
Forsight Vision5 Inc,1959047,Avalanche Biotechnologies Inc (Listed 07/2014),1827405,Doctor Judy Gordon,1451280,Advisor (Non-Brd),,,Consultant (Non-Brd),2010-10-01,2014-07-31
Iconic Therapeutics Inc,1588993,Avalanche Biotechnologies Inc (Listed 07/2014),1827405,Doctor Steven Schwartz,1451169,Advisor (Non-Brd),,2015-01-01,Independent Director (Brd) (SD),2010-09-01,2014-07-31
GENENTECH INC (De-listed 03/2009),13028,Avalanche Biotechnologies Inc (Listed 07/2014),1827405,Doctor Thomas Chalberg Jr,1451161,Various Positions (Non-Brd),2005-12-01,2009-01-01,Director -  SD (Brd) (SD),,
GOODYEAR TIRE & RUBBER CO,13610,Goodyear Lastikleri TAS,1827407,Jarro Kaplan,220630,Marketing Director (Non-Brd),1995-01-01,1999-01-01,MD (Brd) (ED),1993-01-01,1996-01-01
GOODYEAR TIRE & RUBBER CO,13610,Goodyear Lastikleri TAS,1827407,Jarro Kaplan,220630,Employee (Non-Brd),1969-01-01,1995-01-01,MD (Brd) (ED),1993-01-01,1996-01-01
CLAIRVEST GROUP INC,133511,Fengate Capital Management Ltd,1827412,Heather Crawford,734388,General Counsel/Corporate Secretary (Non-Brd),2009-07-24,2014-10-01,General Counsel/Chief Compliance Officer (Non-Brd),2014-10-01,
