from_company,from_company_id,to_company,to_company_id,name,name_id,role_in_from_company,role_in_from_company_start_date,role_in_from_company_end_date,role_in_to_company,role_in_to_company_start_date,role_in_to_company_end_date
INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,Lehigh University,61143,Lori Southworth,853326,Market Manager (Non-Brd),2004-05-01,2009-02-01,Senior VP,,
TCW Group Inc (Formerly known as The Trust Company of the West),78417,Lehigh University,61143,Kevin Clayton,853003,Senior VP (Non-Brd),1994-01-01,1995-01-01,Trustee,,
OAKTREE CAPITAL GROUP LLC,1812353,Lehigh University,61143,Kevin Clayton,853003,Principal (Brd) (ED),2012-04-12,2014-07-31,Vice Chairman,,
BEARINGPOINT INC (KPMG Consulting Inc prior to 10/2002) (De-listed 11/2008),78702,Lehigh University,61143,Alicia Harkness,852947,VP/MD (Non-Brd),1999-01-01,2007-01-01,Trustee,,
INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,Lehigh University,61143,Lori Southworth,853326,Program Manager (Non-Brd),1998-10-01,2003-03-01,Director -  SD,,
AECOM (AECOM Technology Corp prior to 01/2015),114467,Lehigh University,61143,Andrew Fiala,853064,VP/Director - HR (Non-Brd),2007-12-01,2012-06-01,President,,
Fried Frank Harris Shriver & Jacobson LLP,48048,Lehigh University,61143,Brad Scheler,853008,Senior Partner (Non-Brd),1984-01-01,,Chairman,,
TCW Group Inc (Formerly known as The Trust Company of the West),78417,Lehigh University,61143,Kevin Clayton,853003,Various Positions (Non-Brd),1990-01-01,1994-01-01,Trustee,,
Fried Frank Harris Shriver & Jacobson LLP,48048,Lehigh University,61143,Brad Scheler,853008,Senior Partner (Non-Brd),1984-01-01,,Trustee,,
Oaktree Capital Management LP (Oaktree Capital Management LLC prior to 05/2007),460092,Lehigh University,61143,Kevin Clayton,853003,Principal (Brd) (ED),2007-05-01,2014-07-31,Vice Chairman,,
GENERAL ELECTRIC CO,12986,Lehigh University,61143,Deborah Zajac,852946,Various Positions (Non-Brd),2003-01-01,2013-01-01,Advisory Council Member,,
ENVISION HEALTHCARE HOLDINGS INC (De-listed 12/2016),1972762,Lehigh University,61143,Mark Mactas,852623,Independent Director (Brd) (SD),2013-11-11,2016-12-01,Trustee,,
TOWERS WATSON & CO (De-listed 01/2016),1616214,Lehigh University,61143,Mark Mactas,852623,President/Deputy Chairman/COO (Brd) (ED),2010-01-04,2011-10-03,Trustee,,
GENERAL ELECTRIC CO,12986,Lehigh University,61143,Deborah Zajac,852946,Division VP - Business Development (Non-Brd),2013-01-01,2016-01-01,Advisory Council Member,,
Oaktree Capital Management LP (Oaktree Capital Management LLC prior to 05/2007),460092,Lehigh University,61143,Kevin Clayton,853003,Various Positions (Non-Brd),1995-01-01,2007-05-01,Trustee,,
AIR PRODUCTS & CHEMICALS INC,1173,Lehigh University,61143,Douglas Timmel,835831,Sales Manager (Non-Brd),1986-01-01,2007-01-01,Lecturer (Non-Brd),2005-01-01,2006-01-01
Energy Capital Partners LLC,1215564,Lehigh University,61143,Kevin Clayton,853003,Partner (Brd) (ED),2018-05-01,,Chairman,,
Makena Capital Management LLC,925261,Lehigh University,61143,Kevin Clayton,853003,Vice Chairman/MD (Brd) (ED),2015-09-16,2016-01-01,Vice Chairman,,
Envision Healthcare Corp (Emergency Medical Services Corp prior to 06/2013) (Ceased Trading 12/2016),1703891,Lehigh University,61143,Mark Mactas,852623,Independent Director (Brd) (SD),2013-11-11,2016-12-01,Trustee,,
Accolade Inc (Formerly known as Accolade LLC),574409,Lehigh University,61143,Mark Mactas,852623,Director -  SD (Brd) (SD),,,Trustee,,
Oaktree Capital Management LP (Oaktree Capital Management LLC prior to 05/2007),460092,Lehigh University,61143,Kevin Clayton,853003,Principal (Brd) (ED),2007-05-01,2014-07-31,Trustee,,
Techstars Central LLC (Formerly known as TechStars LLC),1104580,Lehigh University,61143,Deborah Zajac,852946,Mentor,,,Advisory Council Member,,
AECOM (AECOM Technology Corp prior to 01/2015),114467,Lehigh University,61143,Andrew Fiala,853064,VP/Director - HR (Non-Brd),2007-12-01,2012-06-01,Trustee,,
Economic Club of New York (The) (ECNY),36418,Lehigh University,61143,Maria Kattan-Chrin,852993,Member,,,Trustee,,
HarbourVest Partners LLC (Formerly known as Hancock Venture Partners Inc),94322,Lehigh University,61143,David Zug,998219,Senior MD (Brd) (ED),1982-01-01,2018-03-01,Trustee,,
HarbourVest Partners LLC (Formerly known as Hancock Venture Partners Inc),94322,Lehigh University,61143,David Zug,998219,Senior MD Emeritus (Non-Brd),2018-03-01,,Member,,
HarbourVest Partners LLC (Formerly known as Hancock Venture Partners Inc),94322,Lehigh University,61143,David Zug,998219,Senior MD (Brd) (ED),1982-01-01,2018-03-01,Member,,
AIR PRODUCTS & CHEMICALS INC,1173,Lehigh University,61143,Alex Masetti,1048216,,,,,,
AIR PRODUCTS & CHEMICALS INC,1173,Lehigh University,61143,Doctor Jeff Kramer,1057317,,,,,,
AIR PRODUCTS & CHEMICALS INC,1173,Lehigh University,61143,Bruce Hargus,1057312,,,,,,
ASTORIA FINANCIAL CORP (De-listed 10/2017),2849,Lehigh University,61143,John Chrin,1055129,Independent Director (Brd) (SD),2009-12-16,2017-10-02,Fellow (Non-Brd),2009-08-01,2011-12-01
Gymboree Group Inc (Gymboree Corp prior to 09/2017) (Ceased Trading 04/2019),1673832,Lehigh University,61143,Jordan Hitch,748076,Director -  SD (Brd) (SD),,,Chief Investment Officer (Non-Brd),2015-10-01,2016-04-01
Burlington Coat Factory Warehouse Corp,1075242,Lehigh University,61143,Jordan Hitch,748076,Director -  SD (Brd) (SD),,,Trustee,,
Bain Capital LP,46283,Lehigh University,61143,Jordan Hitch,748076,Senior Advisor (Non-Brd),2015-01-01,2017-01-01,Chief Investment Officer (Non-Brd),2015-10-01,2016-04-01
BRIGHT HORIZONS FAMILY SOLUTIONS INC,1927870,Lehigh University,61143,Jordan Hitch,748076,Independent Director (Brd) (SD),2013-01-25,,Trustee,,
IMS HEALTH INC (De-listed 02/2010),15733,Lehigh University,61143,Sal Buscema,752412,,,,,,
BURLINGTON STORES INC,1990085,Lehigh University,61143,Jordan Hitch,748076,Director -  SD (Brd) (SD),,,Trustee,,
Gymboree Group Inc (Gymboree Corp prior to 09/2017) (Ceased Trading 04/2019),1673832,Lehigh University,61143,Jordan Hitch,748076,Director -  SD (Brd) (SD),,,Trustee,,
BURLINGTON STORES INC,1990085,Lehigh University,61143,Jordan Hitch,748076,Independent Director (Brd) (SD),2015-05-01,,Trustee,,
Bain Capital LP,46283,Lehigh University,61143,Jordan Hitch,748076,Senior Advisor (Non-Brd),2015-01-01,2017-01-01,Trustee,,
Burlington Coat Factory Warehouse Corp,1075242,Lehigh University,61143,Jordan Hitch,748076,Director -  SD (Brd) (SD),,,Chief Investment Officer (Non-Brd),2015-10-01,2016-04-01
BURLINGTON STORES INC,1990085,Lehigh University,61143,Jordan Hitch,748076,Independent Director (Brd) (SD),2015-05-01,,Chief Investment Officer (Non-Brd),2015-10-01,2016-04-01
BRIGHT HORIZONS FAMILY SOLUTIONS INC,1927870,Lehigh University,61143,Jordan Hitch,748076,Independent Director (Brd) (SD),2013-01-25,,Chief Investment Officer (Non-Brd),2015-10-01,2016-04-01
MOTOROLA SOLUTIONS INC (Motorola Inc prior to 01/2011),21174,Lehigh University,61143,George Helm,745973,,,,,,
Rapid Micro Biosystems Inc (Formerly known as Genomic Profiling Systems Inc),1654988,Lehigh University,61143,Rich Kollender,767268,Director -  SD (Brd) (SD),,,Faculty Member (Non-Brd),,
Tarsa Therapeutics Inc,1587586,Lehigh University,61143,Rich Kollender,767268,Director -  SD (Brd) (SD),,,Faculty Member (Non-Brd),,
NUPATHE INC (De-listed 02/2014),1656521,Lehigh University,61143,Rich Kollender,767268,Independent Director (Brd) (SD),2010-08-06,2011-06-08,Faculty Member (Non-Brd),,
Philadelphia Alliance for Capital and Technologies (PACT),1662473,Lehigh University,61143,Rich Kollender,767268,Director -  SD (Brd) (SD),,,Faculty Member (Non-Brd),,
NUPATHE INC (De-listed 02/2014),1656521,Lehigh University,61143,Rich Kollender,767268,Independent Director (Brd) (SD),2012-10-23,2014-02-21,Faculty Member (Non-Brd),,
CELATOR PHARMACEUTICALS INC (De-listed 07/2016),2007945,Lehigh University,61143,Rich Kollender,767268,Independent Director (Brd) (SD),2013-11-11,2016-07-12,Faculty Member (Non-Brd),,
INSMED INC,16157,Lehigh University,61143,Rich Kollender,767268,Independent Director (Brd) (SD),2011-01-12,2013-10-31,Faculty Member (Non-Brd),,
STRONGBRIDGE BIOPHARMA PLC,2520893,Lehigh University,61143,Rich Kollender,767268,Independent Director (Brd) (SD),2015-10-16,2019-09-03,Faculty Member (Non-Brd),,
Rapid Micro Biosystems Inc (Formerly known as Genomic Profiling Systems Inc),1654988,Lehigh University,61143,Rich Kollender,767268,CFO/Chief Business Officer (Non-Brd),2016-09-19,2018-10-30,Faculty Member (Non-Brd),,
Rapid Micro Biosystems Inc (Formerly known as Genomic Profiling Systems Inc),1654988,Lehigh University,61143,Rich Kollender,767268,Chairman (Brd) (SD),2014-01-01,2016-09-19,Faculty Member (Non-Brd),,
Rapid Micro Biosystems Inc (Formerly known as Genomic Profiling Systems Inc),1654988,Lehigh University,61143,Rich Kollender,767268,Interim Chairman (Brd) (ED),2014-02-01,2014-01-01,Faculty Member (Non-Brd),,
INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,Lehigh University,61143,Ernie Dianastasis,776796,,,,,,
CERUS CORP,6389,Lehigh University,61143,Doctor John Hearst,647287,,,,,,
FORD MOTOR CO,12262,Lehigh University,61143,Ron Krisanda,744007,,,,,,
AIR PRODUCTS & CHEMICALS INC,1173,Lehigh University,61143,Jerry Ermentrout,623447,,,,,,
BARNES GROUP INC,3594,Lehigh University,61143,Dan Sebastian,626234,,,,,,
HARMAN INTERNATIONAL INDUSTRIES INC (De-listed 03/2017),14342,Lehigh University,61143,David Karch,620929,,,,,,
EQUITY RESIDENTIAL (Equity Residential Properties Trust prior to 10/2002),10928,Lehigh University,61143,Ari Klein,627335,,,,,,
ELECTRONIC ARTS INC,10364,Lehigh University,61143,Colin Mistele,1090539,,,,,,
CORNING INC,7915,Lehigh University,61143,Doctor Gary Calabrese,1093945,Senior VP - New Business Development (Non-Brd),2011-01-01,2012-01-01,Advisory Board Member,,
Catalent Pharma Solutions Inc,947097,Lehigh University,61143,Scott Neilson,1094529,Division VP - Ops (Non-Brd),2010-01-01,2012-06-01,Member,,
AIR PRODUCTS & CHEMICALS INC,1173,Lehigh University,61143,Tom Mutchler,1095174,,,,,,
CORNING INC,7915,Lehigh University,61143,Doctor Gary Calabrese,1093945,Senior VP - Research (Non-Brd),2012-01-01,,Advisory Board Member,,
EXXON MOBIL CORP,11430,Lehigh University,61143,Doctor Rob Randelman,1121513,,,,,,
ROHM AND HAAS CO (De-listed 04/2009),26500,Lehigh University,61143,Michael Kijesky,1112791,,,,,,
LUCENT TECHNOLOGIES INC (De-listed 11/2006),19249,Lehigh University,61143,Doctor Hyun Lee,1122627,,,,,,
AIR PRODUCTS & CHEMICALS INC,1173,Lehigh University,61143,Michael Kijesky,1112791,,,,,,
INGERSOLL-RAND PLC (Ingersoll Rand Co prior to 07/2009),16041,Lehigh University,61143,Paul Camuti,1124346,Senior VP/Chief Technology Officer (Non-Brd),2011-08-01,,Advisory Council Member,,
ARBITRON INC (De-listed 09/2013),2469,Lehigh University,61143,Matt Lapovsky,1250804,,,,,,
AIR PRODUCTS & CHEMICALS INC,1173,Lehigh University,61143,David Carroll,1206861,,,,,,
LUCENT TECHNOLOGIES INC (De-listed 11/2006),19249,Lehigh University,61143,Kevin Chynoweth,1206553,,,,,,
NUTRI SYSTEM INC (De-listed 03/2019),22730,Lehigh University,61143,David Burton Jr,1199777,Senior VP/Chief Supply Chain Officer (Non-Brd),2008-06-01,2013-02-01,Member,,
NUTRI SYSTEM INC (De-listed 03/2019),22730,Lehigh University,61143,David Burton Jr,1199777,Executive VP - Ops (Non-Brd),2017-01-01,2019-03-08,Member,,
INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,Lehigh University,61143,Bill Cintani,1203619,,,,,,
