from_company,from_company_id,to_company,to_company_id,name,name_id,role_in_from_company,role_in_from_company_start_date,role_in_from_company_end_date,role_in_to_company,role_in_to_company_start_date,role_in_to_company_end_date
Business and Industry Association of New Hampshire (NHBIA),130857,Daniel Webster Council of the Boy Scouts of America,2633813,Jeff McIver,1873645,Director -  ED (Brd) (ED),,,Director -  SD,,
American Bankers Association (ABA),79015,Daniel Webster Council of the Boy Scouts of America,2633813,Steve Christy,1287260,Director -  SD (Brd) (SD),,,Director -  ED,,
CAPITAL PROPERTIES INC (De-listed 12/2008),5739,Tri-State Displays Inc,2633814,Todd Turcotte,557292,Vice President (Brd) (ED),2008-04-29,2008-12-11,President (Brd) (ED),2008-01-01,2017-03-31
Capital Properties Inc,2800230,Tri-State Displays Inc,2633814,Todd Turcotte,557292,Vice President (Brd) (ED),2008-12-11,2017-03-31,President (Brd) (ED),2008-01-01,2017-03-31
CAPITAL PROPERTIES INC (De-listed 12/2008),5739,Tri-State Displays Inc,2633814,Todd Turcotte,557292,Vice President (Brd) (ED),2008-01-01,2008-04-29,President (Brd) (ED),2008-01-01,2017-03-31
GTS Technology Solutions Inc (ARC Government Solutions Inc prior to 09/2016),1475659,Austin Foundation Inc,2633819,Rollmann McKann,2129526,Assistant Controller (Non-Brd),2014-05-01,2016-07-01,Treasurer,,
FARMERS NATIONAL BANC CORP,1723637,Surgical Hospital at Southwoods (The),2633820,Ed Muransky,1875354,Independent Director (Brd) (SD),2017-04-20,,Chairman/CEO (Brd) (ED),,
RALPH LAUREN CORP (Polo Ralph Lauren Corp prior to 08/2011),24726,Motivis Learning Systems Inc,2633822,Winnie Lerner,1319560,Senior VP - Corporate Communications (Non-Brd),2012-12-10,2015-01-01,Director -  SD,,
Globoforce Inc (Workhuman),781598,Motivis Learning Systems Inc,2633822,China Gorman,1334837,Advisory Chairman (Non-Brd),2015-01-01,2016-01-01,Director -  SD (Brd) (SD),,
eHarmony Inc,858030,Motivis Learning Systems Inc,2633822,China Gorman,1334837,Advisor (Non-Brd),2016-01-01,2017-01-01,Director -  SD (Brd) (SD),,
MIDDLEBY CORP,20636,SRGI Holdings LLC,2633835,Cathy McCarthy,377171,Independent Director (Brd) (SD),2015-11-05,,Partner (Non-Brd),2013-01-01,
SOLTA MEDICAL INC (Thermage Inc prior to 01/2009) (De-listed 01/2014),483886,SRGI Holdings LLC,2633835,Cathy McCarthy,377171,Independent Director (Brd) (SD),2007-07-11,2014-01-23,Partner (Non-Brd),2013-01-01,
MIDDLEBY CORP,20636,SRG Instruments Inc,2633837,Cathy McCarthy,377171,Independent Director (Brd) (SD),2015-11-05,,Chairman (Brd) (SD),2013-01-01,
