name,name_id,company,company_id,in_board,in_supervisory,role,role_start_date,role_end_date
Steven Downing,622208,R R DONNELLEY & SONS CO,9519,No,No,Regional Director,2015-06-01,
Guy Manuel,644961,R R DONNELLEY & SONS CO,9519,No,No,Regional VP,1978-01-01,1998-01-01
Bruce Knef,653804,R R DONNELLEY & SONS CO,9519,No,No,Various Positions,,
Louis Cabot,850809,R R DONNELLEY & SONS CO,9519,Yes,Yes,Director - SD,1989-01-18,1991-07-24
Charles Haffner III,851073,R R DONNELLEY & SONS CO,9519,Yes,Yes,Director - SD,1990-08-01,1999-01-01
Charles Haffner III,851073,R R DONNELLEY & SONS CO,9519,Yes,No,Vice Chairman/Treasurer,1983-01-01,1984-01-01
Charles Haffner III,851073,R R DONNELLEY & SONS CO,9519,Yes,Yes,Director - SD,1961-01-01,1983-01-01
Charles Haffner III,851073,R R DONNELLEY & SONS CO,9519,Yes,Yes,Vice Chairman,1984-02-01,1990-08-01
Troy Reed,887285,R R DONNELLEY & SONS CO,9519,No,No,Executive VP/Group CFO,2004-03-01,2009-03-01
John Coyle,887193,R R DONNELLEY & SONS CO,9519,No,No,Division President - Retail,2008-08-01,2009-01-01
John Coyle,887193,R R DONNELLEY & SONS CO,9519,No,No,Senior VP - Sales,,2008-08-01
Ken Wu,891061,R R DONNELLEY & SONS CO,9519,No,No,Various Positions,,
George Zengo,887192,R R DONNELLEY & SONS CO,9519,No,No,Chief Sales Officer,2009-01-01,2016-09-30
Lynn Benzing,887156,R R DONNELLEY & SONS CO,9519,No,No,Vice President - Mktg,1994-01-01,1998-01-01
George Zengo,887192,R R DONNELLEY & SONS CO,9519,No,No,Group CFO,2008-08-01,2009-01-01
George Zengo,887192,R R DONNELLEY & SONS CO,9519,No,No,Division President - Retail,2004-01-01,2008-08-01
Tom Scalera,889676,R R DONNELLEY & SONS CO,9519,No,No,Various Positions,,
Kevin Johnson,896737,R R DONNELLEY & SONS CO,9519,No,No,Vice President - Internal Audit,2002-05-01,2008-02-01
Andy Nied,983558,R R DONNELLEY & SONS CO,9519,No,No,Senior Financial Analyst,1998-07-01,2000-01-01
Steve Rinehart,978764,R R DONNELLEY & SONS CO,9519,No,No,Technician,2000-01-01,2004-01-01
Steve Rinehart,978764,R R DONNELLEY & SONS CO,9519,No,No,Technician,1998-01-01,2000-01-01
Aaron Morgan,977986,R R DONNELLEY & SONS CO,9519,No,No,Supervisor,1984-01-01,
Steve Rinehart,978764,R R DONNELLEY & SONS CO,9519,No,No,Supervisor,2004-01-01,2008-01-01
Ben Shaw,983561,R R DONNELLEY & SONS CO,9519,No,No,Leader,1995-01-01,2000-01-01
Steve Rinehart,978764,R R DONNELLEY & SONS CO,9519,No,No,Human Resources Officer,2008-01-01,2008-01-01
Keith Kranzow,834250,R R DONNELLEY & SONS CO,9519,No,No,Marketing Director,1999-01-01,2005-01-01
Shayne Walters,831407,R R DONNELLEY & SONS CO,9519,No,No,Senior Executive - Sales,,
Edgar Smith Jr,840928,R R DONNELLEY & SONS CO,9519,No,No,Various Positions,,
John LaSage,840311,R R DONNELLEY & SONS CO,9519,No,No,Various Positions,,
Roberto Bento Vidal,778032,R R DONNELLEY & SONS CO,9519,No,No,Various Positions,1999-05-01,2000-03-01
Roberto Bento Vidal,778032,R R DONNELLEY & SONS CO,9519,No,No,Director - Corporate Development,2000-03-01,2001-02-01
Steven Saraceno,796066,R R DONNELLEY & SONS CO,9519,No,No,Project Manager,1992-01-01,1994-01-01
Russ Klitchman,796062,R R DONNELLEY & SONS CO,9519,No,No,Project Manager,1992-11-01,1994-03-01
Bill Lee,1194254,R R DONNELLEY & SONS CO,9519,No,No,Senior VP,2010-11-01,2011-11-01
Yun Ma,1248872,R R DONNELLEY & SONS CO,9519,No,No,Senior Financial Analyst,2001-12-01,2004-08-01
Darren Peterson,1248865,R R DONNELLEY & SONS CO,9519,No,No,Division VP,2005-09-01,2017-01-01
Steven Fay,1146096,R R DONNELLEY & SONS CO,9519,No,No,Sales Executive,2003-06-01,2009-06-01
Chris Curtis,1096220,R R DONNELLEY & SONS CO,9519,No,No,Director - Investor Relations,1996-01-01,2003-01-01
Tom Nawara,1093886,R R DONNELLEY & SONS CO,9519,No,No,Project Manager,1999-04-01,2000-06-01
Mike Slomke,1095787,R R DONNELLEY & SONS CO,9519,No,No,Senior VP - Supply Chain,2001-01-01,2004-01-01
