name,name_id,company,company_id,in_board,in_supervisory,role,role_start_date,role_end_date
Paul Schmidt,1683994,Blue C Advertising Inc,2421671,No,No,Director - Services,2009-11-01,2012-12-01
David Kinney,1683268,Kinco LC,2421673,No,No,Asset Manager,2007-01-01,
Malcolm Thornton,1683993,Scalify Pty Ltd,2421676,Yes,Yes,NED,2012-08-01,2013-06-01
Tony Glenning,1702813,Scalify Pty Ltd,2421676,Yes,Yes,NED,2012-01-01,
Rich Robinson,1684018,Gov2020 Institute Inc,2421677,No,No,Chief Technology Officer,,
Vasili Russis,1682471,Levun Goodman & Cohen LLP,2421678,No,No,Attorney,1995-01-01,2009-01-01
Bob Gorman,1739768,Levun Goodman & Cohen LLP,2421678,No,No,Partner,2001-01-01,
Kristin Bagull,1834930,Levun Goodman & Cohen LLP,2421678,No,No,Associate Attorney,2009-01-01,2011-01-01
H. Excellency Khalid bin Saleh Al-Sultan,1682592,University of Hail,2421679,No,No,Acting Rector,2005-07-01,
Dean Rutley,1682425,Carpenter Newman Martin Berkowitz & Garnes,2421681,No,No,Of Counsel,1991-01-01,1992-01-01
Hui Tan,1683468,Editions Didier Millet Ltd (EDM),2421682,No,No,Editor,1994-01-01,1995-01-01
Doctor Jill Antonishak,855731,3 Flights Consulting,2421684,No,No,MD,2011-10-01,
Rich Robinson,1684018,Institute for Manufacturing and Automation Research (IMAR),2421688,No,No,Director - International,1991-01-01,1993-01-01
Doctor Dale Doty,1683233,Southern Tool Co Inc,2421691,No,No,President/CEO,1984-01-01,2000-01-01
Dean Rutley,1682425,McChesney & Dale PC,2421697,No,No,Associate,1986-01-01,1988-01-01
Steve Rosenberg,1689680,Visit Tucson Inc,2421698,Yes,Yes,Director - SD,,
Russ Bond III,841716,Visit Tucson Inc,2421698,Yes,No,Chairman,2018-01-01,
Russ Bond III,841716,Visit Tucson Inc,2421698,Yes,No,Vice Chairman,,2018-01-01
Lea Marquez-Peterson,1470515,Visit Tucson Inc,2421698,Yes,Yes,Director - SD,2013-07-01,
Mike Schuler,1684051,Tri-Medics LLC,2421705,No,No,Partner,2000-01-01,
Michael Kawas,1684011,BioCon Inc,2421710,No,No,Executive VP/CFO,2009-01-01,2013-01-01
Michael Kawas,1684011,BioCon Inc,2421710,No,No,CFO/Treasurer,2007-01-01,2009-01-01
Doctor Thomas Lyons,1714731,BioCon Inc,2421710,No,No,Various Positions,1976-01-01,1980-01-01
