name,name_id,company,company_id,in_board,in_supervisory,role,role_start_date,role_end_date
Brendon Perero,480043,NUTRI SYSTEM INC,22730,No,No,Chief Information Officer,1999-08-01,2005-04-01
Brendon Perero,480043,NUTRI SYSTEM INC,22730,No,No,Chief Technical Officer,2005-04-01,2005-01-01
Steve Zarrilli,480554,NUTRI SYSTEM INC (De-listed 03/2019),22730,Outside,Yes,Independent Director,2003-12-29,2015-06-30
James Brown,480039,NUTRI SYSTEM INC,22730,No,No,CFO,1999-12-01,2000-01-01
Tom Connerty,480549,NUTRI SYSTEM INC,22730,No,No,Executive VP/Chief Marketing Officer,2006-07-25,2008-05-14
James Brown,480039,NUTRI SYSTEM INC,22730,No,No,CFO/Secretary/Treasurer,2003-01-01,2005-04-01
George Jankovic,480034,NUTRI SYSTEM INC,22730,Inside,No,President/COO,2003-02-19,2006-07-25
George Jankovic,480034,NUTRI SYSTEM INC,22730,No,No,Advisor,2006-07-25,2009-01-01
Brendon Perero,480043,NUTRI SYSTEM INC,22730,No,No,Chief Technology Officer,2005-04-01,2007-06-01
James Brown,480039,NUTRI SYSTEM INC,22730,No,No,CFO/Treasurer,2000-01-01,2003-01-01
George Jankovic,480034,NUTRI SYSTEM INC,22730,No,No,President/COO,2002-12-20,2003-02-19
Patty Miller,452043,NUTRI SYSTEM INC,22730,No,No,Vice President - Ops,,1995-01-01
Mark Walsh,451023,NUTRI SYSTEM INC (De-listed 03/2019),22730,No,No,Various Positions,,
Mark Hershhorn,445725,NUTRI SYSTEM INC,22730,No,No,Senior VP - Ops,1990-01-01,1991-12-01
David Clark,447174,NUTRI SYSTEM INC (De-listed 03/2019),22730,No,No,Executive VP/CFO/Treasurer,2012-11-15,2013-03-15
David Clark,447174,NUTRI SYSTEM INC (De-listed 03/2019),22730,No,No,Employee,2013-03-15,2013-04-01
David Clark,447174,NUTRI SYSTEM INC (De-listed 03/2019),22730,No,No,Senior VP/CFO/Treasurer/Secretary,2007-11-26,2008-07-01
David Clark,447174,NUTRI SYSTEM INC (De-listed 03/2019),22730,No,No,Executive VP/CFO/Treasurer/Interim CEO,2012-11-09,2012-11-15
David Clark,447174,NUTRI SYSTEM INC (De-listed 03/2019),22730,No,No,Executive VP/CFO/Treasurer,2010-07-01,2012-11-09
David Clark,447174,NUTRI SYSTEM INC (De-listed 03/2019),22730,No,No,Executive VP/CFO/Secretary/Treasurer,2008-07-01,2010-07-01
Bob Bernstock,430032,NUTRI SYSTEM INC (De-listed 03/2019),22730,Yes,Yes,Independent Director,2005-12-19,2019-03-08
Jonathan Granoff,440561,NUTRI SYSTEM INC,22730,No,No,Various Positions,,
Joe Redling,370627,NUTRI SYSTEM INC (De-listed 03/2019),22730,Yes,No,President/COO,2008-04-08,2008-05-01
Joe Redling,370627,NUTRI SYSTEM INC (De-listed 03/2019),22730,Yes,No,President/CEO,2008-05-01,2008-11-14
Joe Redling,370627,NUTRI SYSTEM INC (De-listed 03/2019),22730,Yes,No,President/CEO,2012-04-04,2012-11-09
Joe Redling,370627,NUTRI SYSTEM INC (De-listed 03/2019),22730,Yes,No,Chairman/President/CEO,2008-11-14,2012-04-04
Joe Redling,370627,NUTRI SYSTEM INC (De-listed 03/2019),22730,No,No,President/COO,2007-09-04,2008-04-08
Ted Leonsis,13474,NUTRI SYSTEM INC (De-listed 03/2019),22730,Yes,Yes,Independent Director,2008-12-15,2012-06-06
Laura Lang,333909,NUTRI SYSTEM INC (De-listed 03/2019),22730,Yes,Yes,Independent Director,2010-03-30,2012-06-06
Mike Hagan,337954,NUTRI SYSTEM INC (De-listed 03/2019),22730,Yes,No,Chairman/CEO,2007-09-04,2008-05-01
Don Caldwell,341173,NUTRI SYSTEM INC (De-listed 03/2019),22730,Outside,Yes,Independent Director,2000-03-01,2003-02-01
Mike Hagan,337954,NUTRI SYSTEM INC (De-listed 03/2019),22730,Yes,Yes,Independent Chairman,2012-04-04,2019-03-08
Mike Hagan,337954,NUTRI SYSTEM INC (De-listed 03/2019),22730,Yes,Yes,Lead Independent Director,2012-02-16,2012-04-04
Mike Hagan,337954,NUTRI SYSTEM INC (De-listed 03/2019),22730,Yes,No,Chairman/President/CEO,2006-07-25,2007-09-04
Mike Hagan,337954,NUTRI SYSTEM INC (De-listed 03/2019),22730,Yes,Yes,Chairman (Non-Executive),2008-05-01,2008-11-14
Mike Hagan,337954,NUTRI SYSTEM INC (De-listed 03/2019),22730,Inside,No,Chairman/CEO,2002-12-20,2006-07-25
Andrea Weiss,140885,NUTRI SYSTEM INC (De-listed 03/2019),22730,Yes,Yes,Independent Director,2013-03-04,2019-03-08
Doctor Jeffrey Litwin,206080,NUTRI SYSTEM INC (De-listed 03/2019),22730,No,No,Deputy Medical Director,1990-09-01,1993-03-01
Pete Musser,220286,NUTRI SYSTEM INC (De-listed 03/2019),22730,Yes,Yes,Independent Director,2003-02-19,2013-06-05
Michael Mangan,204335,NUTRI SYSTEM INC (De-listed 03/2019),22730,Yes,Yes,Independent Director,2015-06-30,2019-03-08
Peter Cohen,207136,NUTRI SYSTEM INC (De-listed 03/2019),22730,No,No,Senior VP - Ops,1990-01-01,1993-01-01
Dennis O'Hara,1830570,NUTRI SYSTEM INC,22730,No,No,Various Positions,,
Mike Dermo,1882553,NUTRI SYSTEM INC (De-listed 03/2019),22730,No,No,Vice President - Sales,2012-02-01,2017-01-13
Mike Dermo,1882553,NUTRI SYSTEM INC (De-listed 03/2019),22730,No,No,Senior VP - Retail,2017-01-13,2019-03-08
Mathilde Wren,1905500,NUTRI SYSTEM INC (De-listed 03/2019),22730,No,No,Division Manager,2008-07-01,2011-03-01
William Ridenour,1939486,NUTRI SYSTEM INC,22730,No,No,Senior VP,2007-04-01,2011-11-01
