name,name_id,company,company_id,in_board,in_supervisory,role,role_start_date,role_end_date
Jon Ram,2155637,New Balance Athletics Inc (New Balance Athletic Shoe Inc prior to 09/2015),784207,No,No,Regional MD,2007-08-01,2014-01-01
Jon Ram,2155637,New Balance Athletics Inc (New Balance Athletic Shoe Inc prior to 09/2015),784207,No,No,Executive VP,2015-01-01,2018-05-01
Karin Piscitelli,2116796,New Balance Athletics Inc (New Balance Athletic Shoe Inc prior to 09/2015),784207,No,No,Director - Integrated Marketing,2004-01-01,2007-06-01
Karin Piscitelli,2116796,New Balance Athletics Inc (New Balance Athletic Shoe Inc prior to 09/2015),784207,No,No,Various Positions,2011-10-01,2012-04-01
Louis Joseph,1672013,New Balance Athletics Inc (New Balance Athletic Shoe Inc prior to 09/2015),784207,No,No,Brand Manager,1998-10-01,2003-04-01
Steve Hochman,1893373,New Balance Athletics Inc (New Balance Athletic Shoe Inc prior to 09/2015),784207,No,No,Regional Director - Sales,2003-09-01,2006-05-01
Wendy Yang,1530592,New Balance Athletics Inc (New Balance Athletic Shoe Inc prior to 09/2015),784207,No,No,General Manager,2009-03-01,2012-03-01
Wendy Yang,1530592,New Balance Athletics Inc (New Balance Athletic Shoe Inc prior to 09/2015),784207,No,No,General Manager,2012-03-01,2015-04-01
Alan Lekan,1474783,New Balance Athletics Inc (New Balance Athletic Shoe Inc prior to 09/2015),784207,No,No,Various Positions,2006-07-01,2008-07-01
Julie Hart,1662672,New Balance Athletics Inc (New Balance Athletic Shoe Inc prior to 09/2015),784207,No,No,Finance & Accounting Officer,2001-01-01,2004-01-01
Carol O'Donnell,1354405,New Balance Athletics Inc (New Balance Athletic Shoe Inc prior to 09/2015),784207,No,No,Vice President - HR,,2014-01-01
John Larsen,1354392,New Balance Athletics Inc (New Balance Athletic Shoe Inc prior to 09/2015),784207,No,No,President Emeritus,2005-01-01,
Joe Preston,1354411,New Balance Athletics Inc (New Balance Athletic Shoe Inc prior to 09/2015),784207,No,No,Chief Commercial Officer,2018-06-01,2018-12-31
Joe Preston,1354411,New Balance Athletics Inc (New Balance Athletic Shoe Inc prior to 09/2015),784207,No,No,Division Manager,1998-01-01,2002-08-01
John Wilson,1354410,New Balance Athletics Inc (New Balance Athletic Shoe Inc prior to 09/2015),784207,No,No,Executive VP - Manufacturing,2005-09-01,
John Wilson,1354410,New Balance Athletics Inc (New Balance Athletic Shoe Inc prior to 09/2015),784207,No,No,Vice President - Manufacturing,1971-01-01,2005-09-01
Jim Connors Jr,1354409,New Balance Athletics Inc (New Balance Athletic Shoe Inc prior to 09/2015),784207,No,No,Vice President - Research,2005-09-01,
Stephanie Smith,1354408,New Balance Athletics Inc (New Balance Athletic Shoe Inc prior to 09/2015),784207,No,No,Vice President - Retail,1995-01-01,
Stephanie Smith,1354408,New Balance Athletics Inc (New Balance Athletic Shoe Inc prior to 09/2015),784207,No,No,Assistant Manager,1986-01-01,1995-01-01
Alan Rosen,1354404,New Balance Athletics Inc (New Balance Athletic Shoe Inc prior to 09/2015),784207,No,No,Group Controller,1996-01-01,2000-01-01
Christine Madigan,1354401,New Balance Athletics Inc (New Balance Athletic Shoe Inc prior to 09/2015),784207,No,No,Director - Global Marketing,2003-01-01,2010-01-01
Edith Harmon,1354399,New Balance Athletics Inc (New Balance Athletic Shoe Inc prior to 09/2015),784207,No,No,Vice President - Research & Development,2005-01-01,
Edith Harmon,1354399,New Balance Athletics Inc (New Balance Athletic Shoe Inc prior to 09/2015),784207,No,No,Various Positions,1991-01-01,2005-01-01
Paul Heffernan Jr,1354396,New Balance Athletics Inc (New Balance Athletic Shoe Inc prior to 09/2015),784207,No,No,Vice President,2008-03-01,
Paul Heffernan Jr,1354396,New Balance Athletics Inc (New Balance Athletic Shoe Inc prior to 09/2015),784207,No,No,Vice President - Mktg,1992-01-01,2002-01-01
Paul Heffernan Jr,1354396,New Balance Athletics Inc (New Balance Athletic Shoe Inc prior to 09/2015),784207,No,No,Product Manager,1985-01-01,1987-01-01
Bill Hayden,1354395,New Balance Athletics Inc (New Balance Athletic Shoe Inc prior to 09/2015),784207,No,No,Vice President - Finance,2006-03-01,
John Withee,1354393,New Balance Athletics Inc (New Balance Athletic Shoe Inc prior to 09/2015),784207,No,No,Executive VP/CFO,2004-01-01,
John Withee,1354393,New Balance Athletics Inc (New Balance Athletic Shoe Inc prior to 09/2015),784207,No,No,Controller,1989-01-01,2004-01-01
John Larsen,1354392,New Balance Athletics Inc (New Balance Athletic Shoe Inc prior to 09/2015),784207,No,No,President,1990-01-01,1995-01-01
Rob DeMartini,1354391,New Balance Athletics Inc (New Balance Athletic Shoe Inc prior to 09/2015),784207,No,No,President/CEO,2007-05-01,2018-12-31
Anne Davis,1354390,New Balance Athletics Inc (New Balance Athletic Shoe Inc prior to 09/2015),784207,Yes,No,Vice Chairman,,
Kerry Kligerman,1354413,New Balance Athletics Inc (New Balance Athletic Shoe Inc prior to 09/2015),784207,No,No,Executive VP,2007-12-01,2013-10-01
Joe Preston,1354411,New Balance Athletics Inc (New Balance Athletic Shoe Inc prior to 09/2015),784207,No,No,International VP,2002-08-01,2005-01-01
Joe Preston,1354411,New Balance Athletics Inc (New Balance Athletic Shoe Inc prior to 09/2015),784207,No,No,Executive VP - Commercial,2017-05-01,2018-06-01
Paul Heffernan Jr,1354396,New Balance Athletics Inc (New Balance Athletic Shoe Inc prior to 09/2015),784207,No,No,Marketing Manager,1990-01-01,1992-01-01
Anne Davis,1354390,New Balance Athletics Inc (New Balance Athletic Shoe Inc prior to 09/2015),784207,No,No,HR Manager,1977-01-01,
Joe Preston,1354411,New Balance Athletics Inc (New Balance Athletic Shoe Inc prior to 09/2015),784207,No,No,Executive VP - Global Marketing,2008-01-01,2017-05-01
Joe Preston,1354411,New Balance Athletics Inc (New Balance Athletic Shoe Inc prior to 09/2015),784207,No,No,President/CEO,2018-12-31,
Joe Preston,1354411,New Balance Athletics Inc (New Balance Athletic Shoe Inc prior to 09/2015),784207,No,No,Senior Manager,1995-01-01,1998-01-01
Alan Rosen,1354404,New Balance Athletics Inc (New Balance Athletic Shoe Inc prior to 09/2015),784207,No,No,Corporate Controller,1989-01-01,1996-01-01
Ed Haddad,1354394,New Balance Athletics Inc (New Balance Athletic Shoe Inc prior to 09/2015),784207,No,No,Various Positions,1982-01-01,1992-01-01
Ed Haddad,1354394,New Balance Athletics Inc (New Balance Athletic Shoe Inc prior to 09/2015),784207,No,No,Vice President - Intellectual Property,2007-04-01,2014-05-01
Ed Haddad,1354394,New Balance Athletics Inc (New Balance Athletic Shoe Inc prior to 09/2015),784207,No,No,Vice President - Intellectual Property,2003-01-01,2007-01-01
Ed Haddad,1354394,New Balance Athletics Inc (New Balance Athletic Shoe Inc prior to 09/2015),784207,No,No,Vice President - Intl,1994-01-01,2003-01-01
Carol O'Donnell,1354405,New Balance Athletics Inc (New Balance Athletic Shoe Inc prior to 09/2015),784207,No,No,HR Manager,1988-01-01,
Ed Haddad,1354394,New Balance Athletics Inc (New Balance Athletic Shoe Inc prior to 09/2015),784207,No,No,Controller,1992-01-01,1994-01-01
