name,name_id,company,company_id,in_board,in_supervisory,role,role_start_date,role_end_date
Sandra Horbach,85992,Nature's Bounty Co (The) (NBTY Inc prior to 11/2016),1665695,Yes,Yes,Chairman,2011-05-01,
Sandra Horbach,85992,Nature's Bounty Co (The) (NBTY Inc prior to 11/2016),1665695,Yes,Yes,Director - SD,2010-10-01,2011-05-01
Scott Rudolph,141629,Nature's Bounty Co (The) (NBTY Inc prior to 11/2016),1665695,Yes,Yes,Chairman,2010-12-06,2011-05-01
Scott Rudolph,141629,Nature's Bounty Co (The) (NBTY Inc prior to 11/2016),1665695,Yes,No,Chairman/CEO,2010-10-01,2010-12-06
Allan Holt,141436,Nature's Bounty Co (The) (NBTY Inc prior to 11/2016),1665695,Yes,Yes,Director - SD,2010-10-01,
Jim Flaherty,204617,Nature's Bounty Co (The) (NBTY Inc prior to 11/2016),1665695,No,No,Senior VP - Mktg,2010-10-01,2016-01-01
Harvey Kamil,204613,NBTY Inc (Formerly known as Nature's Bounty Inc),1665695,No,No,Vice Chairman,2011-06-13,
Harvey Kamil,204613,NBTY Inc (Formerly known as Nature's Bounty Inc),1665695,No,No,President/CFO,2010-10-01,2011-06-13
Susan Wagner,338497,Nature's Bounty Co (The) (NBTY Inc prior to 11/2016),1665695,No,No,Director - Non-Brd,2012-11-01,2015-01-01
Sue Gove,310246,Nature's Bounty Co (The) (NBTY Inc prior to 11/2016),1665695,No,No,Division President,2015-09-01,2016-02-02
Bob Essner,33631,Nature's Bounty Co (The) (NBTY Inc prior to 11/2016),1665695,Yes,Yes,Director - SD,2011-02-01,
Dave Walker,6379,NBTY Inc (Formerly known as Nature's Bounty Inc),1665695,No,No,Director - Compliance,2010-10-01,
Kevin Tully,2205053,Nature's Bounty Co (The) (NBTY Inc prior to 11/2016),1665695,No,No,Various Positions,2015-01-01,2018-01-01
Faissal Tahiri,2204622,Nature's Bounty Co (The) (NBTY Inc prior to 11/2016),1665695,No,No,International President,2019-08-19,
Ted McCormick,2121335,Nature's Bounty Co (The) (NBTY Inc prior to 11/2016),1665695,No,No,CFO,2018-12-10,
Tony West,2116470,Nature's Bounty Co (The) (NBTY Inc prior to 11/2016),1665695,No,No,Various Positions,2011-08-01,2012-10-01
Jaco Uys,2146647,Nature's Bounty Co (The) (NBTY Inc prior to 11/2016),1665695,No,No,CFO,2016-07-01,2017-03-01
Jaco Uys,2146647,Nature's Bounty Co (The) (NBTY Inc prior to 11/2016),1665695,No,No,Various Positions,2012-02-01,2016-07-01
Nick Collins,2139456,Nature's Bounty Co (The) (NBTY Inc prior to 11/2016),1665695,No,No,International President,2018-09-01,2019-08-19
Nick Collins,2139456,Nature's Bounty Co (The) (NBTY Inc prior to 11/2016),1665695,No,No,Vice President - Strategy,2016-08-01,2018-09-01
Susan Arnold,140659,Nature's Bounty Co (The) (NBTY Inc prior to 11/2016),1665695,Yes,Yes,Director - SD,2013-11-20,2017-07-01
Dave Bernauer,34282,Nature's Bounty Co (The) (NBTY Inc prior to 11/2016),1665695,Yes,Yes,Director - SD,2011-02-01,
Marco De Benedetti,14969,Nature's Bounty Co (The) (NBTY Inc prior to 11/2016),1665695,Yes,Yes,Director - SD,2010-10-01,
Nate Taylor,835403,Nature's Bounty Co (The) (NBTY Inc prior to 11/2016),1665695,Yes,Yes,Director - SD,2017-09-28,
Elliot Wagner,605201,Nature's Bounty Co (The) (NBTY Inc prior to 11/2016),1665695,Yes,Yes,Director - SD,2010-10-01,2019-01-01
Jay Sammons,1202769,Nature's Bounty Co (The) (NBTY Inc prior to 11/2016),1665695,Yes,Yes,Director - SD,2017-01-01,
Steve Lisi,1313778,Panacea Asset Management LLC,1665696,No,No,Portfolio Manager,2005-01-01,2007-01-01
Carl Belczynski Jr,1089882,Panacea Asset Management LLC,1665696,No,No,Senior Portfolio Manager,2005-01-01,2007-01-01
Doctor Rohit Sharma,765400,MetaMachinix Inc,1665697,No,No,President,2004-01-01,2005-01-01
Krishan Chugh,892112,Greenstar Corp,1665702,Yes,Yes,Director - SD,,
Doctor Charlie Gay,765257,Greenstar Corp,1665702,Yes,Yes,Director - SD,1997-01-01,2016-08-01
Adam Hieber,1753108,Greenstar Corp,1665702,No,No,Senior Advisor,,
Wendy Gordon,1928796,Greenstar Corp,1665702,No,No,Advisory Board Member,,
Ted Price,183451,Night Operations Systems Inc,1665703,No,No,Advisory Board Member,,
Bill Sims,372369,Cooledge Lighting Inc,1665704,Yes,No,CEO,2017-06-27,
Bill Sims,372369,Cooledge Lighting Inc,1665704,Yes,No,Interim CEO,2016-07-01,2017-06-27
Bill Sims,372369,Cooledge Lighting Inc,1665704,Yes,Yes,Independent Director,2015-01-01,2016-07-01
Phil O'Donnell,377822,Cooledge Lighting Inc,1665704,No,No,Senior VP - Global Sales,2016-01-01,
Ellen Bossert,377820,Cooledge Lighting Inc,1665704,No,No,Chief Marketing Officer,2016-11-01,
Clint Bybee,765821,Cooledge Lighting Inc,1665704,Yes,Yes,Chairman,2013-06-01,
Taran Grey,2204852,Cooledge Lighting Inc,1665704,No,No,Manager,2009-01-01,2011-01-01
Ron Steen,1910619,Cooledge Lighting Inc,1665704,No,No,Senior Director - Business Development,2015-07-01,2016-10-01
Paul Thurk,766078,Cooledge Lighting Inc,1665704,No,No,CEO,,
Edwin Fok,765619,Cooledge Lighting Inc,1665704,No,No,CFO,2015-03-01,
Tracy Bilbrough,1328695,Cooledge Lighting Inc,1665704,Yes,Yes,Independent Director,2013-08-21,
Geoff Catherwood,1592911,Cooledge Lighting Inc,1665704,Yes,Yes,Director - SD,2012-05-01,
Tony Wells,1271145,USAA Educational Foundation,1665705,No,No,Senior VP,2017-11-01,
Barbara Gentry,766871,USAA Educational Foundation,1665705,No,No,President,1993-01-01,2014-01-01
Edwin McQuiston,1193337,USAA Educational Foundation,1665705,No,No,Senior VP/Treasurer,2008-01-01,2012-01-01
Steve Jenks,766521,Candescent Partners LLC,1665707,Yes,No,Managing Partner,2008-01-01,
Leigh Michl,982027,Candescent Partners LLC,1665707,No,No,Partner,,2010-01-01
Steve Sahlman,1732656,Candescent Partners LLC,1665707,No,No,Partner,2009-08-01,
Sandy McGrath,182856,Candescent Partners LLC,1665707,Yes,No,Managing Partner,2008-01-01,
Jennifer Davis,1146606,Pierian Spring Academy,1665708,No,No,Various Positions,1994-05-01,1998-04-01
Arjan Schtte,1321018,Pierian Spring Academy,1665708,No,No,Various Positions,,
Doug Diamond,1304339,Loyaltyworks Inc,1665709,Yes,Yes,Director - SD,,
Steve Jenks,766521,Loyaltyworks Inc,1665709,Yes,Yes,Director - SD,,
Bill Donges,1712533,Loyaltyworks Inc,1665709,No,No,Senior Developer,2004-06-01,2004-11-01
Mike Berman,35338,Endospan Ltd,1665712,Yes,Yes,Board Member - SD,2016-01-01,2018-01-01
Doctor Susan Alpert,496368,Endospan Ltd,1665712,No,No,Advisor,,2018-01-01
Eli Gendler,504663,Endospan Ltd,1665712,No,No,CFO,,
Gerri Henwood,182813,Endospan Ltd,1665712,No,No,Advisor,,2018-01-01
Doctor Avi Ludomirski,89622,Endospan Ltd,1665712,Yes,Yes,Chairman,,
Wayne Weisman,767048,Endospan Ltd,1665712,Yes,Yes,Board Member - SD,2009-01-01,2017-01-01
Doctor Uri Geiger,894428,Endospan Ltd,1665712,Yes,Yes,Board Member - SD,,2017-01-01
Jeff Elkins,1329897,Endospan Ltd,1665712,Yes,Yes,Board Member - SD,2018-05-14,
Tom Brennan,766128,eQsolaris Inc,1665713,No,No,Advisor,,
Carl Gargula,1394454,ATON Behavioral Finance,1665715,No,No,Advisory Board Member,,
Portia Switzer,1048824,Blue Practice Inc,1665716,No,No,Communication Officer,2010-05-12,2017-01-01
Suzy Kriscunas,765710,Legacy Private Capital Partners,1665717,Yes,No,MD,,
Derek Beaty,766719,UPC Renewables China Holdings Ltd,1665718,No,No,Observer,2007-01-01,2010-11-01
Joan Larrea,766661,UPC Renewables China Holdings Ltd,1665718,Yes,Yes,Director - SD,2010-03-01,2014-01-01
Gisele Everett,2205605,UPC Renewables China Holdings Ltd,1665718,Yes,Yes,Director - SD,,
Brian Caffyn,536556,UPC Renewables China Holdings Ltd,1665718,Yes,No,Chairman/CEO,2009-01-01,
Joseph Khalili,2149308,BROOKFIELD PROPERTY REIT INC (GGP Inc prior to 08/2018),1665719,No,No,Various Positions,,2012-01-01
Bob Estes,2113127,BROOKFIELD PROPERTY REIT INC (GGP Inc prior to 08/2018),1665719,No,No,Senior VP - Financial Operations,2012-04-01,2017-07-01
Jordan Brant,2109296,BROOKFIELD PROPERTY REIT INC (GGP Inc prior to 08/2018),1665719,No,No,Regional Division Director,2011-11-01,2018-11-01
Alexandra Levy,2125636,BROOKFIELD PROPERTY REIT INC (GGP Inc prior to 08/2018),1665719,No,No,Director - Capital Markets,2015-01-01,2017-11-01
Tres White,2168011,BROOKFIELD PROPERTY REIT INC (GGP Inc prior to 08/2018),1665719,No,No,Various Positions,2010-03-05,2011-11-01
Sherif El-Azzazi,2182299,BROOKFIELD PROPERTY REIT INC (GGP Inc prior to 08/2018),1665719,No,No,Director - Comms/IR,2017-03-01,
Sherif El-Azzazi,2182299,BROOKFIELD PROPERTY REIT INC (GGP Inc prior to 08/2018),1665719,No,No,Manager - Communications/Investor Relations,2014-10-01,2017-02-01
Danielle Bisterfeldt,2172491,BROOKFIELD PROPERTY REIT INC (GGP Inc prior to 08/2018),1665719,No,No,Senior General Manager,2010-11-01,2012-08-01
Danielle Bisterfeldt,2172491,BROOKFIELD PROPERTY REIT INC (GGP Inc prior to 08/2018),1665719,No,No,Marketing Manager,2010-03-05,2010-11-01
Sheli Rosenberg,27396,BROOKFIELD PROPERTY REIT INC (GGP Inc prior to 08/2018),1665719,Yes,Yes,Lead Independent Director,2010-04-19,2011-07-29
Sheli Rosenberg,27396,BROOKFIELD PROPERTY REIT INC (GGP Inc prior to 08/2018),1665719,Yes,Yes,Independent Director,2010-04-13,2010-04-19
Mary Fiala,181416,BROOKFIELD PROPERTY REIT INC (GGP Inc prior to 08/2018),1665719,Yes,Yes,Independent Director,2010-11-09,2018-08-28
John Schreiber,180130,BROOKFIELD PROPERTY REIT INC (GGP Inc prior to 08/2018),1665719,Yes,Yes,Independent Director,2010-10-27,2013-08-20
Tom Nolan Jr,324800,BROOKFIELD PROPERTY REIT INC (GGP Inc prior to 08/2018),1665719,No,No,President/COO,2010-11-09,2010-12-22
Tom Nolan Jr,324800,BROOKFIELD PROPERTY REIT INC (GGP Inc prior to 08/2018),1665719,Yes,No,President/COO,2010-03-05,2010-11-09
Janice Fukakusa,335498,BROOKFIELD PROPERTY REIT INC (GGP Inc prior to 08/2018),1665719,Yes,Yes,Independent Director,2017-05-17,2018-08-28
Bill Ackman,990269,BROOKFIELD PROPERTY REIT INC (GGP Inc prior to 08/2018),1665719,Yes,Yes,Director - SD,2010-03-05,2010-03-08
Lars Rodert,1095849,BROOKFIELD PROPERTY REIT INC (GGP Inc prior to 08/2018),1665719,Yes,Yes,Lead Independent Director,2018-08-28,
Lou Maroun,1095848,BROOKFIELD PROPERTY REIT INC (GGP Inc prior to 08/2018),1665719,Yes,Yes,Independent Director,2018-08-28,
Alan Barocas,513991,BROOKFIELD PROPERTY REIT INC (GGP Inc prior to 08/2018),1665719,No,No,Senior Executive VP,2011-01-17,2017-06-30
Rob Wyant,544228,GGP INC (General Growth Properties Inc prior to 01/2017),1665719,No,No,Senior VP - Development,2010-03-05,2010-05-19
Sharon Polonia,544226,BROOKFIELD PROPERTY REIT INC (GGP Inc prior to 08/2018),1665719,No,No,Employee,2010-05-19,2010-07-06
Sharon Polonia,544226,BROOKFIELD PROPERTY REIT INC (GGP Inc prior to 08/2018),1665719,No,No,Executive VP - Asset Management,2010-03-05,2010-05-19
Ed Hoyt,543602,GGP INC (General Growth Properties Inc prior to 01/2017),1665719,No,No,Senior VP/Chief Accounting Officer,2010-07-26,2011-06-21
Ed Hoyt,543602,GGP INC (General Growth Properties Inc prior to 01/2017),1665719,No,No,Senior VP/Chief Accounting Officer/Interim CFO,2010-03-05,2010-07-26
Melinda Holland,543601,BROOKFIELD PROPERTY REIT INC (GGP Inc prior to 08/2018),1665719,No,No,Senior VP - Business Development,2010-03-05,2018-08-28
Chuck Lhotka,543597,GGP INC (General Growth Properties Inc prior to 01/2017),1665719,No,No,Executive VP - Asset Management,2011-01-01,2014-01-01
Chuck Lhotka,543597,GGP INC (General Growth Properties Inc prior to 01/2017),1665719,No,No,Chief Administrative Officer,2010-03-05,2011-01-01
Cyrus Madon,540923,BROOKFIELD PROPERTY REIT INC (GGP Inc prior to 08/2018),1665719,Yes,Yes,Independent Director,2010-10-27,2013-08-20
Ric Clark,540915,BROOKFIELD PROPERTY REIT INC (GGP Inc prior to 08/2018),1665719,Yes,Yes,Chairman,2018-08-28,
Ric Clark,540915,BROOKFIELD PROPERTY REIT INC (GGP Inc prior to 08/2018),1665719,Yes,Yes,Independent Director,2010-11-09,2018-08-28
Ron Gern,493415,GGP INC (General Growth Properties Inc prior to 01/2017),1665719,No,No,Employee,2011-01-17,2011-11-01
Ron Gern,493415,GGP INC (General Growth Properties Inc prior to 01/2017),1665719,No,No,Senior VP/General Counsel/Secretary,2010-03-05,2011-01-17
Bryan Davis,489559,BROOKFIELD PROPERTY REIT INC (GGP Inc prior to 08/2018),1665719,No,No,Division CFO,2018-08-28,
Dave Cuthill,430044,BROOKFIELD PROPERTY REIT INC (GGP Inc prior to 08/2018),1665719,No,No,Regional VP - Development,2010-03-05,2017-10-01
Steve Douglas,443364,GGP INC (General Growth Properties Inc prior to 01/2017),1665719,No,No,Executive VP,2011-12-15,2011-12-31
Steve Douglas,443364,GGP INC (General Growth Properties Inc prior to 01/2017),1665719,No,No,Executive VP/CFO,2010-07-26,2011-12-15
Bob Dangremond,443191,GGP INC (General Growth Properties Inc prior to 01/2017),1665719,No,No,Various Positions,,
Jeff Blidner,372310,BROOKFIELD PROPERTY REIT INC (GGP Inc prior to 08/2018),1665719,Yes,Yes,Director - SD,2018-08-28,
John Riordan,12036,BROOKFIELD PROPERTY REIT INC (GGP Inc prior to 08/2018),1665719,Yes,Yes,Independent Director,2010-03-05,2010-11-09
Doctor Anthony Downs,30930,BROOKFIELD PROPERTY REIT INC (GGP Inc prior to 08/2018),1665719,Yes,Yes,Independent Director,2010-03-05,2010-11-09
Dan Hurwitz,180658,BROOKFIELD PROPERTY REIT INC (GGP Inc prior to 08/2018),1665719,Yes,Yes,Lead Independent Director,2017-06-02,2018-08-28
Dan Hurwitz,180658,BROOKFIELD PROPERTY REIT INC (GGP Inc prior to 08/2018),1665719,Yes,Yes,Independent Director,2013-08-22,2017-06-02
Debra Cafaro,180625,BROOKFIELD PROPERTY REIT INC (GGP Inc prior to 08/2018),1665719,Yes,Yes,Independent Director,2010-03-29,2010-11-09
Alan Cohen,142169,BROOKFIELD PROPERTY REIT INC (GGP Inc prior to 08/2018),1665719,Yes,Yes,Independent Director,2010-03-05,2010-11-09
Bob Michaels,142167,BROOKFIELD PROPERTY REIT INC (GGP Inc prior to 08/2018),1665719,No,No,Employee,2011-01-17,2011-03-01
Bob Michaels,142167,BROOKFIELD PROPERTY REIT INC (GGP Inc prior to 08/2018),1665719,Yes,Yes,Vice Chairman,2010-03-05,2011-01-17
Matthew Bucksbaum,142162,BROOKFIELD PROPERTY REIT INC (GGP Inc prior to 08/2018),1665719,No,No,Chairman Emeritus,2010-03-05,2013-11-24
Doctor Sabine O'hara,844507,Professors Beyond Borders,1665749,No,No,VP/MD,2010-01-01,2013-01-01
John Bucksbaum,142159,BROOKFIELD PROPERTY REIT INC (GGP Inc prior to 08/2018),1665719,Yes,Yes,Chairman,2010-03-05,2010-11-09
Beth Stewart,88292,BROOKFIELD PROPERTY REIT INC (GGP Inc prior to 08/2018),1665719,Yes,Yes,Independent Director,2010-03-05,2010-11-09
Glenn Rufrano,181656,BROOKFIELD PROPERTY REIT INC (GGP Inc prior to 08/2018),1665719,Yes,Yes,Director - SD,2010-03-05,2010-03-19
Sandeep Mathrani,220121,BROOKFIELD PROPERTY REIT INC (GGP Inc prior to 08/2018),1665719,No,No,Division Vice Chairman,2019-01-01,
Sandeep Mathrani,220121,BROOKFIELD PROPERTY REIT INC (GGP Inc prior to 08/2018),1665719,Yes,No,CEO,2011-01-24,2018-08-28
Sandeep Mathrani,220121,BROOKFIELD PROPERTY REIT INC (GGP Inc prior to 08/2018),1665719,No,No,CEO,2011-01-17,2011-01-24
Sandeep Mathrani,220121,BROOKFIELD PROPERTY REIT INC (GGP Inc prior to 08/2018),1665719,No,No,Consultant,2010-10-28,2011-01-17
Joel Bayer,207888,GGP INC (General Growth Properties Inc prior to 01/2017),1665719,No,No,Senior VP/Chief Investment Officer,2010-03-05,2011-03-01
David Neithercut,207481,BROOKFIELD PROPERTY REIT INC (GGP Inc prior to 08/2018),1665719,Yes,Yes,Independent Director,2010-11-09,2017-05-17
James Flatt,203031,BROOKFIELD PROPERTY REIT INC (GGP Inc prior to 08/2018),1665719,Yes,Yes,Independent Chairman,2010-11-09,2018-08-28
Michael Berman,207196,BROOKFIELD PROPERTY REIT INC (GGP Inc prior to 08/2018),1665719,No,No,Executive VP - Finance,2017-12-28,2018-03-01
Michael Berman,207196,BROOKFIELD PROPERTY REIT INC (GGP Inc prior to 08/2018),1665719,No,No,Executive VP/CFO,2011-12-15,2017-12-28
Marvin Levine,334644,BROOKFIELD PROPERTY REIT INC (GGP Inc prior to 08/2018),1665719,No,No,Executive VP/Chief Legal Officer,2011-01-01,2018-04-01
Marvin Levine,334644,BROOKFIELD PROPERTY REIT INC (GGP Inc prior to 08/2018),1665719,No,No,Senior VP - Real Estate,2011-01-01,2011-01-01
Leslie Brown,1997388,BROOKFIELD PROPERTY REIT INC (GGP Inc prior to 08/2018),1665719,No,No,Director - Leasing,2010-03-05,2013-07-01
Paul Melkus,2004541,BROOKFIELD PROPERTY REIT INC (GGP Inc prior to 08/2018),1665719,No,No,Senior VP - Capital Markets,2010-01-01,2011-01-01
Kristen Pate,1999771,GGP INC (General Growth Properties Inc prior to 01/2017) (De-listed 08/2018),1665719,No,No,Senior General Counsel,2010-03-05,2018-08-28
Andy Runge,1999414,BROOKFIELD PROPERTY REIT INC (GGP Inc prior to 08/2018),1665719,No,No,Senior VP - Finance,2010-04-01,2011-09-01
Francisco Gutierrez,2038511,GGP INC (General Growth Properties Inc prior to 01/2017),1665719,No,No,Senior Director - Development,2012-04-01,2018-01-01
Rosemary Feit,2012652,GGP INC (General Growth Properties Inc prior to 01/2017),1665719,No,No,Executive VP/General Counsel,2017-07-01,2018-07-01
Rosemary Feit,2012652,GGP INC (General Growth Properties Inc prior to 01/2017),1665719,No,No,VP/Associate General Counsel,2010-03-05,2017-07-01
Naseem Wenzel,2019808,GGP INC (General Growth Properties Inc prior to 01/2017),1665719,No,No,Consultant,2010-03-05,2011-01-01
Dan Ryan,2082993,GGP INC (General Growth Properties Inc prior to 01/2017) (De-listed 08/2018),1665719,No,No,Vice President - Corporate Security,2010-03-05,2018-08-28
Courtney Smith,1935900,BROOKFIELD PROPERTY REIT INC (GGP Inc prior to 08/2018),1665719,No,No,Financial Analyst,2011-09-01,2012-11-01
Courtney Smith,1935900,BROOKFIELD PROPERTY REIT INC (GGP Inc prior to 08/2018),1665719,No,No,Investment Officer,2012-11-01,2014-03-01
Jason Colton,1923745,BROOKFIELD PROPERTY REIT INC (GGP Inc prior to 08/2018),1665719,No,No,Senior VP - Investment,2010-11-01,2014-04-01
Hilary Hosek,1951459,GGP INC (General Growth Properties Inc prior to 01/2017) (De-listed 08/2018),1665719,No,No,Senior VP/Chief Human Resource Officer,2017-10-01,2018-08-28
Hilary Hosek,1951459,GGP INC (General Growth Properties Inc prior to 01/2017) (De-listed 08/2018),1665719,No,No,Vice President - HR,2015-07-01,2017-10-01
Christina Lofgren,1890091,BROOKFIELD PROPERTY REIT INC (GGP Inc prior to 08/2018),1665719,Yes,Yes,Independent Director,2017-05-17,2018-08-28
Jared Chupaila,1895421,GGP INC (General Growth Properties Inc prior to 01/2017) (De-listed 08/2018),1665719,No,No,Executive VP - Leasing,2017-04-01,2018-08-28
Jared Chupaila,1895421,GGP INC (General Growth Properties Inc prior to 01/2017) (De-listed 08/2018),1665719,No,No,Senior VP - Leasing,2014-11-01,2017-04-01
Jared Chupaila,1895421,GGP INC (General Growth Properties Inc prior to 01/2017) (De-listed 08/2018),1665719,No,No,Vice President - Leasing,2012-01-01,2014-11-01
Jared Chupaila,1895421,GGP INC (General Growth Properties Inc prior to 01/2017) (De-listed 08/2018),1665719,No,No,Representative,2010-03-05,2011-10-01
Ariella Middlebrook,1780154,BROOKFIELD PROPERTY REIT INC (GGP Inc prior to 08/2018),1665719,No,No,Senior Director - Accounting,2012-01-01,2014-06-01
Missy Heanue,1785323,GGP INC (General Growth Properties Inc prior to 01/2017),1665719,No,No,Regional Marketing Director,2011-06-01,2012-01-01
Gary Yanosick,1785320,GGP INC (General Growth Properties Inc prior to 01/2017),1665719,No,No,Vice President - Leasing,2010-06-01,2012-01-01
Gary Yanosick,1785320,GGP INC (General Growth Properties Inc prior to 01/2017),1665719,No,No,Vice President - Business Development,2010-03-05,2010-06-01
Marcy Klipfel,1824152,GGP INC (General Growth Properties Inc prior to 01/2017),1665719,No,No,HR Director,2010-11-01,2012-08-01
Marcy Klipfel,1824152,GGP INC (General Growth Properties Inc prior to 01/2017),1665719,No,No,Vice President - HR,2012-08-01,2015-03-01
Caroline Atkinson,1854593,BROOKFIELD PROPERTY REIT INC (GGP Inc prior to 08/2018),1665719,Yes,Yes,Independent Director,2019-02-06,
