name,name_id,company,company_id,in_board,in_supervisory,role,role_start_date,role_end_date
Dany Paradis,1378345,SUPREMEX INC (Supremex Income Fund prior to 01/2011),826201,Yes,Yes,Chairman,2014-03-04,2014-05-30
Dany Paradis,1378345,SUPREMEX INC (Supremex Income Fund prior to 01/2011),826201,Yes,Yes,Director - SD,2013-02-21,2014-03-04
Guy Prenevost,2001116,SUPREMEX INC (Supremex Income Fund prior to 01/2011),826201,No,No,CFO/Corporate Secretary,2018-04-16,
Stewart Emerson,1486648,SUPREMEX INC (Supremex Income Fund prior to 01/2011),826201,No,No,Regional President/CEO,2014-09-03,
Stewart Emerson,1486648,SUPREMEX INC (Supremex Income Fund prior to 01/2011),826201,No,No,Regional VP/General Manager,1991-01-01,2014-05-22
Stewart Emerson,1486648,SUPREMEX INC (Supremex Income Fund prior to 01/2011),826201,No,No,Regional President/CEO,2014-05-22,2014-09-03
Michael Rapps,1398101,SUPREMEX INC (Supremex Income Fund prior to 01/2011),826201,Yes,Yes,Director - SD,2012-05-01,2014-12-11
Charles Pellerin,1401076,SUPREMEX INC (Supremex Income Fund prior to 01/2011),826201,Yes,Yes,Director - SD,2011-06-02,2014-12-11
Georges Armoyan,1398096,SUPREMEX INC (Supremex Income Fund prior to 01/2011),826201,Yes,Yes,Chairman,2014-05-30,2014-12-11
Bertrand Jolicoeur,1363974,SUPREMEX INC (Supremex Income Fund prior to 01/2011),826201,No,No,CFO/Corporate Secretary,2017-04-24,2017-12-15
Steve Richardson,1291655,SUPREMEX INC (Supremex Income Fund prior to 01/2011),826201,Yes,Yes,Independent Corporate Director,2018-05-09,
Stphane Lavigne,1298548,SUPREMEX INC (Supremex Income Fund prior to 01/2011),826201,No,No,VP/CFO,2006-01-01,2012-06-01
Stphane Lavigne,1298548,SUPREMEX INC (Supremex Income Fund prior to 01/2011),826201,No,No,Project Manager,1991-01-01,1992-01-01
Mathieu Gauvin,647898,SUPREMEX INC (Supremex Income Fund prior to 01/2011),826201,Yes,Yes,Independent Director,2011-01-01,2018-05-09
L Gadbois,624494,SUPREMEX INC (Supremex Income Fund prior to 01/2011),826201,Yes,Yes,Chairman,2006-03-31,2012-10-17
Nicole Boivin,1196350,SUPREMEX INC (Supremex Income Fund prior to 01/2011),826201,Yes,Yes,Independent Director,2018-05-09,
Warren White,1072609,SUPREMEX INC (Supremex Income Fund prior to 01/2011),826201,Yes,Yes,Director - SD,2014-12-01,
John White,995752,Texas Institute for Genomic Medicine,826202,Yes,Yes,Chairman,2005-01-01,2008-01-01
Jay Davidson,1733027,Southern Pipe & Supply Co Inc,826203,Yes,No,President/CEO,2002-01-01,
Mickey Holliman Jr,92057,Southern Pipe & Supply Co Inc,826203,Outside,Yes,Director - SD,,
Doctor Theo Lee,272828,New Brunswick Electric Power Commission,826207,No,No,Associate,1977-01-01,1980-01-01
Bob Poore,734686,New Brunswick Electric Power Commission,826207,No,No,Employee,,
Howard Beck,330599,Cineplex Galaxy Trust,826208,Yes,Yes,Trustee,2003-10-01,
T McIlhenny Jr,345620,Furniture Today Inc,826210,No,No,Senior VP,,
Jenny York,1917284,Furniture Today Inc,826210,No,No,Various Positions,,
Kim Shaver,643212,Furniture Today Inc,826210,No,No,Editor,1984-01-01,2000-08-01
Joe Carroll,1003056,Furniture Today Inc,826210,No,No,Publisher,1985-01-01,
Joe Carroll,1003056,Furniture Today Inc,826210,No,No,Employee,1977-01-01,1985-01-01
Brian Casey,1003070,Furniture Today Inc,826210,No,No,President/CEO,2013-10-01,2018-04-01
Pat Watson,1403045,Furniture Today Inc,826210,No,No,Analyst,,
Jessica Liss,1472136,City of St Louis,826211,No,No,Assistant,,
Ed Macias,1476799,City of St Louis,826211,No,No,Committee Member,,
John Arnold,1488743,City of St Louis,826211,No,No,Co-Chairman,1997-01-01,2001-01-01
Steve Johnson,1488810,City of St Louis,826211,No,No,Director - Non-Brd,2012-06-12,
Steve Wild,1667008,City of St Louis,826211,No,No,Assistant,1995-01-01,1998-01-01
John Farmer,1665765,City of St Louis,826211,No,No,Clerk,1994-01-01,1995-01-01
Sue Werstak,1667004,City of St Louis,826211,No,No,Chairman,,
Jon Dalton,1628843,City of St Louis,826211,No,No,Vice Chairman,,
Joy Holley,1615347,City of St Louis,826211,No,No,Prosecutor,1996-01-01,1998-01-01
Hal Goldsmith,1614487,City of St Louis,826211,No,No,Assistant,1985-01-01,1990-01-01
Teri Santos,1265593,City of St Louis,826211,No,No,Prosecutor,1995-01-01,1998-01-01
Francis Slay,1366460,City of St Louis,826211,No,No,Alderman,1985-01-01,1995-01-01
Francis Slay,1366460,City of St Louis,826211,No,No,President,1995-01-01,2001-04-17
Francis Slay,1366460,City of St Louis,826211,No,No,Mayor,2001-04-17,2017-04-18
Michael West Jr,1390093,City of St Louis,826211,No,No,Assistant Director,2000-01-01,2001-01-01
Barb Fandell,992922,City of St Louis,826211,No,No,Civil Servant,1990-07-01,2004-09-01
Marci Browne,992907,City of St Louis,826211,No,No,Member,2003-01-01,2007-01-01
Phil Hansen,992932,City of St Louis,826211,No,No,Division Director,,
Ed Hunzeker,1040359,City of St Louis,826211,No,No,Division CFO,,
Rod Forth,1041976,City of St Louis,826211,No,No,Director - Non-Brd,,
Ed Adams,1198509,City of St Louis,826211,No,No,Member,,
Rex Carr,753596,City of St Louis,826211,No,No,Committee Chairman,1964-01-01,1972-01-01
Colonel Patrick Twardowski,982661,City of St Louis,826211,No,No,Member,1991-01-01,2003-01-01
Colonel Patrick Twardowski,982661,City of St Louis,826211,No,No,Chairman,2003-01-01,2008-01-01
Colonel Patrick Twardowski,982661,City of St Louis,826211,No,No,Member,2008-01-01,2009-01-01
David Richardson,853575,City of St Louis,826211,No,No,Commissioner,,
Mike Flavin Jr,876344,City of St Louis,826211,No,No,Chairman,,
Les Bond Jr,1879737,City of St Louis,826211,No,No,General Counsel,,
Richard Carrizzo,1890813,City of St Louis,826211,No,No,Director - Non-Brd,,
Doctor Dora Schriro,1900672,City of St Louis,826211,No,No,Commissioner,2001-01-01,2003-01-01
Sandra Marks,1971104,City of St Louis,826211,No,No,Consultant,,
Andrew O'Brien,1966468,City of St Louis,826211,No,No,Various Positions,,
G Phoenix,1961537,City of St Louis,826211,No,No,Officer,1980-01-01,1984-01-01
Hannah Ahn,1745205,City of St Louis,826211,No,No,Intern,2011-06-01,2011-08-01
Steve Mullin,1773487,City of St Louis,826211,No,No,Director - Non-Brd,1983-01-01,1988-01-01
David Sweeney,1773996,City of St Louis,826211,No,No,Chief Legal Counsel,2008-01-01,2015-07-01
Steve Mullin,1773487,City of St Louis,826211,No,No,Director - Non-Brd,1982-01-01,1983-01-01
David Sweeney,1773996,City of St Louis,826211,No,No,General Counsel,2007-06-01,2008-01-01
Jack Coatar,1803907,City of St Louis,826211,No,No,Alderman,,
Philip Willman,1795267,City of St Louis,826211,No,No,Commission Chairman,,
Linda Martinez,1805840,City of St Louis,826211,No,No,Deputy Mayor,2017-04-01,
Burt Garland Jr,1816300,City of St Louis,826211,No,No,Committee Member,,
David Minnick,344452,City of St Louis,826211,No,No,Attorney,,
John Beatty,344283,City of St Louis,826211,No,No,Director - Non-Brd,,
Laurna Hutchinson,350079,City of St Louis,826211,No,No,Commissioner,,2014-01-01
Maureen McAvey,447910,City of St Louis,826211,No,No,Director - Development,,1998-01-01
The Hon. Alphonso Jackson,489555,City of St Louis,826211,No,No,Director - Non-Brd,1977-01-01,1981-01-01
The Hon. Gene Taylor,495127,City of St Louis,826211,No,No,Councillor,1981-01-01,1983-01-01
John Vallina,538021,City of St Louis,826211,No,No,Division Director,1994-01-01,
