name,name_id,company,company_id,in_board,in_supervisory,role,role_start_date,role_end_date
David Barrow IV,1990920,LEK Consulting LLC,607562,No,No,Manager,2001-09-01,2005-12-01
Jim Sharpe,531836,Astralis Limited,607588,No,No,CEO,2005-01-01,2007-01-01
Brian Baranick,1990918,LEK Consulting LLC,607562,No,No,Various Positions,2007-01-01,2015-01-01
Brian Baranick,1990918,LEK Consulting LLC,607562,Yes,No,Partner/MD,2015-01-22,
Ashwin Assomull,1990906,LEK Consulting LLC,607562,Yes,No,Partner,2018-04-01,
Lain Anderson,1990905,LEK Consulting LLC,607562,No,No,Associate,2012-01-01,2017-01-09
Lain Anderson,1990905,LEK Consulting LLC,607562,No,No,Associate,2005-09-01,2011-01-01
Andrew Allum,1990902,LEK Consulting LLC,607562,Yes,No,Senior Partner,1992-06-01,
Stuart Westmore,1991048,LEK Consulting LLC,607562,Yes,No,Partner,2004-01-01,
Stuart Westmore,1991048,LEK Consulting LLC,607562,No,No,Manager,2000-01-01,2003-01-01
Eric Navales,1990991,LEK Consulting LLC,607562,Yes,No,Partner/MD,2005-09-01,
Jon Piper,1961333,LEK Consulting LLC,607562,Yes,No,Partner/MD,1998-09-01,
Serge Hovsepian,1961331,LEK Consulting LLC,607562,Yes,No,Senior Partner,2004-01-01,
Alvaro Silva,1961334,LEK Consulting LLC,607562,No,No,Principal,2013-05-01,2015-01-01
Florian Funke,1968347,LEK Consulting LLC,607562,Yes,No,Partner,2006-07-01,
Florian Funke,1968347,LEK Consulting LLC,607562,No,No,Various Positions,2003-01-01,2006-07-01
Alvaro Silva,1961334,LEK Consulting LLC,607562,No,No,Manager,2006-02-01,2010-01-01
Karin Kienlin,1927059,LEK Consulting LLC,607562,Yes,No,Senior Partner/MD,2006-01-01,
Karin Kienlin,1927059,LEK Consulting LLC,607562,No,No,Associate,1995-09-01,2006-01-01
Francois Mallette,1927055,LEK Consulting LLC,607562,Yes,No,Partner/MD,1997-01-01,
Francois Mallette,1927055,LEK Consulting LLC,607562,No,No,Manager,1993-01-01,1997-01-01
Fernando Fernandes,1927048,LEK Consulting LLC,607562,Yes,No,Partner/MD,2016-06-01,
Jon Weber,1927057,LEK Consulting LLC,607562,Yes,No,Partner/MD,2000-09-01,
Joe Johnson,1927054,LEK Consulting LLC,607562,No,No,Associate,2000-09-01,2003-05-01
Joe Johnson,1927054,LEK Consulting LLC,607562,Yes,No,Partner/MD,2005-08-01,
Richard Ho,1934285,LEK Consulting LLC,607562,Yes,No,Managing Partner,2018-07-01,
Conor Green,1918822,LEK Consulting LLC,607562,No,No,Consultant,2002-01-01,2005-01-01
Fabio La Mola,1922849,LEK Consulting LLC,607562,Yes,No,Partner/MD,2017-08-03,
Martin Pilkington,1922856,LEK Consulting LLC,607562,Yes,No,Partner,1993-01-01,
Rob Wilson,1922858,LEK Consulting LLC,607562,No,No,Senior Manager,2013-07-01,2015-01-01
Rob Wilson,1922858,LEK Consulting LLC,607562,No,No,MD/Principal,2015-01-01,2016-01-15
Andrew Garibaldi,1952322,LEK Consulting LLC,607562,No,No,Principal,2008-11-01,2016-12-01
Rob Wilson,1922858,LEK Consulting LLC,607562,Yes,No,Partner/MD,2016-01-15,
Peter Walter,1922857,LEK Consulting LLC,607562,No,No,MD,2005-12-01,
Doctor Simon Barrett,1922851,LEK Consulting LLC,607562,No,No,MD,2007-01-01,2012-04-01
Fabio La Mola,1922849,LEK Consulting LLC,607562,No,No,Principal,2007-01-01,2013-01-01
Noor Abdel-Samed,1914092,LEK Consulting LLC,607562,No,No,Principal,2017-01-01,2019-01-03
Doctor Simon Barrett,1922851,LEK Consulting LLC,607562,Yes,No,Chairman/Senior Partner,2019-01-01,
Tom Diplock,1922853,LEK Consulting LLC,607562,Yes,No,Partner,2016-01-15,
Dan McKone,1922855,LEK Consulting LLC,607562,Yes,No,Senior Partner,1995-06-01,
Doctor Simon Barrett,1922851,LEK Consulting LLC,607562,Yes,No,Partner,2015-04-01,2019-01-01
Rob Wilson,1922858,LEK Consulting LLC,607562,No,No,Manager,2011-07-01,2013-07-01
Tom Diplock,1922853,LEK Consulting LLC,607562,No,No,Consultant,2006-09-01,2011-04-01
Tom Diplock,1922853,LEK Consulting LLC,607562,No,No,Manager,2011-04-01,2013-12-01
Doctor Simon Barrett,1922851,LEK Consulting LLC,607562,No,No,Manager,1994-01-01,1998-01-01
Noor Abdel-Samed,1914092,LEK Consulting LLC,607562,Yes,No,Partner/MD,2019-01-03,
Doctor Simon Barrett,1922851,LEK Consulting LLC,607562,No,No,Associate,1991-01-01,1994-01-01
Rob Wilson,1922858,LEK Consulting LLC,607562,No,No,Senior Consultant,2010-09-01,2011-07-01
Doctor Simon Barrett,1922851,LEK Consulting LLC,607562,No,No,Regional Head,2012-04-01,2015-04-01
Jonathan Chou,1923373,LEK Consulting LLC,607562,No,No,Manager,2002-09-01,2007-03-01
Tom Diplock,1922853,LEK Consulting LLC,607562,No,No,Principal,2013-12-01,2016-01-15
Simon Horan,1952323,LEK Consulting LLC,607562,Yes,No,Partner,2004-01-01,2017-11-01
Frederic Dessertine,1952618,LEK Consulting LLC,607562,Yes,No,Partner,2016-04-06,
Johanna Benesty,1952753,LEK Consulting LLC,607562,No,No,Junior Analyst,2006-07-01,2006-09-01
David Danon-Boileau,1952616,LEK Consulting LLC,607562,Yes,No,Partner,2010-01-01,
David Danon-Boileau,1952616,LEK Consulting LLC,607562,No,No,Consultant,2000-11-01,2002-09-01
David Danon-Boileau,1952616,LEK Consulting LLC,607562,No,No,Director - Non-Brd,2006-08-01,2009-12-01
David Danon-Boileau,1952616,LEK Consulting LLC,607562,No,No,Consultant,2002-09-01,2004-09-01
David Danon-Boileau,1952616,LEK Consulting LLC,607562,No,No,Director - Non-Brd,2004-09-01,2005-06-01
Alan Lewis,1952327,LEK Consulting LLC,607562,No,No,MD,2003-09-01,
Simon Horan,1952323,LEK Consulting LLC,607562,Yes,No,Partner/MD,2017-11-01,
Andrew Garibaldi,1952322,LEK Consulting LLC,607562,Yes,No,Partner/MD,2017-01-09,
Frederic Dessertine,1952618,LEK Consulting LLC,607562,No,No,Vice President,2008-01-01,2016-04-06
Aubry Pierre,1955492,LEK Consulting LLC,607562,Yes,No,Partner,2013-02-01,
Frederic Dessertine,1952618,LEK Consulting LLC,607562,No,No,Director - Non-Brd,2005-10-01,2008-01-01
