name,name_id,company,company_id,in_board,in_supervisory,role,role_start_date,role_end_date
Robert Senter,2130978,National Radio Astronomy Observatory,1000217,No,No,Various Positions,1989-01-01,1995-12-01
David Hubbard,551596,National Radio Astronomy Observatory,1000217,No,No,Head of Department,,
Michael Moody,551580,London American General Agency Inc,1000218,No,No,COO,2003-01-01,2005-01-01
Jim Hunt,516535,Bison Capital Asset Management LLC,1000220,Yes,No,CEO/Managing Partner,2001-01-01,
David Hunt,90422,Bison Capital Asset Management LLC,1000220,No,No,Managing Partner,,
Lou Caballero,1732196,Bison Capital Asset Management LLC,1000220,No,No,Partner,2004-01-01,
Shamus Dailey,2105877,Bison Capital Asset Management LLC,1000220,No,No,Associate,2013-05-01,2014-12-01
Doug Trussler,1916746,Bison Capital Asset Management LLC,1000220,No,No,Partner,2001-05-01,
Peter Macdonald,1491552,Bison Capital Asset Management LLC,1000220,No,No,Partner,2009-01-01,
Andreas Hildebrand,1491550,Bison Capital Asset Management LLC,1000220,No,No,Partner,2013-09-01,
Yee-Ping Chu,1537256,Bison Capital Asset Management LLC,1000220,No,No,Partner,2002-12-01,
Dennis Benner,320727,Fort Ashford Funds LLC,1000221,No,No,Senior Advisor,,
Gordon McGilton,551562,Fort Ashford Funds LLC,1000221,No,No,MD,,
Frank Kavanaugh,551558,Fort Ashford Funds LLC,1000221,No,No,MD,1995-06-01,
Frank Kavanaugh,551558,Ashford Capital LLC,1000222,No,No,Principal,,
Bill Stewart,1260851,Ashford Capital LLC,1000222,No,No,Chief Marketing Officer,1999-01-01,1999-01-01
John Eger,860811,Ashford Capital LLC,1000222,No,No,Various Positions,,
Jaska de Bakker,1775465,Leaf International BV,1000223,No,No,Director - Mergers & Acquisitions,2008-10-01,2010-03-01
Jaska de Bakker,1775465,Leaf International BV,1000223,No,No,Director - Planning,2005-09-01,2008-10-01
Jaska de Bakker,1775465,Leaf International BV,1000223,No,No,Director - Business Development,2003-02-01,2005-09-01
Jeff Johnson,2090168,QuickStart Technologies Inc,1000224,No,No,Senior Consultant,1996-01-01,1998-01-01
